"time","world.frame_b.f[2]","world.frame_b.f[3]","world.frame_b.t[1]","world.frame_b.t[2]","world.frame_b.t[3]","world.g","world.mue","world.driveTrainMechanics3D","world.axisDiameter","world.gravityArrowTail[1]"
0,-112.722,-2.10484,-0.247509,0.315726,-15.4251,9.81,3.986E+14,1,0.0125,0
0.0005,-112.722,-2.10915,-0.248015,0.316372,-15.4251,9.81,3.986E+14,1,0.0125,0
0.001,-112.722,-2.11816,-0.249075,0.317724,-15.4251,9.81,3.986E+14,1,0.0125,0
0.0015,-112.721,-2.13216,-0.250721,0.319824,-15.425,9.81,3.986E+14,1,0.0125,0
0.002,-112.721,-2.15117,-0.252956,0.322675,-15.425,9.81,3.986E+14,1,0.0125,0
0.0025,-112.72,-2.17524,-0.255786,0.326285,-15.4249,9.81,3.986E+14,1,0.0125,0
0.003,-112.72,-2.20442,-0.259218,0.330663,-15.4248,9.81,3.986E+14,1,0.0125,0
0.0035,-112.719,-2.23879,-0.263259,0.335818,-15.4247,9.81,3.986E+14,1,0.0125,0
0.004,-112.718,-2.27842,-0.267919,0.341762,-15.4245,9.81,3.986E+14,1,0.0125,0
0.0045,-112.717,-2.3234,-0.273209,0.34851,-15.4244,9.81,3.986E+14,1,0.0125,0
0.005,-112.716,-2.37385,-0.279142,0.356078,-15.4242,9.81,3.986E+14,1,0.0125,0
0.0055,-112.714,-2.42989,-0.285731,0.364483,-15.4239,9.81,3.986E+14,1,0.0125,0
0.006,-112.712,-2.49163,-0.292992,0.373745,-15.4237,9.81,3.986E+14,1,0.0125,0
0.0065,-112.711,-2.55924,-0.300941,0.383886,-15.4234,9.81,3.986E+14,1,0.0125,0
0.007,-112.709,-2.63286,-0.309599,0.394929,-15.4231,9.81,3.986E+14,1,0.0125,0
0.0075,-112.706,-2.71267,-0.318984,0.406901,-15.4228,9.81,3.986E+14,1,0.0125,0
0.008,-112.704,-2.79886,-0.329119,0.41983,-15.4224,9.81,3.986E+14,1,0.0125,0
0.0085,-112.701,-2.89164,-0.340028,0.433745,-15.422,9.81,3.986E+14,1,0.0125,0
0.009,-112.698,-2.99121,-0.351737,0.448681,-15.4215,9.81,3.986E+14,1,0.0125,0
0.0095,-112.694,-3.09781,-0.364273,0.464672,-15.421,9.81,3.986E+14,1,0.0125,0
0.01,-112.69,-3.2117,-0.377665,0.481755,-15.4204,9.81,3.986E+14,1,0.0125,0
0.0105,-112.686,-3.33314,-0.391946,0.499971,-15.4197,9.81,3.986E+14,1,0.0125,0
0.011,-112.681,-3.46242,-0.407147,0.519363,-15.419,9.81,3.986E+14,1,0.0125,0
0.0115,-112.676,-3.59984,-0.423307,0.539976,-15.4182,9.81,3.986E+14,1,0.0125,0
0.012,-112.67,-3.74572,-0.440461,0.561858,-15.4174,9.81,3.986E+14,1,0.0125,0
0.0125,-112.664,-3.90041,-0.458651,0.585061,-15.4164,9.81,3.986E+14,1,0.0125,0
0.013,-112.657,-4.06427,-0.47792,0.60964,-15.4154,9.81,3.986E+14,1,0.0125,0
0.0135,-112.649,-4.23768,-0.498312,0.635652,-15.4142,9.81,3.986E+14,1,0.0125,0
0.014,-112.641,-4.42106,-0.519876,0.663159,-15.4129,9.81,3.986E+14,1,0.0125,0
0.0145,-112.631,-4.61483,-0.542662,0.692225,-15.4115,9.81,3.986E+14,1,0.0125,0
0.015,-112.621,-4.81946,-0.566724,0.722918,-15.4099,9.81,3.986E+14,1,0.0125,0
0.0155,-112.609,-5.03541,-0.592118,0.755311,-15.4082,9.81,3.986E+14,1,0.0125,0
0.016,-112.597,-5.2632,-0.618904,0.78948,-15.4063,9.81,3.986E+14,1,0.0125,0
0.0165,-112.583,-5.50336,-0.647146,0.825504,-15.4042,9.81,3.986E+14,1,0.0125,0
0.017,-112.567,-5.75646,-0.676909,0.863469,-15.4019,9.81,3.986E+14,1,0.0125,0
0.0175,-112.55,-6.02309,-0.708263,0.903464,-15.3994,9.81,3.986E+14,1,0.0125,0
0.018,-112.532,-6.30389,-0.741282,0.945583,-15.3966,9.81,3.986E+14,1,0.0125,0
0.0185,-112.511,-6.59949,-0.776044,0.989924,-15.3935,9.81,3.986E+14,1,0.0125,0
0.019,-112.488,-6.91062,-0.81263,1.03659,-15.3901,9.81,3.986E+14,1,0.0125,0
0.0195,-112.464,-7.23798,-0.851127,1.0857,-15.3864,9.81,3.986E+14,1,0.0125,0
0.02,-112.436,-7.58235,-0.891624,1.13735,-15.3822,9.81,3.986E+14,1,0.0125,0
0.0205,-112.406,-7.94455,-0.934216,1.19168,-15.3777,9.81,3.986E+14,1,0.0125,0
0.021,-112.372,-8.32542,-0.979005,1.24881,-15.3727,9.81,3.986E+14,1,0.0125,0
0.0215,-112.335,-8.72584,-1.02609,1.30888,-15.3672,9.81,3.986E+14,1,0.0125,0
0.022,-112.295,-9.14678,-1.07559,1.37202,-15.3611,9.81,3.986E+14,1,0.0125,0
0.0225,-112.25,-9.5892,-1.12762,1.43838,-15.3544,9.81,3.986E+14,1,0.0125,0
0.023,-112.201,-10.0542,-1.1823,1.50812,-15.347,9.81,3.986E+14,1,0.0125,0
0.0235,-112.147,-10.5427,-1.23976,1.58141,-15.3388,9.81,3.986E+14,1,0.0125,0
0.024,-112.087,-11.0561,-1.30013,1.65841,-15.3299,9.81,3.986E+14,1,0.0125,0
0.0245,-112.021,-11.5954,-1.36355,1.73931,-15.32,9.81,3.986E+14,1,0.0125,0
0.025,-111.949,-12.1619,-1.43018,1.82429,-15.3091,9.81,3.986E+14,1,0.0125,0
0.0255,-111.869,-12.757,-1.50016,1.91355,-15.2971,9.81,3.986E+14,1,0.0125,0
0.026,-111.78,-13.382,-1.57367,2.00731,-15.2839,9.81,3.986E+14,1,0.0125,0
