"time","heatCapacitor_T","switch_Controll"
0,2.9314999999999998E+002,0
0.02,2.9334973534970391E+002,0
0.04,2.9354891554726112E+002,0
0.06,2.9374754237826056E+002,0
0.08,2.9394561762074534E+002,0
0.1,2.9414314304525942E+002,0
0.12,2.9434012041489319E+002,0
0.14,2.9453655148532937E+002,0
0.16,2.9473243800488791E+002,0
0.18,2.9492778171457053E+002,0
0.2,2.9512258434810536E+002,0
0.22,2.9531684763199092E+002,0
0.24,2.9551057328553946E+002,0
0.26,2.9570376302092046E+002,0
0.28,2.9589641854320314E+002,0
0.3,2.9608854155039904E+002,0
0.32,2.9628013373350444E+002,0
0.34,2.9647119677654160E+002,0
0.36,2.9666173235660068E+002,0
0.38,2.9685174214388036E+002,0
0.4,2.9704122780172884E+002,0
0.42,2.9723019098668397E+002,0
0.44,2.9741863334851371E+002,0
0.46,2.9760655653025503E+002,0
0.48,2.9779396216825461E+002,0
0.5,2.9798085189220615E+002,0
0.52,2.9816722732519037E+002,0
0.54,2.9835309008371325E+002,0
0.56,2.9853844177774386E+002,0
0.58,2.9872328401075185E+002,0
0.6,2.9890761837974549E+002,0
0.62,2.9909144647530837E+002,0
0.64,2.9914786431196313E+002,1
0.66,2.9913587997449133E+002,1
0.68,2.9912391958293790E+002,1
0.7,2.9911198308945632E+002,1
0.72,2.9910007044629577E+002,1
0.74,2.9908818160580103E+002,1
0.76,2.9907631652041198E+002,1
0.78,2.9906447514266347E+002,1
0.8,2.9905265742518526E+002,1
0.82,2.9904086332070176E+002,1
0.84,2.9902909278203180E+002,1
0.86,2.9901734576208855E+002,1
0.88,2.9900562221387901E+002,1
0.9,2.9899392209050433E+002,1
0.92,2.9898224534515953E+002,1
0.94,2.9897059193113279E+002,1
0.96,2.9895896180180580E+002,1
0.98,2.9894735491065330E+002,1
1,2.9893577121124332E+002,1
1.021,2.9892363323627268E+002,1
1.041,2.9891209693516703E+002,1
1.061,2.9890058368475769E+002,1
1.081,2.9888909343898700E+002,1
1.101,2.9887762615188939E+002,1
1.121,2.9886618177759107E+002,1
1.141,2.9885476027031012E+002,1
1.161,2.9884336158435565E+002,1
1.181,2.9883198567412848E+002,1
1.201,2.9882063249412045E+002,1
1.221,2.9880930199891418E+002,1
1.241,2.9879799414318336E+002,1
1.261,2.9878670888169177E+002,1
1.281,2.9877544616929379E+002,1
1.301,2.9876420596093436E+002,1
1.321,2.9875298821164813E+002,1
1.341,2.9874179287655926E+002,1
1.361,2.9873061991088201E+002,1
1.381,2.9871946926992024E+002,1
1.401,2.9870834090906686E+002,1
1.421,2.9869723478380376E+002,1
1.441,2.9868615084970219E+002,1
1.461,2.9867508906242182E+002,1
1.481,2.9866404937771108E+002,1
1.501,2.9865303175140696E+002,1
1.521,2.9864203613943437E+002,1
1.541,2.9863106249780657E+002,1
1.561,2.9862011078262452E+002,1
1.581,2.9860918095007702E+002,1
1.601,2.9859827295644016E+002,1
1.621,2.9858738675807791E+002,1
1.641,2.9857652231144090E+002,1
1.661,2.9856567957306703E+002,1
1.681,2.9855485849958103E+002,1
1.701,2.9854405904769402E+002,1
1.721,2.9853328117420409E+002,1
1.741,2.9852252483599540E+002,1
1.761,2.9851178999003821E+002,1
1.781,2.9850107659338897E+002,1
1.801,2.9849038460318968E+002,1
1.821,2.9847971397666817E+002,1
1.841,2.9846906467113763E+002,1
1.861,2.9845843664399638E+002,1
1.881,2.9844782985272815E+002,1
1.901,2.9843724425490154E+002,1
