"time","TAmb","TDif","heatCapacitor_T","TRes"
0,293.15,2,293.15,293.15
0.01,293.15,2,293.15,293.15
0.01,293.15,2,293.25,293.25
0.02,293.15,2,293.25,293.25
0.02,293.15,2,293.35,293.35
0.03,293.15,2,293.35,293.35
0.03,293.15,2,293.449,293.449
0.04,293.15,2,293.449,293.449
0.04,293.15,2,293.549,293.549
0.05,293.15,2,293.549,293.549
0.05,293.15,2,293.648,293.648
0.06,293.15,2,293.648,293.648
0.06,293.15,2,293.747,293.747
0.07,293.15,2,293.747,293.747
0.07,293.15,2,293.847,293.847
0.08,293.15,2,293.847,293.847
0.08,293.15,2,293.946,293.946
0.09,293.15,2,293.946,293.946
0.09,293.15,2,294.044,294.044
0.1,293.15,2,294.044,294.044
0.1,293.15,2,294.143,294.143
0.11,293.15,2,294.143,294.143
0.11,293.15,2,294.242,294.242
0.12,293.15,2,294.242,294.242
0.12,293.15,2,294.34,294.34
0.13,293.15,2,294.34,294.34
0.13,293.15,2,294.438,294.438
0.14,293.15,2,294.438,294.438
0.14,293.15,2,294.536,294.536
0.15,293.15,2,294.536,294.536
0.15,293.15,2,294.634,294.634
0.16,293.15,2,294.634,294.634
0.16,293.15,2,294.732,294.732
0.17,293.15,2,294.732,294.732
0.17,293.15,2,294.83,294.83
0.18,293.15,2,294.83,294.83
0.18,293.15,2,294.928,294.928
0.19,293.15,2,294.928,294.928
0.19,293.15,2,295.025,295.025
0.2,293.15,2,295.025,295.025
0.2,293.15,2,295.122,295.122
0.21,293.15,2,295.122,295.122
0.21,293.15,2,295.22,295.22
0.22,293.15,2,295.22,295.22
0.22,293.15,2,295.317,295.317
0.23,293.15,2,295.317,295.317
0.23,293.15,2,295.414,295.414
0.24,293.15,2,295.414,295.414
0.24,293.15,2,295.51,295.51
0.25,293.15,2,295.51,295.51
0.25,293.15,2,295.607,295.607
0.26,293.15,2,295.607,295.607
0.26,293.15,2,295.704,295.704
0.27,293.15,2,295.704,295.704
0.27,293.15,2,295.8,295.8
0.28,293.15,2,295.8,295.8
0.28,293.15,2,295.896,295.896
0.29,293.15,2,295.896,295.896
0.29,293.15,2,295.992,295.992
0.3,293.15,2,295.992,295.992
0.3,293.15,2,296.088,296.088
0.31,293.15,2,296.088,296.088
0.31,293.15,2,296.184,296.184
0.32,293.15,2,296.184,296.184
0.32,293.15,2,296.28,296.28
0.33,293.15,2,296.28,296.28
0.33,293.15,2,296.375,296.375
0.34,293.15,2,296.375,296.375
0.34,293.15,2,296.471,296.471
0.35,293.15,2,296.471,296.471
0.35,293.15,2,296.566,296.566
0.36,293.15,2,296.566,296.566
0.36,293.15,2,296.661,296.661
0.37,293.15,2,296.661,296.661
0.37,293.15,2,296.757,296.757
0.38,293.15,2,296.757,296.757
0.38,293.15,2,296.851,296.851
0.39,293.15,2,296.851,296.851
0.39,293.15,2,296.946,296.946
0.4,293.15,2,296.946,296.946
0.4,293.15,2,297.041,297.041
0.41,293.15,2,297.041,297.041
0.41,293.15,2,297.135,297.135
0.42,293.15,2,297.135,297.135
0.42,293.15,2,297.23,297.23
0.43,293.15,2,297.23,297.23
0.43,293.15,2,297.324,297.324
0.44,293.15,2,297.324,297.324
0.44,293.15,2,297.418,297.418
0.45,293.15,2,297.418,297.418
0.45,293.15,2,297.512,297.512
0.46,293.15,2,297.512,297.512
0.46,293.15,2,297.606,297.606
0.47,293.15,2,297.606,297.606
0.47,293.15,2,297.7,297.7
0.48,293.15,2,297.7,297.7
0.48,293.15,2,297.794,297.794
0.49,293.15,2,297.794,297.794
0.49,293.15,2,297.887,297.887
0.5,293.15,2,297.887,297.887
0.5,293.15,2,297.98,297.98
0.51,293.15,2,297.98,297.98
0.51,293.15,2,298.074,298.074
0.52,293.15,2,298.074,298.074
0.52,293.15,2,298.167,298.167
0.53,293.15,2,298.167,298.167
0.53,293.15,2,298.26,298.26
0.54,293.15,2,298.26,298.26
0.54,293.15,2,298.353,298.353
0.55,293.15,2,298.353,298.353
0.55,293.15,2,298.445,298.445
0.56,293.15,2,298.445,298.445
0.56,293.15,2,298.538,298.538
0.57,293.15,2,298.538,298.538
0.57,293.15,2,298.63,298.63
0.58,293.15,2,298.63,298.63
0.58,293.15,2,298.723,298.723
0.59,293.15,2,298.723,298.723
0.59,293.15,2,298.815,298.815
0.6,293.15,2,298.815,298.815
0.6,293.15,2,298.907,298.907
0.61,293.15,2,298.907,298.907
0.61,293.15,2,298.999,298.999
0.62,293.15,2,298.999,298.999
0.62,293.15,2,299.091,299.091
0.63,293.15,2,299.091,299.091
0.63,293.15,2,299.148,299.148
0.64,293.15,2,299.148,299.148
0.64,293.15,2,299.142,299.142
0.65,293.15,2,299.142,299.142
0.65,293.15,2,299.136,299.136
0.66,293.15,2,299.136,299.136
0.66,293.15,2,299.13,299.13
0.67,293.15,2,299.13,299.13
0.67,293.15,2,299.124,299.124
0.68,293.15,2,299.124,299.124
0.68,293.15,2,299.118,299.118
0.69,293.15,2,299.118,299.118
0.69,293.15,2,299.112,299.112
0.7,293.15,2,299.112,299.112
0.7,293.15,2,299.106,299.106
0.71,293.15,2,299.106,299.106
0.71,293.15,2,299.1,299.1
0.72,293.15,2,299.1,299.1
0.72,293.15,2,299.094,299.094
0.73,293.15,2,299.094,299.094
0.73,293.15,2,299.088,299.088
0.74,293.15,2,299.088,299.088
0.74,293.15,2,299.082,299.082
0.75,293.15,2,299.082,299.082
0.75,293.15,2,299.076,299.076
0.76,293.15,2,299.076,299.076
0.76,293.15,2,299.07,299.07
0.77,293.15,2,299.07,299.07
0.77,293.15,2,299.064,299.064
0.78,293.15,2,299.064,299.064
0.78,293.15,2,299.059,299.059
0.79,293.15,2,299.059,299.059
0.79,293.15,2,299.053,299.053
0.8,293.15,2,299.053,299.053
0.8,293.15,2,299.047,299.047
0.81,293.15,2,299.047,299.047
0.81,293.15,2,299.041,299.041
0.82,293.15,2,299.041,299.041
0.82,293.15,2,299.035,299.035
0.83,293.15,2,299.035,299.035
