"time","outputs[1]","outputs[2]","outputs[3]","outputs[4]"
0,10,0,0,0
0.0015,9.985,0.015,0,0
0.003,9.97071,0.03,0,0
0.0045,9.95712,0.0449999,0,0
0.006,9.94423,0.0599997,0,0
0.0075,9.93204,0.0749994,0,0
0.009,9.92055,0.0899988,0,0
0.0105,9.90973,0.104998,0,0
0.012,9.89959,0.119997,0,0
0.0135,9.89011,0.134995,0,0
0.015,9.88129,0.149993,0,0
0.0165,9.8731,0.164991,0,0
0.018,9.86554,0.179988,0,0
0.0195,9.85858,0.194984,0,0
0.021,9.85221,0.20998,0,0
0.0225,9.84641,0.224975,0,0
0.024,9.84115,0.23997,0,0
0.0255,9.83643,0.254963,0,0
0.027,9.83221,0.269956,0,0
0.0285,9.82847,0.284948,0,0
0.03,9.82518,0.299938,0,0
0.0315,9.82233,0.314928,0,0
0.033,9.81988,0.329917,0,0
0.0345,9.8178,0.344904,0,0
0.036,9.81607,0.359891,0,0
0.0375,9.81466,0.374876,0,0
0.039,9.81353,0.38986,0,0
0.0405,9.81266,0.404843,0,0
0.042,9.81202,0.419824,0,0
0.0435,9.81157,0.434803,0,0
0.045,9.81128,0.449782,0,0
0.0465,9.81112,0.464758,0,0
0.048,9.81105,0.479733,0,0
0.0495,9.81105,0.494707,0,0
0.051,9.81107,0.509679,0,0
0.0525,9.8111,0.524649,0,0
0.054,9.81108,0.539617,0,0
0.0555,9.811,0.554583,0,0
0.057,9.81081,0.569547,0,0
0.0585,9.81048,0.58451,0,0
0.06,9.80999,0.59947,0,0
0.0615,9.8093,0.614428,0,0
0.063,9.80838,0.629385,0,0
0.0645,9.80719,0.644339,0,0
0.066,9.80571,0.65929,0,0
0.0675,9.8039,0.67424,0,0
0.069,9.80174,0.689187,0,0
0.0705,9.79921,0.704131,0,0
0.072,9.79626,0.719074,0,0
0.0735,9.79288,0.734013,0,0
0.075,9.78903,0.748951,0,0
0.0765,9.78471,0.763885,0,0
0.078,9.77987,0.778817,0,0
0.0795,9.7745,0.793746,0,0
0.081,9.76858,0.808673,0,0
0.0825,9.76209,0.823596,0,0
0.084,9.75501,0.838517,0,0
0.0855,9.74732,0.853435,0,0
0.087,9.739,0.868349,0,0
0.0885,9.73004,0.883261,0,0
0.09,9.72044,0.89817,0,0
0.0915,9.71017,0.913075,0,0
0.093,9.69922,0.927978,0,0
0.0945,9.6876,0.942877,0,0
0.096,9.67528,0.957772,0,0
0.0975,9.66227,0.972665,0,0
0.099,9.64856,0.987554,0,0
0.1005,9.63414,1.00244,0,0
0.102,9.61902,1.01732,0,0
0.1035,9.6032,1.0322,0,0
0.105,9.58668,1.04707,0,0
0.1065,9.56946,1.06195,0,0
0.108,9.55156,1.07681,0,0
0.1095,9.53296,1.09168,0,0
0.111,9.51369,1.10654,0,0
0.1125,9.49375,1.12139,0,0
0.114,9.47316,1.13624,0,0
0.1155,9.45193,1.15109,0,0
0.117,9.43006,1.16594,0,0
0.1185,9.40759,1.18078,0,0
0.12,9.38452,1.19561,0,0
0.1215,9.36087,1.21044,0,0
0.123,9.33666,1.22527,0,0
0.1245,9.31192,1.24009,0,0
0.126,9.28666,1.25491,0,0
0.1275,9.26091,1.26973,0,0
0.129,9.2347,1.28454,0,0
0.1305,9.20804,1.29934,0,0
0.132,9.18097,1.31414,0,0
0.1335,9.15351,1.32894,0,0
0.135,9.12569,1.34373,0,0
0.1365,9.09753,1.35852,0,0
0.138,9.06908,1.3733,0,0
0.1395,9.04036,1.38808,0,0
0.141,9.01139,1.40285,0,0
0.1425,8.98222,1.41762,0,0
0.144,8.95287,1.43238,0,0
0.1455,8.92338,1.44714,0,0
0.147,8.89378,1.46189,0,0
0.1485,8.8641,1.47663,0,0
0.15,8.83437,1.49138,0,0
0.1515,8.80464,1.50611,0,0
0.153,8.77492,1.52084,0,0
0.1545,8.74526,1.53557,0,0
0.156,8.71569,1.55029,0,0
0.1575,8.68624,1.56501,0,0
0.159,8.65695,1.57971,0,0
0.1605,8.62784,1.59442,0,0
0.162,8.59895,1.60912,0,0
0.1635,8.57031,1.62381,0,0
0.165,8.54195,1.6385,0,0
0.1665,8.51391,1.65318,0,0
0.168,8.4862,1.66785,0,0
0.1695,8.45887,1.68252,0,0
0.171,8.43193,1.69719,0,0
0.1725,8.40542,1.71184,0,0
0.174,8.37936,1.7265,0,0
0.1755,8.35379,1.74114,0,0
0.177,8.32871,1.75578,0,0
0.1785,8.30415,1.77041,0,0
0.18,8.28015,1.78504,0,0
0.1815,8.25671,1.79966,0,0
0.183,8.23386,1.81427,0,0
0.1845,8.21162,1.82888,0,0
0.186,8.19,1.84348,0,0
0.1875,8.16902,1.85808,0,0
0.189,8.14869,1.87267,0,0
0.1905,8.12903,1.88725,0,0
0.192,8.11004,1.90182,0,0
0.1935,8.09174,1.91639,0,0
0.195,8.07414,1.93095,0,0
0.1965,8.05724,1.94551,0,0
0.198,8.04104,1.96006,0,0
0.1995,8.02556,1.9746,0,0
0.201,8.01079,1.98913,0,0
0.2025,7.99673,2.00366,0,0
0.204,7.98339,2.01818,0,0
0.2055,7.97076,2.03269,0,0
0.207,7.95883,2.0472,0,0
0.2085,7.9476,2.0617,0,0
0.21,7.93707,2.07619,0,0
0.2115,7.92722,2.09067,0,0
0.213,7.91805,2.10515,0,0
0.2145,7.90954,2.11962,0,0
0.216,7.90167,2.13408,0,0
0.2175,7.89445,2.14853,0,0
0.219,7.88784,2.16298,0,0
0.2205,7.88183,2.17742,0,0
0.222,7.87641,2.19185,0,0
0.2235,7.87154,2.20627,0,0
0.225,7.86722,2.22069,0,0
0.2265,7.86342,2.23509,0,0
0.228,7.86012,2.24949,0,0
0.2295,7.85728,2.26389,0,0
0.231,7.85489,2.27827,0,0
0.2325,7.85292,2.29265,0,0
0.234,7.85135,2.30701,0,0
0.2355,7.85013,2.32137,0,0
0.237,7.84925,2.33573,0,0
0.2385,7.84867,2.35007,0,0
0.24,7.84837,2.3644,0,0
0.2415,7.84831,2.37873,0,0
0.243,7.84846,2.39305,0,0
0.2445,7.84879,2.40736,0,0
0.246,7.84926,2.42166,0,0
0.2475,7.84985,2.43595,0,0
0.249,7.85052,2.45024,0,0
0.2505,7.85124,2.46451,0,0
0.252,7.85197,2.47878,0,0
0.2535,7.85268,2.49303,0,0
0.255,7.85334,2.50728,0,0
0.2565,7.85392,2.52152,0,0
0.258,7.85438,2.53576,0,0
0.2595,7.85468,2.54998,0,0
0.261,7.85481,2.56419,0,0
0.2625,7.85472,2.5784,0,0
0.264,7.85438,2.59259,0,0
0.2655,7.85377,2.60678,0,0
0.267,7.85285,2.62095,0,0
0.2685,7.85159,2.63512,0,0
0.27,7.84997,2.64928,0,0
0.2715,7.84795,2.66343,0,0
0.273,7.84552,2.67757,0,0
0.2745,7.84264,2.6917,0,0
0.276,7.83929,2.70582,0,0
0.2775,7.83545,2.71993,0,0
0.279,7.83109,2.73403,0,0
0.2805,7.82619,2.74812,0,0
0.282,7.82074,2.7622,0,0
0.2835,7.8147,2.77628,0,0
0.285,7.80807,2.79034,0,0
0.2865,7.80083,2.80439,0,0
0.288,7.79296,2.81843,0,0
0.2895,7.78445,2.83247,0,0
0.291,7.77529,2.84649,0,0
0.2925,7.76546,2.8605,0,0
0.294,7.75496,2.8745,0,0
0.2955,7.74378,2.88849,0,0
0.297,7.73191,2.90248,0,0
