"time","step-size","source.i.out"
0.0,0.0,0.0
1.0E-9,1.0E-9,0.0
2.0E-8,1.9E-8,0.0
4.0E-8,2.0E-8,0.0
6.0E-8,1.9999999999999994E-8,0.0
8.0E-8,2.0000000000000007E-8,0.0
1.0E-7,1.9999999999999994E-8,0.0
1.2E-7,1.9999999999999994E-8,0.0
1.4E-7,2.000000000000002E-8,0.0
1.6E-7,1.9999999999999994E-8,0.0
1.8E-7,1.9999999999999994E-8,0.0
2.0E-7,1.9999999999999994E-8,0.0
2.2E-7,2.000000000000002E-8,0.0
2.4E-7,1.9999999999999967E-8,0.0
2.6E-7,2.000000000000002E-8,0.0
2.8E-7,2.000000000000002E-8,0.0
3.0E-7,1.9999999999999967E-8,0.0
3.2E-7,2.000000000000002E-8,0.0
3.4E-7,1.9999999999999967E-8,0.0
3.6E-7,2.000000000000002E-8,0.0
3.8E-7,2.000000000000002E-8,4.45633840657307E-8
0.01,0.00999962,4.45633840657307E-8
0.01000002,1.9999999999881224E-8,4.45633840657307E-8
0.01000004,1.9999999999881224E-8,4.45633840657307E-8
0.01000006,1.9999999999881224E-8,4.45633840657307E-8
0.01000008,1.9999999999881224E-8,4.45633840657307E-8
0.0100001,1.9999999999881224E-8,4.45633840657307E-8
0.01000012,1.9999999999881224E-8,4.45633840657307E-8
0.01000014,1.9999999999881224E-8,4.45633840657307E-8
0.01000016,1.9999999999881224E-8,4.45633840657307E-8
0.01000018,1.9999999999881224E-8,4.45633840657307E-8
0.0100002,2.0000000001615947E-8,4.45633840657307E-8
0.01000022,1.9999999999881224E-8,4.45633840657307E-8
0.01000024,1.9999999999881224E-8,4.45633840657307E-8
0.01000026,1.9999999999881224E-8,4.45633840657307E-8
0.01000028,1.9999999999881224E-8,4.45633840657307E-8
0.0100003,1.9999999999881224E-8,4.45633840657307E-8
0.01000032,1.9999999999881224E-8,4.45633840657307E-8
0.01000034,1.9999999999881224E-8,4.45633840657307E-8
0.01000036,1.9999999999881224E-8,4.45633840657307E-8
0.01000038,1.9999999999881224E-8,0.0031831434252219725
0.02,0.00999962,0.0031831434252219725
