"time","q@INJ01","sacp@INJ01","x1@INJ01","volume@INJ01","pa@DVALV01","lca@PUMP01","p1@PUMP01"
0,0,50,1e-09,0,10,0,2.5
4e-05,-9.83161e-09,50,1e-09,-6.55376e-15,9.96162,8.0575e-08,2.49999
8e-05,-9.8316e-09,50,1e-09,-1.31082e-14,9.9531,2.88348e-07,2.50003
0.00012,-9.83154e-09,50,1e-09,-1.96626e-14,9.95607,7.06065e-07,2.5002
0.00016,-9.83161e-09,50,1e-09,-2.6217e-14,9.9624,1.41296e-06,2.50055
0.0002,-9.83161e-09,50,1e-09,-3.27714e-14,9.9677,2.41714e-06,2.50094
0.00024,-9.83161e-09,50,1e-09,-3.93258e-14,9.97165,3.66056e-06,2.50129
0.00028,-9.83161e-09,50,1e-09,-4.58802e-14,9.97457,5.08267e-06,2.50158
0.00032,-9.83161e-09,50,1e-09,-5.24346e-14,9.97729,6.63793e-06,2.50188
0.00036,-9.83161e-09,50,1e-09,-5.8989e-14,9.97989,8.33175e-06,2.50223
0.0004,-9.83162e-09,50,1e-09,-6.55434e-14,9.98181,1.01803e-05,2.50266
0.00044,-9.83164e-09,50,1e-09,-7.20978e-14,9.98346,1.2199e-05,2.50316
0.00048,-9.83169e-09,50,1e-09,-7.86523e-14,9.98495,1.43927e-05,2.50371
0.00052,-9.83181e-09,50,1e-09,-8.52068e-14,9.98634,1.67575e-05,2.50428
0.00056,-9.83204e-09,50,1e-09,-9.17614e-14,9.98769,1.92894e-05,2.50487
0.0006,-9.83246e-09,50,1e-09,-9.83162e-14,9.98898,2.19853e-05,2.5055
0.00064,-9.83312e-09,50,1e-09,-1.04871e-13,9.99019,2.48448e-05,2.50617
0.00068,-9.83415e-09,50,1e-09,-1.11427e-13,9.99128,2.7868e-05,2.50687
0.00072,-9.83557e-09,50,1e-09,-1.17984e-13,9.99222,3.10553e-05,2.50762
0.00076,-9.83741e-09,50,1e-09,-1.24541e-13,9.99301,3.44089e-05,2.50842
0.0008,-9.83956e-09,50,1e-09,-1.311e-13,9.99367,3.7932e-05,2.50928
0.00084,-9.84191e-09,50,1e-09,-1.37661e-13,9.99423,4.16282e-05,2.5102
0.00088,-9.84419e-09,50,1e-09,-1.44223e-13,9.99474,4.54963e-05,2.51112
0.00092,-9.84615e-09,50,1e-09,-1.50787e-13,9.99523,4.95241e-05,2.512
0.00096,-9.84749e-09,50,1e-09,-1.57351e-13,9.99571,5.36977e-05,2.51283
0.001,-9.84801e-09,50,1e-09,-1.63916e-13,9.99618,5.80071e-05,2.5137
0.00104,-9.84761e-09,50,1e-09,-1.70482e-13,9.99664,6.24806e-05,2.5149
0.00108,-9.8464e-09,50,1e-09,-1.77046e-13,9.99707,6.71701e-05,2.51651
0.00112,-9.84463e-09,50,1e-09,-1.8361e-13,9.99748,7.21273e-05,2.51856
0.00116,-9.84259e-09,50,1e-09,-1.90172e-13,9.99786,7.73735e-05,2.5206
0.0012,-9.84064e-09,50,1e-09,-1.96733e-13,9.99822,8.28659e-05,2.52234
0.00124,-9.83905e-09,50,1e-09,-2.03293e-13,9.99858,8.85535e-05,2.52372
0.00128,-9.83801e-09,50,1e-09,-2.09852e-13,9.99892,9.43897e-05,2.52485
0.00132,-9.8375e-09,50,1e-09,-2.1641e-13,9.99922,0.000100364,2.52606
0.00136,-9.8374e-09,50,1e-09,-2.22969e-13,9.99943,0.000106484,2.52737
0.0014,-9.8375e-09,50,1e-09,-2.29527e-13,9.99947,0.000112759,2.52879
0.00144,-9.83759e-09,50,1e-09,-2.36085e-13,9.99923,0.0001192,2.53039
0.00148,-9.83745e-09,50,1e-09,-2.42644e-13,9.9986,0.000125823,2.5322
0.00152,-9.83703e-09,50,1e-09,-2.49202e-13,9.99748,0.000132648,2.53423
0.00156,-9.83634e-09,50,1e-09,-2.5576e-13,9.9958,0.000139683,2.53621
0.0016,-9.83553e-09,50,1e-09,-2.62317e-13,9.99352,0.000146876,2.53745
0.00164,-9.83472e-09,50,1e-09,-2.68874e-13,9.99062,0.000154148,2.53787
0.00168,-9.83409e-09,50,1e-09,-2.7543e-13,9.98719,0.00016142,2.5376
0.00172,-9.83368e-09,50,1e-09,-2.81986e-13,9.98335,0.000168702,2.53835
0.00176,-9.83354e-09,50,1e-09,-2.88541e-13,9.97929,0.00017614,2.54079
0.0018,-9.83359e-09,50,1e-09,-2.95097e-13,9.9752,0.00018389,2.54505
0.00184,-9.83373e-09,50,1e-09,-3.01653e-13,9.97135,0.000192081,2.55026
