Time,IdealDiode3.off,Capacitor1.v
0.0216,0.0,268.0
0.0216,0.0,268.0
0.0216,0.0,268.0
0.0216,0.0,268.0
0.0216,0.0,268.0
0.0216,0.0,268.0
0.0216,0.0,268.0
0.0216,0.0,268.0
0.0217,0.0,268.0
0.0217,0.0,268.0
0.0217,0.0,268.0
0.0217,0.0,268.0
0.0217,0.0,268.0
0.0217,0.0,268.0
0.0217,0.0,268.0
0.0217,0.0,268.0
0.0217,0.0,269.0
0.0217,0.0,269.0
0.0218,0.0,269.0
0.0218,0.0,269.0
0.0218,0.0,269.0
0.0218,0.0,269.0
0.0218,0.0,269.0
0.0218,0.0,269.0
0.0218,0.0,269.0
0.0218,0.0,269.0
0.0218,0.0,269.0
0.0218,0.0,269.0
0.0219,0.0,269.0
0.0219,0.0,269.0
0.0219,0.0,269.0
0.0219,0.0,269.0
0.0219,0.0,269.0
0.0219,0.0,269.0
0.0219,0.0,269.0
0.0219,0.0,269.0
0.0219,0.0,269.0
0.0219,0.0,269.0
0.022,0.0,269.0
0.022,0.0,269.0
0.022,0.0,269.0
0.022,0.0,269.0
0.022,0.0,269.0
0.022,0.0,269.0
0.022,0.0,269.0
0.022,0.0,269.0
0.022,0.0,269.0
0.022,0.0,269.0
0.0221,0.0,269.0
0.0221,0.0,269.0
0.0221,0.0,269.0
0.0221,0.0,269.0
0.0221,0.0,269.0
0.0221,0.0,269.0
0.0221,0.0,269.0
0.0221,0.0,269.0
0.0221,0.0,269.0
0.0221,0.0,269.0
0.0222,0.0,269.0
0.0222,0.0,269.0
0.0222,0.0,268.0
0.0222,0.0,268.0
0.0222,0.0,268.0
0.0222,0.0,268.0
0.0222,0.0,268.0
0.0222,0.0,268.0
0.0222,0.0,268.0
0.0222,0.0,268.0
0.0223,0.0,268.0
0.0223,0.0,268.0
0.0223,0.0,268.0
0.0223,0.0,268.0
0.0223,0.0,268.0
0.0223,0.0,268.0
0.0223,0.0,268.0
0.0223,0.0,268.0
0.0223,0.0,267.0
0.0223,0.0,267.0
0.0224,0.0,267.0
0.0224,0.0,267.0
0.0224,0.0,267.0
0.0224,0.0,267.0
0.0224,0.0,267.0
0.0224,0.0,267.0
0.0224,1.0,267.0
0.0224,1.0,267.0
0.0224,1.0,267.0
0.0224,1.0,266.0
0.0225,1.0,266.0
0.0225,1.0,266.0
0.0225,1.0,266.0
0.0225,1.0,266.0
0.0225,1.0,266.0
0.0225,1.0,266.0
0.0225,1.0,266.0
0.0225,1.0,266.0
0.0225,1.0,266.0
0.0225,1.0,265.0
0.0226,1.0,265.0
0.0226,1.0,265.0
0.0226,1.0,265.0
0.0226,1.0,265.0
0.0226,1.0,265.0
0.0226,1.0,265.0
0.0226,1.0,265.0
0.0226,1.0,265.0
0.0226,1.0,265.0
0.0226,1.0,265.0
0.0227,1.0,264.0
0.0227,1.0,264.0
0.0227,1.0,264.0
0.0227,1.0,264.0
0.0227,1.0,264.0
0.0227,1.0,264.0
0.0227,1.0,264.0
0.0227,1.0,264.0
0.0227,1.0,264.0
0.0227,1.0,264.0
0.0228,1.0,264.0
0.0228,1.0,264.0
0.0228,1.0,263.0
0.0228,1.0,263.0
0.0228,1.0,263.0
0.0228,1.0,263.0
0.0228,1.0,263.0
0.0228,1.0,263.0
0.0228,1.0,263.0
0.0228,1.0,263.0
0.0229,1.0,263.0
0.0229,1.0,263.0
0.0229,1.0,263.0
0.0229,1.0,263.0
0.0229,1.0,262.0
0.0229,1.0,262.0
0.0229,1.0,262.0
0.0229,1.0,262.0
0.0229,1.0,262.0
0.0229,1.0,262.0
0.023,1.0,262.0
0.023,1.0,262.0
0.023,1.0,262.0
0.023,1.0,262.0
0.023,1.0,262.0
0.023,1.0,262.0
0.023,1.0,262.0
0.023,1.0,262.0
0.023,1.0,262.0
0.023,1.0,261.0
0.0231,1.0,261.0
0.0231,1.0,261.0
0.0231,1.0,261.0
0.0231,1.0,261.0
0.0231,1.0,261.0
0.0231,1.0,261.0
0.0231,1.0,261.0
0.0231,1.0,261.0
0.0231,1.0,261.0
0.0231,1.0,261.0
0.0232,1.0,261.0
0.0232,1.0,261.0
0.0232,1.0,261.0
0.0232,1.0,261.0
0.0232,1.0,261.0
0.0232,1.0,261.0
0.0232,1.0,261.0
0.0232,1.0,261.0
0.0232,1.0,261.0
0.0232,1.0,260.0
0.0233,1.0,260.0
0.0233,1.0,260.0
0.0233,1.0,260.0
0.0233,1.0,260.0
0.0233,1.0,260.0
0.0233,1.0,260.0
0.0233,1.0,260.0
0.0233,1.0,260.0
0.0233,1.0,260.0
0.0233,1.0,260.0
0.0234,1.0,260.0
0.0234,1.0,260.0
0.0234,1.0,260.0
0.0234,1.0,260.0
0.0234,1.0,260.0
0.0234,1.0,260.0
0.0234,1.0,260.0
0.0234,1.0,260.0
0.0234,1.0,260.0
0.0234,1.0,260.0
0.0235,1.0,260.0
0.0235,1.0,260.0
0.0235,1.0,260.0
0.0235,1.0,260.0
0.0235,1.0,260.0
0.0235,1.0,260.0
0.0235,1.0,260.0
0.0235,1.0,260.0
0.0235,1.0,260.0
0.0235,1.0,260.0
0.0236,1.0,260.0
0.0236,1.0,260.0
0.0236,1.0,260.0
0.0236,1.0,260.0
0.0236,1.0,260.0
0.0236,1.0,260.0
0.0236,1.0,260.0
0.0236,1.0,260.0
0.0236,1.0,260.0
0.0236,1.0,260.0
0.0237,1.0,260.0
0.0237,1.0,260.0
0.0237,1.0,260.0
0.0237,1.0,260.0
0.0237,1.0,260.0
0.0237,1.0,260.0
0.0237,1.0,260.0
0.0237,1.0,260.0
0.0237,1.0,260.0
0.0237,1.0,260.0
0.0238,1.0,260.0
0.0238,1.0,260.0
0.0238,1.0,260.0
0.0238,1.0,260.0
0.0238,1.0,260.0
0.0238,1.0,260.0
0.0238,1.0,260.0
0.0238,1.0,260.0
0.0238,1.0,260.0
0.0238,1.0,260.0
0.0239,1.0,260.0
0.0239,1.0,260.0
0.0239,1.0,260.0
0.0239,1.0,260.0
0.0239,1.0,260.0
0.0239,1.0,260.0
0.0239,1.0,260.0
0.0239,1.0,260.0
0.0239,1.0,260.0
0.0239,1.0,260.0
0.024,1.0,261.0
0.024,1.0,261.0
0.024,1.0,261.0
0.024,1.0,261.0
0.024,1.0,261.0
0.024,1.0,261.0
0.024,1.0,261.0
0.024,1.0,261.0
0.024,1.0,261.0
0.024,1.0,261.0
0.0241,1.0,261.0
0.0241,1.0,261.0
0.0241,1.0,261.0
0.0241,1.0,261.0
0.0241,1.0,261.0
0.0241,1.0,261.0
0.0241,1.0,261.0
0.0241,1.0,261.0
0.0241,1.0,261.0
0.0241,1.0,261.0
0.0242,1.0,261.0
0.0242,1.0,261.0
0.0242,1.0,261.0
0.0242,1.0,262.0
0.0242,1.0,262.0
0.0242,1.0,262.0
0.0242,1.0,262.0
0.0242,1.0,262.0
0.0242,1.0,262.0
0.0242,1.0,262.0
0.0243,1.0,262.0
0.0243,1.0,262.0
0.0243,1.0,262.0
0.0243,1.0,262.0
0.0243,1.0,262.0
0.0243,1.0,262.0
0.0243,1.0,262.0
0.0243,1.0,262.0
0.0243,1.0,262.0
0.0243,1.0,262.0
0.0244,1.0,262.0
0.0244,1.0,262.0
0.0244,1.0,263.0
0.0244,1.0,263.0
0.0244,1.0,263.0
0.0244,1.0,263.0
0.0244,1.0,263.0
0.0244,1.0,263.0
0.0244,1.0,263.0
0.0244,1.0,263.0
0.0245,1.0,263.0
0.0245,1.0,263.0
0.0245,1.0,263.0
0.0245,1.0,263.0
0.0245,1.0,263.0
0.0245,1.0,263.0
0.0245,1.0,263.0
0.0245,1.0,263.0
0.0245,1.0,263.0
0.0245,1.0,263.0
0.0246,1.0,264.0
0.0246,1.0,264.0
0.0246,1.0,264.0
0.0246,1.0,264.0
0.0246,1.0,264.0
0.0246,1.0,264.0
0.0246,1.0,264.0
0.0246,1.0,264.0
0.0246,1.0,264.0
0.0246,1.0,264.0
0.0247,1.0,264.0
0.0247,1.0,264.0
0.0247,1.0,264.0
0.0247,1.0,264.0
0.0247,1.0,264.0
0.0247,1.0,264.0
0.0247,1.0,264.0
0.0247,1.0,264.0
0.0247,1.0,265.0
0.0247,1.0,265.0
0.0248,1.0,265.0
0.0248,1.0,265.0
0.0248,1.0,265.0
0.0248,1.0,265.0
0.0248,1.0,265.0
0.0248,1.0,265.0
0.0248,1.0,265.0
0.0248,1.0,265.0
0.0248,1.0,265.0
0.0248,1.0,265.0
0.0249,1.0,265.0
0.0249,1.0,265.0
0.0249,1.0,265.0
0.0249,1.0,265.0
0.0249,1.0,265.0
0.0249,1.0,265.0
0.0249,1.0,265.0
0.0249,1.0,265.0
0.0249,1.0,265.0
0.0249,1.0,265.0
0.025,1.0,265.0
0.025,1.0,265.0
0.025,1.0,265.0
0.025,1.0,265.0
0.025,1.0,265.0
0.025,1.0,266.0
0.025,1.0,266.0
0.025,1.0,266.0
0.025,1.0,266.0
0.025,1.0,266.0
0.0251,1.0,266.0
0.0251,1.0,266.0
0.0251,1.0,266.0
0.0251,1.0,266.0
0.0251,1.0,266.0
0.0251,1.0,266.0
0.0251,1.0,266.0
0.0251,1.0,266.0
0.0251,1.0,266.0
0.0251,1.0,266.0
0.0252,1.0,266.0
0.0252,1.0,266.0
0.0252,1.0,266.0
0.0252,1.0,266.0
0.0252,1.0,266.0
0.0252,1.0,266.0
0.0252,1.0,266.0
0.0252,1.0,266.0
0.0252,1.0,266.0
0.0252,1.0,266.0
0.0253,1.0,266.0
0.0253,1.0,266.0
0.0253,1.0,266.0
0.0253,1.0,266.0
0.0253,1.0,266.0
0.0253,1.0,266.0
0.0253,1.0,265.0
0.0253,1.0,265.0
0.0253,1.0,265.0
0.0253,1.0,265.0
0.0254,1.0,265.0
0.0254,1.0,265.0
0.0254,1.0,265.0
0.0254,1.0,265.0
0.0254,1.0,265.0
0.0254,1.0,265.0
0.0254,1.0,265.0
0.0254,1.0,265.0
0.0254,1.0,265.0
0.0254,1.0,265.0
0.0255,1.0,265.0
0.0255,1.0,265.0
0.0255,1.0,265.0
0.0255,1.0,265.0
0.0255,1.0,265.0
0.0255,1.0,265.0
0.0255,1.0,265.0
0.0255,1.0,265.0
0.0255,1.0,264.0
0.0255,1.0,264.0
0.0256,1.0,264.0
0.0256,1.0,264.0
0.0256,1.0,264.0
0.0256,1.0,264.0
0.0256,1.0,264.0
0.0256,1.0,264.0
0.0256,1.0,264.0
0.0256,1.0,264.0
0.0256,1.0,264.0
0.0256,1.0,264.0
0.0257,1.0,264.0
0.0257,1.0,263.0
0.0257,1.0,263.0
0.0257,1.0,263.0
0.0257,1.0,263.0
0.0257,1.0,263.0
0.0257,1.0,263.0
0.0257,1.0,263.0
0.0257,1.0,263.0
0.0257,1.0,263.0
0.0258,1.0,263.0
0.0258,1.0,262.0
0.0258,1.0,262.0
0.0258,1.0,262.0
0.0258,1.0,262.0
0.0258,1.0,262.0
0.0258,1.0,262.0
0.0258,1.0,262.0
0.0258,1.0,262.0
0.0258,1.0,262.0
0.0259,1.0,262.0
0.0259,1.0,261.0
0.0259,1.0,261.0
0.0259,1.0,261.0
0.0259,1.0,261.0
0.0259,1.0,261.0
0.0259,1.0,261.0
0.0259,1.0,261.0
0.0259,1.0,261.0
0.0259,1.0,261.0
0.026,1.0,261.0
0.026,1.0,261.0
0.026,1.0,260.0
0.026,1.0,260.0
0.026,1.0,260.0
0.026,1.0,260.0
0.026,1.0,260.0
0.026,1.0,260.0
0.026,1.0,260.0
0.026,1.0,260.0
0.0261,1.0,260.0
0.0261,1.0,260.0
0.0261,1.0,260.0
0.0261,1.0,260.0
0.0261,1.0,260.0
0.0261,1.0,259.0
0.0261,1.0,259.0
0.0261,1.0,259.0
0.0261,1.0,259.0
0.0261,1.0,259.0
0.0262,1.0,259.0
0.0262,1.0,259.0
0.0262,1.0,259.0
0.0262,1.0,259.0
0.0262,1.0,259.0
0.0262,1.0,259.0
0.0262,1.0,259.0
0.0262,1.0,259.0
0.0262,1.0,259.0
0.0262,1.0,258.0
0.0263,1.0,258.0
0.0263,1.0,258.0
0.0263,1.0,258.0
0.0263,1.0,258.0
0.0263,1.0,258.0
0.0263,1.0,258.0
0.0263,1.0,258.0
0.0263,1.0,258.0
0.0263,1.0,258.0
0.0263,1.0,258.0
0.0264,1.0,258.0
0.0264,1.0,258.0
0.0264,1.0,258.0
0.0264,1.0,258.0
0.0264,1.0,258.0
0.0264,1.0,258.0
0.0264,1.0,258.0
0.0264,1.0,258.0
0.0264,1.0,257.0
0.0264,1.0,257.0
0.0265,1.0,257.0
0.0265,1.0,257.0
0.0265,1.0,257.0
0.0265,1.0,257.0
0.0265,1.0,257.0
0.0265,1.0,257.0
0.0265,1.0,257.0
0.0265,1.0,257.0
0.0265,1.0,257.0
0.0265,1.0,257.0
0.0266,1.0,257.0
0.0266,1.0,257.0
0.0266,1.0,257.0
0.0266,1.0,257.0
0.0266,1.0,257.0
0.0266,1.0,257.0
0.0266,1.0,257.0
0.0266,1.0,257.0
0.0266,1.0,257.0
0.0266,1.0,257.0
0.0267,1.0,257.0
0.0267,1.0,257.0
0.0267,1.0,257.0
0.0267,1.0,257.0
0.0267,1.0,257.0
0.0267,1.0,257.0
0.0267,1.0,257.0
0.0267,1.0,257.0
0.0267,1.0,257.0
0.0267,1.0,257.0
0.0268,1.0,257.0
0.0268,1.0,257.0
0.0268,1.0,257.0
0.0268,1.0,257.0
0.0268,1.0,257.0
0.0268,1.0,257.0
0.0268,1.0,257.0
0.0268,1.0,257.0
0.0268,1.0,257.0
0.0268,1.0,257.0
0.0269,1.0,257.0
0.0269,1.0,257.0
0.0269,1.0,257.0
0.0269,1.0,257.0
0.0269,1.0,257.0
0.0269,1.0,257.0
0.0269,1.0,257.0
0.0269,1.0,257.0
0.0269,1.0,257.0
0.0269,1.0,257.0
0.027,1.0,257.0
0.027,1.0,257.0
0.027,1.0,257.0
0.027,1.0,257.0
0.027,1.0,257.0
0.027,1.0,257.0
0.027,1.0,257.0
0.027,1.0,257.0
0.027,1.0,257.0
0.027,1.0,257.0
0.0271,1.0,258.0
0.0271,1.0,258.0
0.0271,1.0,258.0
0.0271,1.0,258.0
0.0271,1.0,258.0
0.0271,1.0,258.0
0.0271,1.0,258.0
0.0271,1.0,258.0
0.0271,1.0,258.0
0.0271,1.0,258.0
0.0272,1.0,258.0
0.0272,1.0,258.0
0.0272,1.0,258.0
0.0272,1.0,258.0
0.0272,1.0,258.0
0.0272,1.0,258.0
0.0272,1.0,258.0
0.0272,1.0,258.0
0.0272,1.0,258.0
0.0272,1.0,258.0
0.0273,1.0,258.0
0.0273,1.0,259.0
0.0273,1.0,259.0
0.0273,1.0,259.0
0.0273,1.0,259.0
0.0273,1.0,259.0
0.0273,1.0,259.0
0.0273,1.0,259.0
0.0273,1.0,259.0
0.0273,1.0,259.0
0.0274,1.0,259.0
0.0274,1.0,259.0
0.0274,1.0,259.0
0.0274,1.0,259.0
0.0274,1.0,259.0
0.0274,1.0,259.0
0.0274,1.0,260.0
0.0274,1.0,260.0
0.0274,1.0,260.0
0.0274,1.0,260.0
0.0275,1.0,260.0
0.0275,1.0,260.0
0.0275,1.0,260.0
0.0275,1.0,260.0
0.0275,1.0,260.0
0.0275,1.0,260.0
0.0275,1.0,260.0
0.0275,1.0,260.0
0.0275,1.0,260.0
0.0275,1.0,261.0
0.0276,1.0,261.0
0.0276,1.0,261.0
0.0276,1.0,261.0
0.0276,1.0,261.0
0.0276,1.0,261.0
0.0276,1.0,261.0
0.0276,1.0,261.0
0.0276,1.0,261.0
0.0276,1.0,261.0
0.0276,1.0,261.0
0.0277,1.0,261.0
0.0277,1.0,262.0
0.0277,1.0,262.0
0.0277,1.0,262.0
0.0277,1.0,262.0
0.0277,1.0,262.0
0.0277,1.0,262.0
0.0277,1.0,262.0
0.0277,1.0,262.0
0.0277,1.0,262.0
0.0278,1.0,262.0
0.0278,1.0,262.0
0.0278,1.0,263.0
0.0278,1.0,263.0
0.0278,1.0,263.0
0.0278,1.0,263.0
0.0278,1.0,263.0
0.0278,1.0,263.0
0.0278,1.0,263.0
0.0278,1.0,263.0
0.0279,1.0,263.0
0.0279,1.0,263.0
0.0279,1.0,263.0
0.0279,1.0,263.0
0.0279,1.0,264.0
0.0279,1.0,264.0
0.0279,1.0,264.0
0.0279,1.0,264.0
0.0279,1.0,264.0
0.0279,1.0,264.0
0.028,1.0,264.0
0.028,1.0,264.0
0.028,1.0,264.0
0.028,1.0,264.0
0.028,1.0,264.0
0.028,1.0,264.0
0.028,1.0,265.0
0.028,1.0,265.0
0.028,1.0,265.0
0.028,1.0,265.0
0.0281,1.0,265.0
0.0281,1.0,265.0
0.0281,1.0,265.0
0.0281,1.0,265.0
0.0281,1.0,265.0
0.0281,1.0,265.0
0.0281,1.0,265.0
0.0281,1.0,265.0
0.0281,1.0,266.0
0.0281,1.0,266.0
0.0282,1.0,266.0
0.0282,1.0,266.0
0.0282,1.0,266.0
0.0282,1.0,266.0
0.0282,1.0,266.0
0.0282,1.0,266.0
0.0282,1.0,266.0
0.0282,1.0,266.0
0.0282,1.0,266.0
0.0282,1.0,266.0
0.0283,1.0,266.0
0.0283,1.0,266.0
0.0283,1.0,266.0
0.0283,1.0,267.0
0.0283,1.0,267.0
0.0283,1.0,267.0
0.0283,1.0,267.0
0.0283,1.0,267.0
0.0283,1.0,267.0
0.0283,1.0,267.0
0.0284,1.0,267.0
0.0284,1.0,267.0
0.0284,1.0,267.0
0.0284,1.0,267.0
0.0284,1.0,267.0
0.0284,1.0,267.0
0.0284,1.0,267.0
0.0284,1.0,267.0
0.0284,1.0,267.0
0.0284,1.0,267.0
0.0285,1.0,267.0
0.0285,1.0,267.0
0.0285,1.0,267.0
0.0285,1.0,267.0
0.0285,1.0,267.0
0.0285,1.0,267.0
0.0285,1.0,267.0
0.0285,1.0,268.0
0.0285,1.0,268.0
0.0285,1.0,268.0
0.0286,1.0,268.0
0.0286,1.0,268.0
0.0286,1.0,268.0
0.0286,1.0,268.0
0.0286,1.0,268.0
0.0286,1.0,268.0
0.0286,1.0,268.0
0.0286,1.0,268.0
0.0286,1.0,268.0
0.0286,1.0,268.0
0.0287,1.0,268.0
0.0287,1.0,268.0
0.0287,1.0,268.0
0.0287,1.0,268.0
0.0287,1.0,268.0
0.0287,1.0,268.0
0.0287,1.0,268.0
0.0287,1.0,268.0
0.0287,1.0,268.0
0.0287,1.0,268.0
0.0288,1.0,267.0
0.0288,1.0,267.0
0.0288,1.0,267.0
0.0288,1.0,267.0
0.0288,1.0,267.0
0.0288,1.0,267.0
0.0288,1.0,267.0
0.0288,1.0,267.0
0.0288,1.0,267.0
0.0288,1.0,267.0
0.0289,1.0,267.0
0.0289,1.0,267.0
0.0289,1.0,267.0
0.0289,1.0,267.0
0.0289,1.0,267.0
0.0289,1.0,267.0
0.0289,1.0,267.0
0.0289,1.0,267.0
0.0289,1.0,267.0
0.0289,1.0,267.0
0.029,1.0,267.0
0.029,1.0,267.0
0.029,1.0,266.0
0.029,1.0,266.0
0.029,1.0,266.0
0.029,1.0,266.0
0.029,1.0,266.0
0.029,1.0,266.0
0.029,1.0,266.0
0.029,1.0,266.0
0.0291,1.0,266.0
0.0291,1.0,266.0
0.0291,1.0,266.0
0.0291,1.0,266.0
0.0291,1.0,266.0
0.0291,1.0,265.0
0.0291,1.0,265.0
0.0291,1.0,265.0
0.0291,1.0,265.0
0.0291,1.0,265.0
0.0292,1.0,265.0
0.0292,1.0,265.0
0.0292,1.0,265.0
0.0292,1.0,265.0
0.0292,1.0,265.0
0.0292,1.0,265.0
0.0292,1.0,264.0
0.0292,1.0,264.0
0.0292,1.0,264.0
0.0292,1.0,264.0
0.0293,1.0,264.0
0.0293,1.0,264.0
0.0293,1.0,264.0
0.0293,1.0,264.0
0.0293,1.0,264.0
0.0293,1.0,264.0
0.0293,1.0,264.0
0.0293,1.0,263.0
0.0293,1.0,263.0
0.0293,1.0,263.0
0.0294,1.0,263.0
0.0294,1.0,263.0
0.0294,1.0,263.0
0.0294,1.0,263.0
0.0294,1.0,263.0
0.0294,1.0,263.0
0.0294,1.0,263.0
0.0294,1.0,263.0
0.0294,1.0,263.0
0.0294,1.0,263.0
0.0295,1.0,262.0
0.0295,1.0,262.0
0.0295,1.0,262.0
0.0295,1.0,262.0
0.0295,1.0,262.0
0.0295,1.0,262.0
0.0295,1.0,262.0
0.0295,1.0,262.0
0.0295,1.0,262.0
0.0295,1.0,262.0
0.0296,1.0,262.0
0.0296,1.0,262.0
0.0296,1.0,262.0
0.0296,1.0,262.0
0.0296,1.0,261.0
0.0296,1.0,261.0
0.0296,1.0,261.0
0.0296,1.0,261.0
0.0296,1.0,261.0
0.0296,1.0,261.0
0.0297,1.0,261.0
0.0297,1.0,261.0
0.0297,1.0,261.0
0.0297,1.0,261.0
0.0297,1.0,261.0
0.0297,1.0,261.0
0.0297,1.0,261.0
0.0297,1.0,261.0
0.0297,1.0,261.0
0.0297,1.0,261.0
0.0298,1.0,261.0
0.0298,1.0,261.0
0.0298,1.0,260.0
0.0298,1.0,260.0
0.0298,1.0,260.0
0.0298,1.0,260.0
0.0298,1.0,260.0
0.0298,1.0,260.0
0.0298,1.0,260.0
0.0298,1.0,260.0
0.0299,1.0,260.0
0.0299,1.0,260.0
0.0299,1.0,260.0
0.0299,1.0,260.0
0.0299,1.0,260.0
0.0299,1.0,260.0
0.0299,1.0,260.0
0.0299,1.0,260.0
0.0299,1.0,260.0
0.0299,1.0,260.0
0.03,1.0,260.0
0.03,1.0,260.0
0.03,1.0,260.0
0.03,1.0,260.0
0.03,1.0,260.0
0.03,1.0,260.0
0.03,1.0,260.0
0.03,1.0,260.0
0.03,1.0,260.0
0.03,1.0,260.0
0.0301,1.0,260.0
0.0301,1.0,260.0
0.0301,1.0,260.0
0.0301,1.0,260.0
0.0301,1.0,260.0
0.0301,1.0,260.0
0.0301,1.0,260.0
0.0301,1.0,260.0
0.0301,1.0,260.0
0.0301,1.0,260.0
0.0302,1.0,260.0
0.0302,1.0,260.0
0.0302,1.0,260.0
0.0302,1.0,260.0
0.0302,1.0,260.0
0.0302,1.0,260.0
0.0302,1.0,260.0
0.0302,1.0,260.0
0.0302,1.0,260.0
0.0302,1.0,260.0
0.0303,1.0,260.0
0.0303,1.0,260.0
0.0303,1.0,260.0
0.0303,1.0,260.0
0.0303,1.0,260.0
0.0303,1.0,260.0
0.0303,1.0,260.0
0.0303,1.0,260.0
0.0303,1.0,260.0
0.0303,1.0,260.0
0.0304,1.0,260.0
0.0304,1.0,260.0
0.0304,1.0,260.0
0.0304,1.0,260.0
0.0304,1.0,260.0
0.0304,1.0,260.0
0.0304,1.0,260.0
0.0304,1.0,260.0
0.0304,1.0,260.0
0.0304,1.0,260.0
0.0305,1.0,260.0
0.0305,1.0,260.0
0.0305,1.0,260.0
0.0305,1.0,260.0
0.0305,1.0,260.0
0.0305,1.0,260.0
0.0305,1.0,260.0
0.0305,1.0,260.0
0.0305,1.0,260.0
0.0305,1.0,260.0
0.0306,1.0,260.0
0.0306,1.0,260.0
0.0306,1.0,260.0
0.0306,1.0,260.0
0.0306,1.0,261.0
0.0306,1.0,261.0
0.0306,1.0,261.0
0.0306,1.0,261.0
0.0306,1.0,261.0
0.0306,1.0,261.0
0.0307,1.0,261.0
0.0307,1.0,261.0
0.0307,1.0,261.0
0.0307,1.0,261.0
0.0307,1.0,261.0
0.0307,1.0,261.0
0.0307,1.0,261.0
0.0307,1.0,261.0
0.0307,1.0,261.0
0.0307,1.0,261.0
0.0308,1.0,261.0
0.0308,1.0,261.0
0.0308,1.0,261.0
0.0308,1.0,261.0
0.0308,1.0,262.0
0.0308,1.0,262.0
0.0308,1.0,262.0
0.0308,1.0,262.0
0.0308,1.0,262.0
0.0308,1.0,262.0
0.0309,1.0,262.0
0.0309,1.0,262.0
0.0309,1.0,262.0
0.0309,1.0,262.0
0.0309,1.0,262.0
0.0309,1.0,262.0
0.0309,1.0,262.0
0.0309,1.0,262.0
0.0309,1.0,262.0
0.0309,1.0,262.0
0.031,1.0,262.0
0.031,1.0,263.0
0.031,1.0,263.0
0.031,1.0,263.0
0.031,1.0,263.0
0.031,1.0,263.0
0.031,1.0,263.0
0.031,1.0,263.0
0.031,1.0,263.0
0.031,1.0,263.0
0.0311,1.0,263.0
0.0311,1.0,263.0
0.0311,1.0,263.0
0.0311,1.0,263.0
0.0311,1.0,263.0
0.0311,1.0,263.0
0.0311,1.0,264.0
0.0311,1.0,264.0
0.0311,1.0,264.0
0.0311,1.0,264.0
0.0312,1.0,264.0
0.0312,1.0,264.0
0.0312,1.0,264.0
0.0312,1.0,264.0
0.0312,1.0,264.0
0.0312,1.0,264.0
0.0312,1.0,264.0
0.0312,1.0,264.0
0.0312,1.0,264.0
0.0312,1.0,264.0
0.0313,1.0,264.0
0.0313,1.0,264.0
0.0313,1.0,265.0
0.0313,1.0,265.0
0.0313,1.0,265.0
0.0313,1.0,265.0
0.0313,1.0,265.0
0.0313,1.0,265.0
0.0313,1.0,265.0
0.0313,1.0,265.0
0.0314,1.0,265.0
0.0314,1.0,265.0
0.0314,1.0,265.0
0.0314,1.0,265.0
0.0314,1.0,265.0
0.0314,1.0,265.0
0.0314,1.0,265.0
0.0314,1.0,265.0
0.0314,1.0,265.0
0.0314,1.0,266.0
0.0315,1.0,266.0
0.0315,1.0,266.0
0.0315,1.0,266.0
0.0315,1.0,266.0
0.0315,1.0,266.0
0.0315,1.0,266.0
0.0315,1.0,266.0
0.0315,1.0,266.0
0.0315,1.0,266.0
0.0315,1.0,266.0
0.0316,1.0,266.0
0.0316,1.0,266.0
0.0316,1.0,266.0
0.0316,1.0,266.0
0.0316,1.0,266.0
0.0316,1.0,266.0
0.0316,1.0,266.0
0.0316,1.0,266.0
0.0316,1.0,266.0
0.0316,1.0,266.0
0.0317,1.0,266.0
0.0317,1.0,266.0
0.0317,1.0,267.0
0.0317,1.0,267.0
0.0317,1.0,267.0
0.0317,1.0,267.0
0.0317,1.0,267.0
0.0317,1.0,267.0
0.0317,1.0,267.0
0.0317,1.0,267.0
0.0318,1.0,267.0
0.0318,1.0,267.0
0.0318,1.0,267.0
0.0318,1.0,267.0
0.0318,1.0,267.0
0.0318,1.0,267.0
0.0318,1.0,267.0
0.0318,1.0,267.0
0.0318,1.0,267.0
0.0318,1.0,267.0
0.0319,1.0,267.0
0.0319,1.0,267.0
0.0319,1.0,267.0
0.0319,1.0,267.0
0.0319,1.0,267.0
0.0319,1.0,267.0
0.0319,1.0,267.0
0.0319,1.0,267.0
0.0319,1.0,267.0
0.0319,1.0,267.0
0.032,1.0,267.0
0.032,1.0,267.0
0.032,1.0,267.0
0.032,1.0,267.0
0.032,1.0,267.0
0.032,1.0,267.0
0.032,1.0,267.0
0.032,1.0,267.0
0.032,1.0,266.0
0.032,1.0,266.0
0.0321,1.0,266.0
0.0321,1.0,266.0
0.0321,1.0,266.0
0.0321,1.0,266.0
0.0321,1.0,266.0
0.0321,1.0,266.0
0.0321,1.0,266.0
0.0321,1.0,266.0
0.0321,1.0,266.0
0.0321,1.0,266.0
0.0322,1.0,266.0
0.0322,1.0,266.0
0.0322,1.0,266.0
0.0322,1.0,266.0
0.0322,1.0,266.0
0.0322,1.0,266.0
0.0322,1.0,266.0
0.0322,1.0,265.0
0.0322,1.0,265.0
0.0322,1.0,265.0
0.0323,1.0,265.0
0.0323,1.0,265.0
0.0323,1.0,265.0
0.0323,1.0,265.0
0.0323,1.0,265.0
0.0323,1.0,265.0
0.0323,1.0,265.0
0.0323,1.0,265.0
0.0323,1.0,265.0
0.0323,1.0,265.0
0.0324,1.0,264.0
0.0324,1.0,264.0
0.0324,1.0,264.0
0.0324,1.0,264.0
0.0324,1.0,264.0
