"time","CC_r(0)","CC_r(1)","CC_r(2)","CC_r(3)","CC_r(4)","CC_r(5)","CC_r(6)","CC_r(7)","CC_r(8)","CC_r(9)","CC_r(10)","CC_r(11)","CC_r(12)","CC_r(13)","CC_r(14)","CC_r(15)","CC_r(16)","CC_r(17)","CC_r(18)","CC_r(19)","CC_r(20)","CC_r(21)","CC_r(22)","CC_r(23)","CC_r(24)","CC_r(25)","CC_r(26)","CC_r(27)","CC_r(28)","CC_r(29)","CC_r(30)","CC_r(31)","CC_r(32)","CC_r(33)","CC_r(34)","CC_r(35)","CC_r(36)","CC_r(37)","CC_r(38)","CC_r(39)","CC_r(40)","CC_r(41)","CC_r(42)","CC_r(43)","CC_r(44)","CC_r(45)","CC_r(46)","CC_r(47)","CC_r(48)","CC_r(49)","CC_r(50)","CC_r(51)","CC_r(52)","CC_r(53)","CC_r(54)","CC_r(55)","CC_r(56)","CC_r(57)","CC_r(58)","CC_r(59)","CC_r(60)","CC_r(61)","CC_r(62)","CC_r(63)","CC_r(64)","CC_r(65)","CC_r(66)","CC_r(67)","CC_r(68)","CC_r(69)","CC_r(70)","CC_r(71)","CC_r(72)","CC_r(73)","CC_r(74)","CC_r(75)","CC_r(76)","CC_r(77)","CC_r(78)","CC_r(79)","CC_r(80)","CC_r(81)","CC_r(82)","CC_r(83)","CC_r(84)","CC_r(85)","CC_r(86)","CC_r(87)","CC_r(88)","CC_r(89)","CC_r(90)","CC_r(91)","CC_r(92)","CC_r(93)","CC_r(94)","CC_r(95)","CC_r(96)","CC_r(97)","CC_r(98)","CC_r(99)","CC_r(100)","CC_r(101)","CC_r(102)","CC_r(103)","CC_r(104)","CC_r(105)","CC_r(106)","CC_r(107)","CC_r(108)","CC_r(109)","CC_r(110)","CC_r(111)","CC_r(112)","CC_r(113)","CC_r(114)","CC_r(115)","CC_r(116)","CC_r(117)","CC_r(118)","CC_r(119)","CC_r(120)","CC_r(121)","CC_r(122)","CC_r(123)","CC_r(124)","CC_r(125)","CC_r(126)","CC_r(127)","CC_r(128)","CC_r(129)","CC_r(130)","CC_r(131)","CC_r(132)","CC_r(133)","CC_r(134)","CC_r(135)","CC_r(136)","CC_r(137)","CC_r(138)","CC_r(139)","CC_r(140)","CC_r(141)","CC_r(142)","CC_r(143)","CC_r(144)","CC_r(145)","CC_r(146)"
0.1,0.1,0.9818947572,9.639192782,9.639192782,-9.922141929,0.0499358953,0.9974197924,0.9974197924,9.922141929,0,0,0,-0,0,0,0,-0,-10.91237169,-0.0009922141929,0,-0,0,19.84428386,-9.922141929,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,9.639192782,-9.922141929,0.9974197924,9.922141929,0,-0,0,-0,0.9818947572,9.639192782,0.0499358953,0.9974197924,0,0,0,0,-10.91237169,-0.0009922141929,0,-0,0,19.84428386,-9.922141929,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-0,-19.84428386,-0,-8.64177299,-0.9974197924,-0,-1.000000001,-1,-1,0.3,0.8,-20.83451362,-21.82672782,-0.0009922141929,-0,-0.9999999991,-0.9999999999,-1
0.11,0.11,1.077738743,9.52447226,9.52447226,-12.99587832,0.06040593295,1.096560349,1.096560349,9.905708377,0,0,0,-0,0,0,0,-0,-10.89398906,-0.0009905708377,0,-0,0,22.9015867,-9.905708377,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,9.52447226,-12.99587832,1.096560349,9.905708377,0,-0,0,-0,1.077738743,9.52447226,0.06040593295,1.096560349,0,0,0,0,-10.89398906,-0.0009905708377,0,-0,0,22.9015867,-9.905708377,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-0,-19.81141675,-0,-8.427911911,-1.096560349,-0,-1.000000001,-1,-1,0.29,0.79,-20.79969743,-21.79026827,-0.0009905708377,-0,-0.9999999992,-0.9999999999,-1
0.12,0.12,1.172285672,9.3802906,9.3802906,-15.76556312,0.0718665284,1.195528746,1.195528746,9.887710599,0,0,0,-0,0,0,0,-0,-10.87391633,-0.0009887710599,0,-0,0,25.65327372,-9.887710599,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,9.3802906,-15.76556312,1.195528746,9.887710599,0,-0,0,-0,1.172285672,9.3802906,0.0718665284,1.195528746,0,0,0,0,-10.87391633,-0.0009887710599,0,-0,0,25.65327372,-9.887710599,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-0,-19.7754212,-0,-8.184761854,-1.195528746,-0,-1.000000001,-1,-1,0.28,0.78,-20.76162693,-21.75039799,-0.0009887710599,-0,-0.9999999992,-0.9999999999,-1
0.13,0.13,1.265260864,9.211089154,9.211089154,-17.95832138,0.08431588191,1.294309356,1.294309356,9.868151437,0,0,0,-0,0,0,0,-0,-10.85218393,-0.0009868151437,0,-0,0,27.82647282,-9.868151437,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,9.211089154,-17.95832138,1.294309356,9.868151437,0,-0,0,-0,1.265260864,9.211089154,0.08431588191,1.294309356,0,0,0,0,-10.85218393,-0.0009868151437,0,-0,0,27.82647282,-9.868151437,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-0,-19.73630287,-0,-7.916779798,-1.294309356,-0,-1.000000001,-1,-1,0.27,0.77,-20.72033537,-21.70715051,-0.0009868151437,-0,-0.9999999992,-0.9999999999,-1
0.14,0.14,1.356446857,9.023776747,9.023776747,-19.35759914,0.09775203757,1.39288658,1.39288658,9.847033979,0,0,0,-0,0,0,0,-0,-10.82881691,-0.0009847033979,0,-0,0,29.20463312,-9.847033979,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,9.023776747,-19.35759914,1.39288658,9.847033979,0,-0,0,-0,1.356446857,9.023776747,0.09775203757,1.39288658,0,0,0,0,-10.82881691,-0.0009847033979,0,-0,0,29.20463312,-9.847033979,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-0,-19.69406796,-0,-7.630890166,-1.39288658,-0,-1.000000001,-1,-1,0.26,0.76,-20.67585089,-21.66055429,-0.0009847033979,-0,-0.9999999992,-0.9999999999,-1
0.15,0.15,1.445704891,8.827055014,8.827055014,-19.82436156,0.1121728837,1.491244852,1.491244852,9.82436156,0,0,0,-0,0,0,0,-0,-10.80383284,-0.000982436156,0,-0,0,29.64872312,-9.82436156,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,8.827055014,-19.82436156,1.491244852,9.82436156,0,-0,0,-0,1.445704891,8.827055014,0.1121728837,1.491244852,0,0,0,0,-10.80383284,-0.000982436156,0,-0,0,29.64872312,-9.82436156,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-0,-19.64872312,-0,-7.335810162,-1.491244852,-0,-1.000000001,-1,-1,0.25,0.75,-20.6281944,-21.61063056,-0.000982436156,-0,-0.9999999993,-0.9999999999,-1
0.16,0.16,1.532988664,8.630567925,8.630567925,-19.31070292,0.127576153,1.58936864,1.58936864,9.800137761,0,0,0,-0,0,0,0,-0,-10.77724045,-0.0009800137761,0,-0,0,29.11084068,-9.800137761,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,8.630567925,-19.31070292,1.58936864,9.800137761,0,-0,0,-0,1.532988664,8.630567925,0.127576153,1.58936864,0,0,0,0,-10.77724045,-0.0009800137761,0,-0,0,29.11084068,-9.800137761,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-0,-19.60027552,-0,-7.041199285,-1.58936864,-0,-1.000000001,-1,-1,0.24,0.74,-20.57737821,-21.55739199,-0.0009800137761,-0,-0.9999999993,-0.9999999998,-1
0.17,0.17,1.618349017,8.443959672,8.443959672,-17.86453635,0.1439594232,1.687242449,1.687242449,9.774366406,0,0,0,-0,0,0,0,-0,-10.74903916,-0.0009774366406,0,-0,0,27.63890276,-9.774366406,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,8.443959672,-17.86453635,1.687242449,9.774366406,0,-0,0,-0,1.618349017,8.443959672,0.1439594232,1.687242449,0,0,0,0,-10.74903916,-0.0009774366406,0,-0,0,27.63890276,-9.774366406,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-0,-19.54873281,-0,-6.756717224,-1.687242449,-0,-1.000000001,-1,-1,0.23,0.73,-20.52340556,-21.5008422,-0.0009774366406,-0,-0.9999999993,-0.9999999998,-1
0.18,0.18,1.701929512,8.275933127,8.275933127,-15.62490409,0.1613201172,1.784850823,1.784850823,9.747051566,0,0,0,-0,0,0,0,-0,-10.71921953,-0.0009747051566,0,-0,0,25.37195565,-9.747051566,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,8.275933127,-15.62490409,1.784850823,9.747051566,0,-0,0,-0,1.701929512,8.275933127,0.1613201172,1.784850823,0,0,0,0,-10.71921953,-0.0009747051566,0,-0,0,25.37195565,-9.747051566,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-0,-19.49410313,-0,-6.491082304,-1.784850823,-0,-1.000000001,-1,-1,0.22,0.72,-20.46627109,-21.44097625,-0.0009747051566,-0,-0.9999999994,-0.9999999998,-1
0.19,0.19,1.783952511,8.133396813,8.133396813,-12.8083675,0.1796555035,1.88217835,1.88217835,9.718197553,0,0,0,-0,0,0,0,-0,-10.68776465,-0.0009718197553,0,-0,0,22.52656505,-9.718197553,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,8.133396813,-12.8083675,1.88217835,9.718197553,0,-0,0,-0,1.783952511,8.133396813,0.1796555035,1.88217835,0,0,0,0,-10.68776465,-0.0009718197553,0,-0,0,22.52656505,-9.718197553,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-0,-19.43639511,-0,-6.251218463,-1.88217835,-0,-1.000000001,-1,-1,0.21,0.71,-20.4059622,-21.37778196,-0.0009718197553,-0,-0.9999999994,-0.9999999998,-1
0.2,0.2,1.864697305,8.020791507,8.020791507,-9.687808924,0.1989626968,1.979209659,1.979209659,9.687808924,0,0,0,-0,0,0,0,-0,-10.65465225,-0.0009687808924,0,-0,0,19.37561785,-9.687808924,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,8.020791507,-9.687808924,1.979209659,9.687808924,0,-0,0,-0,1.864697305,8.020791507,0.1989626968,1.979209659,0,0,0,0,-10.65465225,-0.0009687808924,0,-0,0,19.37561785,-9.687808924,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-0,-19.37561785,-0,-6.041581848,-1.979209659,-0,-1.000000001,-1,-1,0.2,0.7,-20.34246118,-21.31124207,-0.0009687808924,-0,-0.9999999994,-0.9999999998,-1
0.21,0.21,1.944473423,7.939656636,7.939656636,-6.565720534,0.2192386582,2.075929429,2.075929429,9.655890478,0,0,0,-0,0,0,0,-0,-10.61985736,-0.0009655890478,0,-0,0,16.22161101,-9.655890478,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,7.939656636,-6.565720534,2.075929429,9.655890478,0,-0,0,-0,1.944473423,7.939656636,0.2192386582,2.075929429,0,0,0,0,-10.61985736,-0.0009655890478,0,-0,0,16.22161101,-9.655890478,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-0,-19.31178096,-0,-5.863727207,-2.075929429,-0,-1.000000001,-1,-1,0.19,0.69,-20.27574784,-21.24133689,-0.0009655890478,-0,-0.9999999994,-0.9999999998,-1
0.22,0.22,2.023590575,7.888482352,7.888482352,-3.744594732,0.240480196,2.172322386,2.172322386,9.622447255,0,0,0,-0,0,0,0,-0,-10.58335528,-0.0009622447255,0,-0,0,13.36704199,-9.622447255,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,7.888482352,-3.744594732,2.172322386,9.622447255,0,-0,0,-0,2.023590575,7.888482352,0.240480196,2.172322386,0,0,0,0,-10.58335528,-0.0009622447255,0,-0,0,13.36704199,-9.622447255,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-0,-19.24489451,-0,-5.716159967,-2.172322386,-0,-1.000000001,-1,-1,0.18,0.68,-20.20580253,-21.16804726,-0.0009622447255,-0,-0.9999999994,-0.9999999998,-1
0.23,0.23,2.102328587,7.862857368,7.862857368,-1.497314592,0.2626839658,2.268373309,2.268373309,9.587484536,0,0,0,-0,0,0,0,-0,-10.54512451,-0.0009587484536,0,-0,0,11.08479913,-9.587484536,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,7.862857368,-1.497314592,2.268373309,9.587484536,0,-0,0,-0,2.102328587,7.862857368,0.2626839658,2.268373309,0,0,0,0,-10.54512451,-0.0009587484536,0,-0,0,11.08479913,-9.587484536,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-0,-19.17496907,-0,-5.594484059,-2.268373309,-0,-1.000000001,-1,-1,0.17,0.67,-20.13260904,-21.0913575,-0.0009587484536,-0,-0.9999999994,-0.9999999998,-1
