"time","TRes"
0,293.15
0.01,293.15
0.01,293.25
0.02,293.25
0.02,293.35
0.03,293.35
0.03,293.449
0.04,293.449
0.04,293.549
0.05,293.549
0.05,293.648
0.06,293.648
0.06,293.747
0.07,293.747
0.07,293.847
0.08,293.847
0.08,293.946
0.09,293.946
0.09,294.044
0.1,294.044
0.1,294.143
0.11,294.143
0.11,294.242
0.12,294.242
0.12,294.34
0.13,294.34
0.13,294.438
0.14,294.438
0.14,294.536
0.15,294.536
0.15,294.634
0.16,294.634
0.16,294.732
0.17,294.732
0.17,294.83
0.18,294.83
0.18,294.928
0.19,294.928
0.19,295.025
0.2,295.025
0.2,295.122
0.21,295.122
0.21,295.22
0.22,295.22
0.22,295.317
0.23,295.317
0.23,295.414
0.24,295.414
0.24,295.51
0.25,295.51
0.25,295.607
0.26,295.607
0.26,295.704
0.27,295.704
0.27,295.8
0.28,295.8
0.28,295.896
0.29,295.896
0.29,295.992
0.3,295.992
0.3,296.088
0.31,296.088
0.31,296.184
0.32,296.184
0.32,296.28
0.33,296.28
0.33,296.376
0.34,296.376
0.34,296.471
0.35,296.471
0.35,296.566
0.36,296.566
0.36,296.661
0.37,296.661
0.37,296.757
0.38,296.757
0.38,296.851
0.39,296.851
0.39,296.946
0.4,296.946
0.4,297.041
0.41,297.041
0.41,297.135
0.42,297.135
0.42,297.23
0.43,297.23
0.43,297.324
0.44,297.324
0.44,297.418
0.45,297.418
0.45,297.512
0.46,297.512
0.46,297.606
0.47,297.606
0.47,297.7
0.48,297.7
0.48,297.794
0.49,297.794
0.49,297.887
0.5,297.887
0.5,297.981
0.51,297.981
0.51,298.074
0.52,298.074
0.52,298.167
0.53,298.167
0.53,298.26
0.54,298.26
0.54,298.353
0.55,298.353
0.55,298.445
0.56,298.445
0.56,298.538
0.57,298.538
0.57,298.631
0.58,298.631
0.58,298.723
0.59,298.723
0.59,298.815
0.6,298.815
0.6,298.907
0.61,298.907
0.61,298.999
0.62,298.999
0.62,299.091
0.63,299.091
0.63,299.148
0.64,299.148
0.64,299.142
0.65,299.142
0.65,299.136
0.66,299.136
0.66,299.13
0.67,299.13
0.67,299.124
0.68,299.124
0.68,299.118
0.69,299.118
0.69,299.112
0.7,299.112
0.7,299.106
0.71,299.106
0.71,299.1
0.72,299.1
0.72,299.094
0.73,299.094
0.73,299.088
0.74,299.088
0.74,299.082
0.75,299.082
0.75,299.076
0.76,299.076
0.76,299.07
0.77,299.07
0.77,299.064
0.78,299.064
0.78,299.059
0.79,299.059
0.79,299.053
0.8,299.053
0.8,299.047
0.81,299.047
0.81,299.041
0.82,299.041
0.82,299.035
0.83,299.035
0.83,299.029
0.84,299.029
0.84,299.023
0.85,299.023
0.85,299.017
0.86,299.017
0.86,299.011
0.87,299.011
0.87,299.006
0.88,299.006
0.88,299
0.89,299
0.89,298.994
0.9,298.994
0.9,298.988
0.91,298.988
0.91,298.982
0.92,298.982
0.92,298.976
0.93,298.976
0.93,298.971
0.94,298.971
0.94,298.965
0.95,298.965
0.95,298.959
0.96,298.959
0.96,298.953
0.97,298.953
0.97,298.947
0.98,298.947
0.98,298.942
0.99,298.942
0.99,298.936
1,298.936
1,298.93
1.01,298.93
1.01,298.924
1.02,298.924
1.02,298.918
1.03,298.918
1.03,298.913
1.04,298.913
1.04,298.907
1.05,298.907
1.05,298.901
1.06,298.901
1.06,298.895
1.07,298.895
1.07,298.89
1.08,298.89
1.08,298.884
1.09,298.884
1.09,298.878
1.1,298.878
1.1,298.872
1.11,298.872
1.11,298.867
1.12,298.867
1.12,298.861
1.13,298.861
1.13,298.855
1.14,298.855
1.14,298.85
1.15,298.85
1.15,298.844
1.16,298.844
1.16,298.838
