"time","smx"
0,0
0.001,-2.333268882e-012
0.002,-5.821698764e-012
0.003,-1.008197238e-011
0.004,-1.408130359e-011
0.005,-1.650178591e-011
0.006,-1.836211573e-011
0.007,-1.952293398e-011
0.008,-1.928500416e-011
0.009,-1.806322127e-011
0.01,-1.58575853e-011
0.011,-1.503150342e-011
0.012,-1.409091656e-011
0.013,-1.295326401e-011
0.014,-1.161854579e-011
0.015,-1.008676188e-011
0.016,-9.244214139e-012
0.017,-9.028953989e-012
0.018,-9.06545871e-012
0.019,-9.353728302e-012
0.02,-9.893762765e-012
0.021,-1.049306552e-011
0.022,-1.088244531e-011
0.023,-1.133742042e-011
0.024,-1.185799084e-011
0.025,-1.244415658e-011
0.026,-1.306274954e-011
0.027,-1.322770349e-011
0.028,-1.334052534e-011
0.029,-1.34012151e-011
0.03,-1.340977277e-011
0.031,-1.336619834e-011
0.032,-1.327049183e-011
0.033,-1.312265321e-011
0.034,-1.292268251e-011
0.035,-1.283610528e-011
0.036,-1.278143017e-011
0.037,-1.272675506e-011
0.038,-1.267207994e-011
0.039,-1.261740483e-011
0.04,-1.256272972e-011
0.041,-1.250805461e-011
0.042,-1.24533795e-011
0.043,-1.239870439e-011
0.044,-1.234402928e-011
0.045,-1.228935417e-011
0.046,-1.223467906e-011
0.047,-1.218000394e-011
0.048,-1.217238821e-011
0.049,-1.217378721e-011
0.05,-1.217518621e-011
0.051,-1.217658521e-011
0.052,-1.21779842e-011
0.053,-1.21793832e-011
0.054,-1.21807822e-011
0.055,-1.218218119e-011
0.056,-1.218358019e-011
0.057,-1.218497919e-011
0.058,-1.218637819e-011
0.059,-1.218777718e-011
0.06,-1.218917618e-011
0.061,-1.219057518e-011
0.062,-1.219197417e-011
0.063,-1.219337317e-011
0.064,-1.219477217e-011
0.065,-1.219617117e-011
0.066,-1.219757016e-011
0.067,-1.219896916e-011
0.068,-1.220036816e-011
0.069,-1.220176715e-011
0.07,-1.220316615e-011
0.071,-1.220456515e-011
0.072,-1.220596415e-011
0.073,-1.220630641e-011
0.074,-1.220641511e-011
0.075,-1.220652381e-011
0.076,-1.22066325e-011
0.077,-1.22067412e-011
0.078,-1.22068499e-011
0.079,-1.22069586e-011
0.08,-1.22070673e-011
0.081,-1.220717599e-011
0.082,-1.220728469e-011
0.083,-1.220739339e-011
0.084,-1.220750209e-011
0.085,-1.220761079e-011
0.086,-1.220771948e-011
0.087,-1.220782818e-011
0.088,-1.220793688e-011
0.089,-1.220804558e-011
0.09,-1.220815428e-011
0.091,-1.220826297e-011
0.092,-1.220837167e-011
0.093,-1.220848037e-011
0.094,-1.220858907e-011
0.095,-1.220869777e-011
0.096,-1.220880646e-011
0.097,-1.220891516e-011
0.098,-1.220902386e-011
0.099,-1.220913256e-011
0.1,-1.220924126e-011
0.101,-1.220934995e-011
0.102,-1.220945865e-011
0.103,-1.220956735e-011
0.104,-1.220967605e-011
0.105,-1.220978475e-011
0.106,-1.220989345e-011
0.107,-1.221000214e-011
0.108,-1.221011084e-011
0.109,-1.221021954e-011
0.11,-1.221032824e-011
0.111,-1.221043694e-011
0.112,-1.221054563e-011
0.113,-1.221065433e-011
0.114,-1.221076303e-011
0.115,-1.221087173e-011
0.116,-1.221098043e-011
0.117,-1.221108912e-011
0.118,-1.221119782e-011
0.119,-1.221130652e-011
0.12,-1.221141522e-011
0.121,-1.221152392e-011
0.122,-1.221163261e-011
0.123,-1.221174131e-011
0.124,-1.221185001e-011
0.125,-1.221195871e-011
0.126,-1.221206741e-011
0.127,-1.22121761e-011
0.128,-1.22122848e-011
0.129,-1.22123935e-011
0.13,-1.22125022e-011
0.131,-1.22126109e-011
0.132,-1.221271959e-011
0.133,-1.221282829e-011
0.134,-1.221293699e-011
0.135,-1.221302576e-011
0.136,-1.221302566e-011
0.137,-1.221302557e-011
0.138,-1.221302547e-011
0.139,-1.221302538e-011
0.14,-1.221302528e-011
0.141,-1.221302519e-011
0.142,-1.221302509e-011
0.143,-1.221302499e-011
0.144,-1.22130249e-011
0.145,-1.22130248e-011
0.146,-1.221302471e-011
0.147,-1.221302461e-011
0.148,-1.221302452e-011
0.149,-1.221302442e-011
0.15,-1.221302433e-011
0.151,-1.221302423e-011
0.152,-1.221302414e-011
0.153,-1.221302404e-011
0.154,-1.221302395e-011
0.155,-1.221302385e-011
0.156,-1.221302376e-011
0.157,-1.221302366e-011
0.158,-1.221302356e-011
0.159,-1.221302347e-011
0.16,-1.221302337e-011
0.161,-1.221302328e-011
