"time","outputs[1]","outputs[2]","outputs[3]","outputs[4]"
0,10,0,0,0
0.003,9.97094,0.03,0,0
0.006,9.9447,0.0599997,0,0
0.009,9.92124,0.0899987,0,0
0.012,9.90051,0.119997,0,0
0.015,9.88243,0.149993,0,0
0.018,9.86688,0.179987,0,0
0.021,9.85375,0.209979,0,0
0.024,9.84287,0.239969,0,0
0.027,9.83409,0.269954,0,0
0.03,9.82722,0.299937,0,0
0.033,9.82205,0.329915,0,0
0.036,9.81835,0.359888,0,0
0.039,9.81591,0.389857,0,0
0.042,9.81447,0.41982,0,0
0.045,9.81378,0.449778,0,0
0.048,9.81358,0.479729,0,0
0.051,9.81361,0.509674,0,0
0.054,9.8136,0.539611,0,0
0.057,9.81329,0.569541,0,0
0.06,9.81242,0.599463,0,0
0.064,9.80993,0.639346,0,0
0.067,9.80675,0.669248,0,0
0.07,9.80218,0.699141,0,0
0.073,9.79599,0.729024,0,0
0.076,9.78798,0.758896,0,0
0.079,9.77795,0.788758,0,0
0.082,9.76573,0.818609,0,0
0.085,9.75116,0.848448,0,0
0.088,9.7341,0.878276,0,0
0.091,9.71444,0.908091,0,0
0.094,9.6921,0.937894,0,0
0.097,9.667,0.967683,0,0
0.1,9.63911,0.997459,0,0
0.103,9.60841,1.02722,0,0
0.106,9.5749,1.05697,0,0
0.109,9.53862,1.0867,0,0
0.112,9.49964,1.11642,0,0
0.115,9.45803,1.14612,0,0
0.118,9.41389,1.1758,0,0
0.121,9.36737,1.20547,0,0
0.124,9.3186,1.23512,0,0
0.128,9.25039,1.27463,0,0
0.131,9.19708,1.30424,0,0
0.134,9.14216,1.33384,0,0
0.137,9.08587,1.36341,0,0
0.14,9.02843,1.39296,0,0
0.143,8.9701,1.4225,0,0
0.146,8.91112,1.45201,0,0
0.149,8.85177,1.48151,0,0
0.152,8.79231,1.51098,0,0
0.155,8.733,1.54043,0,0
0.158,8.67411,1.56986,0,0
0.161,8.6159,1.59927,0,0
0.164,8.55864,1.62865,0,0
0.167,8.50255,1.65802,0,0
0.17,8.44789,1.68736,0,0
0.173,8.39488,1.71667,0,0
0.176,8.34373,1.74596,0,0
0.179,8.29463,1.77523,0,0
0.182,8.24776,1.80447,0,0
0.185,8.20328,1.83368,0,0
0.188,8.16132,1.86287,0,0
0.191,8.122,1.89204,0,0
0.194,8.0854,1.92117,0,0
0.197,8.0516,1.95028,0,0
0.2,8.02063,1.97937,0,0
0.203,7.99252,2.00842,0,0
0.206,7.96726,2.03745,0,0
0.209,7.9448,2.06644,0,0
0.212,7.9251,2.09541,0,0
0.215,7.90807,2.12435,0,0
0.218,7.89361,2.15326,0,0
0.221,7.88159,2.18213,0,0
0.224,7.87186,2.21098,0,0
0.227,7.86425,2.2398,0,0
0.23,7.85858,2.26858,0,0
0.233,7.85463,2.29733,0,0
0.236,7.85219,2.32605,0,0
0.239,7.85103,2.35474,0,0
0.242,7.8509,2.38339,0,0
0.245,7.85155,2.41201,0,0
0.248,7.85271,2.44059,0,0
0.252,7.85462,2.47865,0,0
0.255,7.85598,2.50716,0,0
0.258,7.85697,2.53563,0,0
0.261,7.85734,2.56406,0,0
0.264,7.85682,2.59246,0,0
0.267,7.85518,2.62081,0,0
0.27,7.85218,2.64914,0,0
0.273,7.8476,2.67742,0,0
0.276,7.84121,2.70567,0,0
0.279,7.83283,2.73388,0,0
0.282,7.82229,2.76205,0,0
0.285,7.80943,2.79018,0,0
0.288,7.7941,2.81827,0,0
0.291,7.77621,2.84632,0,0
0.294,7.75566,2.87434,0,0
0.297,7.73238,2.90231,0,0
0.3,7.70633,2.93024,0,0
0.303,7.6775,2.95812,0,0
0.306,7.6459,2.98597,0,0
0.309,7.61155,3.01377,0,0
0.312,7.57452,3.04154,0,0
0.315,7.53489,3.06925,0,0
