"time",	"der(x0)",	"der(x1)",	"mu",	"x0",	"x1"
0,	0,	-2,	1,	2,	0
0.1,	-0.2,	-1.4,	1,	2,	-0.2
0.2,	-0.34,	-0.987064,	1,	1.98,	-0.34
0.3,	-0.438706,	-0.723362,	1,	1.946,	-0.438706
0.4,	-0.511043,	-0.564171,	1,	1.902129,	-0.511043
0.5,	-0.56746,	-0.474201,	1,	1.851025,	-0.56746
0.6,	-0.61488,	-0.429592,	1,	1.794279,	-0.61488
0.7,	-0.657839,	-0.415426,	1,	1.732791,	-0.657839
0.8,	-0.699382,	-0.422868,	1,	1.667007,	-0.699382
0.9,	-0.741668,	-0.447016,	1,	1.597069,	-0.741668
1,	-0.78637,	-0.485498,	1,	1.522902,	-0.78637
1.1,	-0.83492,	-0.537624,	1,	1.444265,	-0.83492
1.2,	-0.888682,	-0.603879,	1,	1.360773,	-0.888682
1.3,	-0.94907,	-0.685624,	1,	1.271905,	-0.94907
1.4,	-1.017633,	-0.784879,	1,	1.176998,	-1.017633
1.5,	-1.09612,	-0.904098,	1,	1.075235,	-1.09612
1.6,	-1.18653,	-1.0458,	1,	0.965623,	-1.18653
1.7,	-1.29111,	-1.211892,	1,	0.84697,	-1.29111
1.8,	-1.412299,	-1.40237,	1,	0.717859,	-1.412299
1.9,	-1.552536,	-1.612946,	1,	0.576629,	-1.552536
2,	-1.713831,	-1.830903,	1,	0.421375,	-1.713831
2.1,	-1.896921,	-2.028363,	1,	0.249992,	-1.896921
2.2,	-2.099758,	-2.152423,	1,	0.0603,	-2.099758
2.3,	-2.315,	-2.113461,	1,	-0.149676,	-2.315
2.4,	-2.526346,	-1.778105,	1,	-0.381176,	-2.526346
2.5,	-2.704157,	-0.984044,	1,	-0.633811,	-2.704157
2.6,	-2.802561,	0.393109,	1,	-0.904226,	-2.802561
2.7,	-2.76325,	2.298067,	1,	-1.184482,	-2.76325
2.8,	-2.533443,	4.333626,	1,	-1.460807,	-2.533443
2.9,	-2.100081,	5.784771,	1,	-1.714152,	-2.100081
3,	-1.521604,	6.036127,	1,	-1.92416,	-1.521604
3.1,	-0.917991,	5.115884,	1,	-2.07632,	-0.917991
3.2,	-0.406402,	3.672109,	1,	-2.168119,	-0.406402
3.3,	-0.039192,	2.360768,	1,	-2.208759,	-0.039192
3.4,	0.196885,	1.445624,	1,	-2.212679,	0.196885
3.5,	0.341448,	0.892346,	1,	-2.19299,	0.341448
3.6,	0.430682,	0.582284,	1,	-2.158845,	0.430682
3.7,	0.488911,	0.416073,	1,	-2.115777,	0.488911
3.8,	0.530518,	0.331022,	1,	-2.066886,	0.530518
3.9,	0.56362,	0.291677,	1,	-2.013834,	0.56362
4,	0.592788,	0.278876,	1,	-1.957472,	0.592788
4.1,	0.620675,	0.282489,	1,	-1.898193,	0.620675
4.2,	0.648924,	0.297294,	1,	-1.836126,	0.648924
4.3,	0.678654,	0.320769,	1,	-1.771233,	0.678654
4.4,	0.710731,	0.35194,	1,	-1.703368,	0.710731
4.5,	0.745925,	0.390788,	1,	-1.632295,	0.745925
4.6,	0.785003,	0.437945,	1,	-1.557702,	0.785003
4.7,	0.828798,	0.494558,	1,	-1.479202,	0.828798
4.8,	0.878254,	0.562231,	1,	-1.396322,	0.878254
4.9,	0.934477,	0.642996,	1,	-1.308497,	0.934477
5,	0.998776,	0.739287,	1,	-1.215049,	0.998776
5.1,	1.072705,	0.853852,	1,	-1.115172,	1.072705
