"time","driveAngle","integrator.y","inertia1.w","PI.I.y","spring.w_rel","spring.phi_rel","inertia1.phi"
0.00000000000000E+00,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
1.00000000000000E-02,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
2.00000000000000E-02,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
3.00000000000000E-02,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
4.00000000000000E-02,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
5.00000000000000E-02,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
6.00000000000000E-02,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
7.00000000000000E-02,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
8.00000000000000E-02,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
9.00000000000000E-02,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
1.00000000000000E-01,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
1.10000000000000E-01,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
1.20000000000000E-01,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
1.30000000000000E-01,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
1.40000000000000E-01,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
1.50000000000000E-01,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
1.60000000000000E-01,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
1.70000000000000E-01,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
1.80000000000000E-01,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
1.90000000000000E-01,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
2.00000000000000E-01,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
2.10000000000000E-01,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
2.20000000000000E-01,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
2.30000000000000E-01,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
2.40000000000000E-01,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
2.50000000000000E-01,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
2.60000000000000E-01,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
2.70000000000000E-01,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
2.80000000000000E-01,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
2.90000000000000E-01,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
3.00000000000000E-01,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
3.10000000000000E-01,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
3.20000000000000E-01,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
3.30000000000000E-01,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
3.40000000000000E-01,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
3.50000000000000E-01,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
3.60000000000000E-01,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
3.70000000000000E-01,1.57000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.00000000000000E-01,0.00000000000000E+00,1.00000000000000E-03,0.00000000000000E+00
