"time","Out1"
0,0
0.0502513,0.00126232
0.100503,0.00504611
0.150754,0.0113418
0.201005,0.0201336
0.251256,0.0313991
0.301508,0.0451101
0.351759,0.0612318
0.40201,0.0797236
0.452261,0.100539
0.502513,0.123625
0.552764,0.148923
0.603015,0.176371
0.653266,0.205897
0.703518,0.237429
0.753769,0.270885
0.80402,0.306183
0.854271,0.343232
0.904523,0.381939
0.954774,0.422207
1.00503,0.463933
1.05528,0.507013
1.10553,0.551337
1.15578,0.596794
1.20603,0.643269
1.25628,0.690645
1.30653,0.738801
1.35678,0.787618
1.40704,0.83697
1.45729,0.886734
1.50754,0.936783
1.55779,0.986993
1.60804,1.03724
1.65829,1.08738
1.70854,1.13731
1.75879,1.18689
1.80905,1.236
1.8593,1.28451
1.90955,1.33231
1.9598,1.37927
2.01005,1.42526
2.0603,1.47019
2.11055,1.51393
2.1608,1.55637
2.21106,1.5974
2.26131,1.63693
2.31156,1.67485
2.36181,1.71107
2.41206,1.74549
2.46231,1.77802
2.51256,1.8086
2.56281,1.83713
2.61307,1.86355
2.66332,1.88779
2.71357,1.90979
2.76382,1.92949
2.81407,1.94684
2.86432,1.96181
2.91457,1.97434
2.96482,1.98442
3.01508,1.99201
3.06533,1.99709
3.11558,1.99966
3.16583,1.99971
3.21608,1.99723
3.26633,1.99223
3.31658,1.98473
3.36683,1.97474
3.41709,1.96229
3.46734,1.94741
3.51759,1.93014
3.56784,1.91052
3.61809,1.88861
3.66834,1.86445
3.71859,1.8381
3.76884,1.80964
3.8191,1.77914
3.86935,1.74667
3.9196,1.71231
3.96985,1.67616
4.0201,1.6383
4.07035,1.59883
4.1206,1.55784
4.17085,1.51545
4.22111,1.47176
4.27136,1.42687
4.32161,1.38091
4.37186,1.33399
4.42211,1.28622
4.47236,1.23773
4.52261,1.18864
4.57286,1.13907
4.62312,1.08915
4.67337,1.03901
4.72362,0.988771
4.77387,0.938558
4.82412,0.888501
4.87437,0.838725
4.92462,0.789356
4.97487,0.740518
5.02513,0.692336
5.07538,0.644931
5.12563,0.598422
5.17588,0.552927
5.22613,0.508561
5.27638,0.465435
5.32663,0.423659
5.37688,0.383338
5.42714,0.344574
5.47739,0.307465
5.52764,0.272104
5.57789,0.23858
5.62814,0.206979
5.67839,0.17738
5.72864,0.149858
5.77889,0.124483
5.82915,0.101317
5.8794,0.0804209
5.92965,0.0618461
5.9799,0.0456397
6.03015,0.0318428
6.0804,0.0204902
6.13065,0.0116105
6.1809,0.0052262
6.23116,0.00135332
6.28141,1.66729e-06
6.33166,0.00117465
6.38191,0.00486932
6.43216,0.0110764
6.48241,0.0197802
6.53266,0.0309586
6.58291,0.0445836
6.63317,0.0606206
6.68342,0.0790293
6.73367,0.0997631
6.78392,0.12277
6.83417,0.147991
6.88442,0.175363
6.93467,0.204818
6.98492,0.236279
7.03518,0.269669
7.08543,0.304903
7.13568,0.341892
7.18593,0.380542
7.23618,0.420756
7.28643,0.462433
7.33668,0.505466
7.38693,0.549748
7.43719,0.595167
7.48744,0.641608
7.53769,0.688954
7.58794,0.737085
7.63819,0.78588
7.68844,0.835215
7.73869,0.884967
7.78894,0.935009
7.8392,0.985215
7.88945,1.03546
7.9397,1.08561
7.98995,1.13555
8.0402,1.18515
8.09045,1.23427
8.1407,1.28281
8.19095,1.33063
8.24121,1.37762
8.29146,1.42365
8.34171,1.46862
8.39196,1.5124
8.44221,1.55489
8.49246,1.59598
8.54271,1.63556
8.59296,1.67354
8.64322,1.70981
8.69347,1.7443
8.74372,1.77691
8.79397,1.80755
8.84422,1.83616
8.89447,1.86265
8.94472,1.88697
8.99497,1.90905
9.04523,1.92883
9.09548,1.94627
9.14573,1.96132
9.19598,1.97394
9.24623,1.9841
9.29648,1.99178
9.34673,1.99696
9.39698,1.99961
9.44724,1.99975
9.49749,1.99736
9.54774,1.99245
9.59799,1.98504
9.64824,1.97514
9.69849,1.96277
9.74874,1.94798
9.79899,1.93079
9.84925,1.91126
9.8995,1.88942
9.94975,1.86534
10,1.83907
