"time","FMU_Interface_OUT0_Vehicle_Acceleration","FMU_Interface_OUT1_Vehicle_Velocity","FMU_Interface_OUT2_Vehicle_Distance","FMU_Interface_OUT3_Load_Signal","FMU_Interface_OUT4_Engine_Speed"
0,0,0,0,0,0
0.05,0,0,0,0,750.00000000481282
0.1,0,0,0,0,750.00000000010596
0.15,0,0,0,0,750.00000000000227
0.2,0,0,0,0,750.00000000000011
0.25,0,0,0,0,749.99999999999989
0.3,0,0,0,0,749.99999999999989
0.35,0,0,0,0,749.99999999999989
0.4,0,0,0,0,749.99999999999989
0.45,0,0,0,0,749.99999999999989
0.5,0,0,0,0,749.99999999999989
0.55,0,0,0,0,749.99999999999989
0.6,0,0,0,0,749.99999999999989
0.65,0,0,0,0,749.99999999999989
0.7,0,0,0,0,749.99999999999989
0.75,0,0,0,0,749.99999999999989
0.8,0,0,0,0,749.99999999999989
0.85,0,0,0,0,749.99999999999989
0.9,0,0,0,0,749.99999999999989
0.95,0,0,0,0,749.99999999999989
1,0,0,0,0,749.99999999999989
1.05,0,0,0,0,749.99999999999989
1.1,0,0,0,0,749.99999999999989
1.15,0,0,0,0,749.99999999999989
1.2,0,0,0,0,749.99999999999989
1.25,0,0,0,0,749.99999999999989
1.3,0,0,0,0,749.99999999999989
1.35,0,0,0,0,749.99999999999989
1.4,0,0,0,0,749.99999999999989
1.45,0,0,0,0,749.99999999999989
1.5,0,0,0,0,749.99999999999989
1.55,0,0,0,0,749.99999999999989
1.6,0,0,0,0,749.99999999999989
1.65,0,0,0,0,749.99999999999989
1.7,0,0,0,0,749.99999999999989
1.75,0,0,0,0,749.99999999999989
1.8,0,0,0,0,749.99999999999989
1.85,0,0,0,0,749.99999999999989
1.9,0,0,0,0,749.99999999999989
1.95,0,0,0,0,749.99999999999989
2,0,0,0,0,749.99999999999989
2.05,0,0,0,0,749.99999999999989
2.1,0,0,0,0,749.99999999999989
2.15,0,0,0,0,749.99999999999989
2.2,0,0,0,0,749.99999999999989
2.25,0,0,0,0,749.99999999999989
2.3,0,0,0,0,749.99999999999989
2.35,0,0,0,0,749.99999999999989
2.4,0,0,0,0,749.99999999999989
2.45,0,0,0,0,749.99999999999989
2.5,0,0,0,0,749.99999999999989
2.55,0,0,0,0,749.99999999999989
2.6,0,0,0,0,749.99999999999989
2.65,0,0,0,0,749.99999999999989
2.7,0,0,0,0,749.99999999999989
2.75,0,0,0,0,749.99999999999989
2.8,0,0,0,0,749.99999999999989
2.85,0,0,0,0,749.99999999999989
2.9,0,0,0,0,749.99999999999989
2.95,0,0,0,0,749.99999999999989
3,0,0,0,0,749.99999999999989
3.05,0,0,0,0,749.99999999999989
3.1,0,0,0,0,749.99999999999989
3.15,0,0,0,0,749.99999999999989
3.2,0,0,0,0,749.99999999999989
3.25,0,0,0,0,749.99999999999989
3.3,0,0,0,0,749.99999999999989
3.35,0,0,0,0,749.99999999999989
3.4,0,0,0,0,749.99999999999989
3.45,0,0,0,0,749.99999999999989
3.5,0,0,0,0,749.99999999999989
3.55,0,0,0,0,749.99999999999989
3.6,0,0,0,0,749.99999999999989
3.65,0,0,0,0,749.99999999999989
3.7,0,0,0,0,749.99999999999989
