"time","outputs[1]","outputs[2]","outputs[3]","outputs[4]"
0.001,9.99,0.01,0,0
0.004,9.96188,0.0399999,0,0
0.007,9.93658,0.0699995,0,0
0.01,9.91403,0.0999982,0,0
0.013,9.8942,0.129996,0,0
0.016,9.87697,0.159991,0,0
0.019,9.86224,0.189985,0,0
0.022,9.84988,0.219976,0,0
0.025,9.83972,0.249964,0,0
0.028,9.8316,0.279949,0,0
0.031,9.82532,0.30993,0,0
0.034,9.82066,0.339907,0,0
0.037,9.81741,0.369879,0,0
0.04,9.81533,0.399846,0,0
0.043,9.81417,0.429807,0,0
0.046,9.81367,0.459762,0,0
0.049,9.81358,0.489711,0,0
0.052,9.81363,0.519654,0,0
0.055,9.81355,0.549589,0,0
0.058,9.81308,0.579516,0,0
0.061,9.81196,0.609435,0,0
0.065,9.80901,0.649315,0,0
0.068,9.80539,0.679213,0,0
0.071,9.80031,0.709103,0,0
0.074,9.79354,0.738982,0,0
0.077,9.78487,0.768851,0,0
0.08,9.77413,0.79871,0,0
0.083,9.76114,0.828557,0,0
0.086,9.74575,0.858392,0,0
0.089,9.72784,0.888216,0,0
0.092,9.7073,0.918027,0,0
0.095,9.68404,0.947825,0,0
0.098,9.65802,0.97761,0,0
0.101,9.62919,1.00738,0,0
0.104,9.59755,1.03714,0,0
0.107,9.56311,1.06688,0,0
0.11,9.52593,1.09661,0,0
0.113,9.48606,1.12632,0,0
0.116,9.44359,1.15602,0,0
0.119,9.39865,1.1857,0,0
0.122,9.35135,1.21536,0,0
0.126,9.28493,1.25488,0,0
0.129,9.23281,1.2845,0,0
0.132,9.17894,1.31411,0,0
0.135,9.12354,1.3437,0,0
0.138,9.06684,1.37326,0,0
0.141,9.00907,1.40281,0,0
0.144,8.9505,1.43234,0,0
0.147,8.89137,1.46185,0,0
0.15,8.83195,1.49133,0,0
0.153,8.77251,1.5208,0,0
0.156,8.71331,1.55024,0,0
0.159,8.65462,1.57967,0,0
0.162,8.5967,1.60907,0,0
0.165,8.5398,1.63844,0,0
0.168,8.48416,1.6678,0,0
0.171,8.43003,1.69713,0,0
0.174,8.37761,1.72644,0,0
0.177,8.32712,1.75572,0,0
0.18,8.27875,1.78498,0,0
0.183,8.23266,1.81421,0,0
0.186,8.189,1.84342,0,0
0.189,8.14791,1.8726,0,0
0.192,8.10949,1.90175,0,0
0.195,8.07382,1.93088,0,0
0.198,8.04096,1.95998,0,0
0.201,8.01095,1.98905,0,0
0.204,7.98379,2.0181,0,0
0.207,7.95946,2.04711,0,0
0.21,7.93793,2.0761,0,0
0.213,7.91913,2.10506,0,0
0.216,7.90297,2.13399,0,0
0.219,7.88934,2.16289,0,0
0.222,7.8781,2.19175,0,0
0.225,7.8691,2.22059,0,0
0.228,7.86216,2.24939,0,0
0.231,7.85708,2.27817,0,0
0.234,7.85366,2.30691,0,0
0.237,7.85167,2.33562,0,0
0.24,7.85088,2.36429,0,0
0.243,7.85104,2.39293,0,0
0.246,7.85189,2.42154,0,0
0.249,7.85317,2.45011,0,0
0.253,7.8551,2.48816,0,0
0.256,7.85636,2.51665,0,0
0.259,7.85717,2.54511,0,0
0.262,7.85727,2.57353,0,0
0.265,7.85641,2.60191,0,0
0.268,7.85435,2.63026,0,0
0.271,7.85084,2.65857,0,0
0.274,7.84568,2.68684,0,0
0.277,7.83865,2.71508,0,0
0.28,7.82957,2.74327,0,0
0.283,7.81827,2.77143,0,0
0.286,7.8046,2.79955,0,0
0.289,7.78843,2.82763,0,0
0.292,7.76966,2.85567,0,0
0.295,7.7482,2.88366,0,0
0.298,7.72401,2.91162,0,0
0.301,7.69703,2.93954,0,0
0.304,7.66727,2.96741,0,0
0.307,7.63475,2.99524,0,0
0.31,7.5995,3.02303,0,0
0.313,7.5616,3.05078,0,0
0.316,7.52112,3.07848,0,0
0.319,7.4782,3.10614,0,0
0.322,7.43295,3.13376,0,0
0.325,7.38555,3.16133,0,0
0.328,7.33616,3.18886,0,0
0.331,7.28498,3.21634,0,0
0.334,7.23222,3.24378,0,0
0.337,7.17811,3.27117,0,0
0.34,7.12288,3.29851,0,0
0.343,7.06679,3.32581,0,0
