"time","freqHz","T2","clutch1_phi_0rel","clutch1_w_0rel","clutch2_phi_0rel","clutch2_w_0rel","clutch3_phi_0rel","clutch3_w_0rel","J1_phi","J1_w"
0,0.2,0.4,0,-10,0,0,0,0,0,10
0.0015,0.2,0.4,0,-10,0,0,0,0,0,10
0.0015,0.2,0.4,-0.0149777,-9.97035,-1.125e-005,-0.015,0,0,0.0149889,9.98535
0.003,0.2,0.4,-0.0149777,-9.97035,-1.125e-005,-0.015,0,0,0.0149889,9.98535
0.003,0.2,0.4,-0.0299114,-9.94141,-4.5e-005,-0.03,0,0,0.0299564,9.97141
0.0045,0.2,0.4,-0.0299114,-9.94141,-4.5e-005,-0.03,0,0,0.0299564,9.97141
0.0045,0.2,0.4,-0.0448023,-9.91318,-0.00010125,-0.0449998,0,0,0.0449035,9.95818
0.006,0.2,0.4,-0.0448023,-9.91318,-0.00010125,-0.0449998,0,0,0.0449035,9.95818
0.006,0.2,0.4,-0.0596513,-9.88564,-0.000179999,-0.0599996,0,0,0.0598313,9.94564
0.0075,0.2,0.4,-0.0596513,-9.88564,-0.000179999,-0.0599996,0,0,0.0598313,9.94564
0.0075,0.2,0.4,-0.0744595,-9.8588,-0.000281249,-0.0749991,0,0,0.0747408,9.9338
0.009,0.2,0.4,-0.0744595,-9.8588,-0.000281249,-0.0749991,0,0,0.0747408,9.9338
0.009,0.2,0.4,-0.089228,-9.83264,-0.000404997,-0.0899985,0,0,0.089633,9.92264
0.0105,0.2,0.4,-0.089228,-9.83264,-0.000404997,-0.0899985,0,0,0.089633,9.92264
0.0105,0.2,0.4,-0.103958,-9.80717,-0.000551244,-0.104997,0,0,0.104509,9.91216
0.012,0.2,0.4,-0.103958,-9.80717,-0.000551244,-0.104997,0,0,0.104509,9.91216
0.012,0.2,0.4,-0.11865,-9.78236,-0.000719989,-0.119996,0,0,0.11937,9.90236
0.0135,0.2,0.4,-0.11865,-9.78236,-0.000719989,-0.119996,0,0,0.11937,9.90236
0.0135,0.2,0.4,-0.133305,-9.75821,-0.000911232,-0.134994,0,0,0.134216,9.89321
