"time","Piston_r2"
0,0.3
0.0005,0.3
0.001,0.3
0.0015,0.3
0.002,0.3
0.0025,0.3
0.003,0.3
0.0035,0.3
0.004,0.3
0.0045,0.3
0.005,0.3
0.0055,0.3
0.006,0.3
0.0065,0.3
0.007,0.3
0.0075,0.3
0.008,0.3
0.0085,0.3
0.009,0.3
0.0095,0.3
0.01,0.3
0.0105,0.3
0.011,0.3
0.0115,0.3
0.012,0.3
0.0125,0.3
0.013,0.3
0.0135,0.3
0.014,0.3
0.0145,0.3
0.015,0.3
0.0155,0.3
0.016,0.3
0.0165,0.299999
0.017,0.299999
0.0175,0.299999
0.018,0.299999
0.0185,0.299999
0.019,0.299999
0.0195,0.299999
0.02,0.299999
0.0205,0.299999
0.021,0.299999
0.0215,0.299999
0.022,0.299999
0.0225,0.299998
0.023,0.299998
0.0235,0.299998
0.024,0.299998
0.0245,0.299998
0.025,0.299998
0.0255,0.299997
0.026,0.299997
0.0265,0.299997
0.027,0.299996
0.0275,0.299996
0.028,0.299996
0.0285,0.299995
0.029,0.299995
0.0295,0.299994
0.03,0.299993
0.0305,0.299993
0.031,0.299992
0.0315,0.299991
0.032,0.29999
0.0325,0.299989
0.033,0.299988
0.0335,0.299987
0.034,0.299986
0.0345,0.299984
0.035,0.299983
0.0355,0.299981
0.036,0.299979
0.0365,0.299977
0.037,0.299975
0.0375,0.299972
0.038,0.299969
0.0385,0.299966
0.039,0.299963
0.0395,0.299959
0.04,0.299955
0.0405,0.29995
0.041,0.299945
0.0415,0.299939
0.042,0.299933
0.0425,0.299927
0.043,0.299919
0.0435,0.299911
0.044,0.299902
0.0445,0.299892
0.045,0.299881
0.0455,0.299869
0.046,0.299855
0.0465,0.299841
0.047,0.299824
0.0475,0.299807
0.048,0.299787
0.0485,0.299765
0.049,0.299742
0.0495,0.299715
0.05,0.299687
0.0505,0.299655
0.051,0.29962
0.0515,0.299581
0.052,0.299539
0.0525,0.299492
0.053,0.299441
0.0535,0.299384
0.054,0.299322
0.0545,0.299254
0.055,0.299179
0.0555,0.299096
0.056,0.299005
0.0565,0.298906
0.057,0.298796
0.0575,0.298675
0.058,0.298543
0.0585,0.298398
0.059,0.298238
0.0595,0.298063
0.06,0.297872
0.0605,0.297661
0.061,0.297431
0.0615,0.297179
0.062,0.296903
0.0625,0.296601
0.063,0.296271
0.0635,0.295911
0.064,0.295517
0.0645,0.295088
0.065,0.294621
0.0655,0.294113
0.066,0.29356
0.0665,0.292959
0.067,0.292307
0.0675,0.291601
0.068,0.290837
0.0685,0.29001
0.069,0.289119
0.0695,0.288158
0.07,0.287123
0.0705,0.286012
0.071,0.284819
0.0715,0.283542
0.072,0.282177
0.0725,0.280719
0.073,0.279166
0.0735,0.277515
0.074,0.275761
0.0745,0.273903
0.075,0.271938
0.0755,0.269863
0.076,0.267675
0.0765,0.265375
0.077,0.262958
0.0775,0.260426
0.078,0.257776
0.0785,0.255009
0.079,0.252124
0.0795,0.249122
0.08,0.246003
0.0805,0.242768
0.081,0.239419
0.0815,0.235958
0.082,0.232387
0.0825,0.22871
0.083,0.22493
0.0835,0.221051
0.084,0.217078
0.0845,0.213016
0.085,0.208872
0.0855,0.204652
0.086,0.200364
0.0865,0.196016
0.087,0.191617
0.0875,0.187178
0.088,0.18271
0.0885,0.178224
0.089,0.173734
0.0895,0.169253
0.09,0.164796
0.0905,0.160378
0.091,0.156014
0.0915,0.151721
0.092,0.147516
0.0925,0.143414
0.093,0.139433
0.0935,0.135587
0.094,0.131892
0.0945,0.128362
0.095,0.125009
0.0955,0.121844
0.096,0.118877
0.0965,0.116115
0.097,0.113564
0.0975,0.11123
0.098,0.109115
0.0985,0.10722
0.099,0.105548
0.0995,0.104097
0.1,0.102867
0.1005,0.101857
0.101,0.101067
0.1015,0.100495
0.102,0.10014
0.1025,0.100002
0.103,0.100073
0.1035,0.100291
0.104,0.100773
0.1045,0.101567
0.105,0.10254
0.1055,0.103703
0.106,0.105088
0.1065,0.106694
0.107,0.108521
0.1075,0.11057
0.108,0.112839
0.1085,0.115325
0.109,0.118024
0.1095,0.12093
