"time","uDC","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]","Losses"
0.0000000000000000E+000,5.6568542494923804E+002,-0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,4.8000000000000000E+002
2.0000000000000318E-004,5.5900845240167757E+002,6.1466535092559949E-002,-1.0482841458343282E+000,9.8681761074176821E-001,3.1223797902232690E+002,-5.6300936148562027E+002,2.5077138246329332E+002,7.8942286454603573E+002
4.0000000000000804E-004,5.5236835229029555E+002,1.2274589589433305E-001,-6.7338012915903080E+000,6.6110553956959750E+000,3.3956330151907616E+002,-5.5638058439804604E+002,2.1681728287896993E+002,7.9929783781785579E+002
6.0000000000001285E-004,5.4583176225882812E+002,1.8354083472227600E-001,-1.5960197741810564E+001,1.5776656907088288E+001,3.6670170884112133E+002,-5.4986239941931535E+002,1.8316069057819408E+002,8.2783434021207404E+002
8.0000000000001771E-004,5.3942005523052148E+002,2.4361142172740102E-001,-2.4850075922788040E+001,2.4606464501060639E+001,3.9354004511052210E+002,-5.4346842488246511E+002,1.4992837977194307E+002,8.5940123248576515E+002
1.0000000000000098E-003,5.3310322195698336E+002,3.0272058574643879E-001,-2.9589943635712590E+001,2.9287223049966151E+001,4.1994095666307209E+002,-5.3716102485942224E+002,1.1722006819635021E+002,8.7793673222307598E+002
1.2001999999999061E-003,5.2679505125899448E+002,3.6069228969005707E-001,-2.6520599973483264E+001,2.6159907683793207E+001,4.4576966025345814E+002,-5.3084667012493037E+002,8.5077009871472171E+001,8.6768713616155560E+002
1.4001999999998026E-003,5.2038107302547166E+002,4.1718195621742460E-001,-1.2251205311355944E+001,1.1834023355138520E+001,4.7079324143395962E+002,-5.2440410946895565E+002,5.3610868034996031E+001,8.1455302058361383E+002
1.6001999999996990E-003,5.1374353016242731E+002,4.4999101314923157E-001,-9.2364724147000787E-001,4.7365622832077631E-001,4.8386767755913479E+002,-4.9570028514490718E+002,1.1832607585772394E+001,7.4416126182350354E+002
1.8001999999995954E-003,5.0706942801854234E+002,4.9155886931940612E-001,-9.3571243517284752E-001,4.4415356585344140E-001,5.0131457331155673E+002,-4.7761192157857442E+002,-2.3702651732982304E+001,7.3657624208855270E+002
2.0001999999995431E-003,5.0041064681223622E+002,6.4593238369397232E+000,-6.8578367085266470E+000,3.9851287158692345E-001,5.0442295513917975E+002,-4.5146811261928815E+002,-5.2954842519891599E+001,7.3415745130300968E+002
2.2001999999996563E-003,4.9402873326118913E+002,4.3898855637026770E+001,-4.4240378987188038E+001,3.4152335016127006E-001,4.9811587635120372E+002,-4.1981978401774120E+002,-7.8296092333462525E+001,8.5061812889105192E+002
2.4001999999997696E-003,4.8835471288744867E+002,1.1190627760670853E+002,-1.1218946359880823E+002,2.8318599209970591E-001,4.9257782369611760E+002,-3.8788204949076624E+002,-1.0469577420535137E+002,1.1115759566536217E+003
2.6001999999998829E-003,4.8376277362278302E+002,2.0536115390291690E+002,-2.0558488493121959E+002,2.2373102830269581E-001,4.8817274372609984E+002,-3.5595199787980010E+002,-1.3222074584629971E+002,1.5183571164347513E+003
2.8001999999999962E-003,4.8055458101186258E+002,3.1852922418570142E+002,-3.1869261728605136E+002,1.6339310034995883E-001,4.8519083310792018E+002,-3.2429204842540798E+002,-1.6089878468251220E+002,2.0700689505703804E+003
3.0000000000001094E-003,4.7895278443684668E+002,4.4507428969295370E+002,-4.4517676125235471E+002,1.0247155940099741E-001,4.8384206869293882E+002,-2.9315686528269657E+002,-1.9068520341024228E+002,2.7574265997793241E+003
3.2000000000002226E-003,4.7909098355902637E+002,5.7873294892434694E+002,-5.7877403383441322E+002,4.1084910066235318E-002,4.8424752320327832E+002,-2.6266623717719131E+002,-2.2158128602608704E+002,3.5615001862773943E+003
3.4000000000003359E-003,4.8102038701574247E+002,7.1270464149136058E+002,-7.1268417760872194E+002,-2.0463882638647901E-002,4.8644480436965114E+002,-2.3299045063357056E+002,-2.5345435373608061E+002,4.4472220957995132E+003
3.6000000000004492E-003,4.8470056286733256E+002,8.4031528067228658E+002,-8.4023334875853880E+002,-8.1931913747815749E-002,4.9038013241606814E+002,-2.0422406836821028E+002,-2.8615606404785785E+002,5.3658423127107972E+003
3.8000000000005625E-003,4.9000303532945952E+002,9.5505867279630877E+002,-9.5491559619928421E+002,-1.4307659702455089E-001,4.9591201968340010E+002,-1.7641763979119764E+002,-3.1949437989220246E+002,6.2563923593549034E+003
4.0000000000004728E-003,4.9671458606592017E+002,1.0507546390918321E+003,-1.0505509824694939E+003,-2.0365662233824827E-001,5.0281488815800731E+002,-1.4957903108167017E+002,-3.5323585707633708E+002,7.0498811293667222E+003
4.2000000000001524E-003,5.0454261536343114E+002,1.1216993138820853E+003,-1.1214358809740800E+003,-2.6343290800536917E-001,5.1078473123094068E+002,-1.2367577989646350E+002,-3.8710895133447718E+002,7.6752109198585385E+003
4.4001999999998317E-003,5.1313125423847828E+002,1.1628289108511547E+003,-1.1625066831683002E+003,-3.2222768285447595E-001,5.1945555324569023E+002,-9.8613774081926863E+001,-4.2084177916376342E+002,8.0664785917327654E+003
4.6001999999995113E-003,5.2203524055660228E+002,1.1697098611617278E+003,-1.1693301696844246E+003,-3.7969147730306746E-001,5.2837322617898167E+002,-7.4340684592408309E+001,-4.5403254158657342E+002,8.1690945566939436E+003
4.8001999999991909E-003,5.3078266038428956E+002,1.1388997194395133E+003,-1.1384640626365581E+003,-4.3565680295528458E-001,5.3705895232475291E+002,-5.0700856856550558E+001,-4.8635809546820241E+002,7.9492554236976366E+003
5.0001999999988705E-003,5.3885284096311864E+002,1.0678356897720621E+003,-1.0673457869818233E+003,-4.8990279023890404E-001,5.4498693460009690E+002,-2.7541827229446312E+001,-5.1744510737065070E+002,7.3979153814372576E+003
5.2001999999985501E-003,5.4569757885518709E+002,9.5495835342474925E+002,-9.5441613806972452E+002,-5.4221535502475149E-001,5.5160585204325071E+002,-4.6949774018432890E+000,-5.4691087464140742E+002,6.5352406989405890E+003
5.4001999999982297E-003,5.5078714660804735E+002,8.0844940969462084E+002,-7.9044728112265011E+002,-1.8002128571970765E+001,5.5638493212678588E+002,-7.7244438010632166E-001,-5.5561248774667956E+002,5.4259145701499756E+003
5.6001999999979093E-003,5.5380436726514631E+002,6.4448770837671634E+002,-5.5991742555120072E+002,-8.4570282825515577E+001,5.5900765558705143E+002,-4.7534666737908537E-001,-5.5853230891967235E+002,4.2373887350756768E+003
5.8001999999975889E-003,5.5452484638243163E+002,4.6408876515335032E+002,-2.6359055286785883E+002,-2.0049821228549152E+002,5.5925140792419847E+002,-6.3092277490113702E-002,-5.5918831564670836E+002,3.1072285531797274E+003
6.0001999999972685E-003,5.5281852681541920E+002,3.1701055934605375E+002,-2.0370479618874077E-001,-3.1680685454986502E+002,3.8057811492644578E+002,1.7687311503311253E+002,-5.5745122995955830E+002,2.2554736589290587E+003
6.2001999999969481E-003,5.5034753956660518E+002,3.1771742230528275E+002,-1.4312531866977748E-001,-3.1757429698661298E+002,3.4905359187579427E+002,2.0592813008084130E+002,-5.5498172195663551E+002,2.2420277343456983E+003
6.4001999999966277E-003,5.4797525901681297E+002,3.3110802197876438E+002,-8.1980990905764883E-002,-3.3102604098785861E+002,3.1730868067745297E+002,2.3532760779077910E+002,-5.5263628846823212E+002,2.2997199689902732E+003
6.6001999999963073E-003,5.4584429252287941E+002,3.5316055967577330E+002,-2.0513121624199868E-002,-3.5314004655414908E+002,2.8553131743631252E+002,2.6501817529901155E+002,-5.5054949273532407E+002,2.4092865614118273E+003
