"time","freqHz","T2","clutch1.phi_rel","clutch1.w_rel","clutch2.phi_rel","clutch2.w_rel","clutch3.phi_rel","clutch3.w_rel","J1.phi","J1.w"
0,0.2,0.4,0,-10,0,0,0,0,0,10
0.0015,0.2,0.4,-0.0155423,-9.97106,-7.84542E-05,-0.0156907,0,0,0.0156207,9.98675
0.003,0.2,0.4,-0.0304001,-9.9434,-0.000153453,-0.0306903,0,0,0.0305535,9.97409
0.0045,0.2,0.4,-0.0452579,-9.91574,-0.000228453,-0.04569,0,0,0.0454863,9.96143
0.006,0.2,0.4,-0.0601157,-9.88807,-0.000303452,-0.0606897,0,0,0.0604192,9.94876
0.0075,0.2,0.4,-0.0749735,-9.86041,-0.000378451,-0.0756894,0,0,0.075352,9.9361
0.009,0.2,0.4,-0.0898313,-9.83275,-0.00045345,-0.090689,0,0,0.0902848,9.92344
0.0105,0.2,0.4,-0.109619,-9.79879,-0.000662795,-0.11085,0,0,0.110282,9.90964
0.012,0.2,0.4,-0.124223,-9.77557,-0.000887782,-0.125847,0,0,0.125111,9.90142
0.0135,0.2,0.4,-0.138827,-9.75236,-0.00111277,-0.140845,0,0,0.13994,9.89321
0.015,0.2,0.4,-0.153431,-9.72915,-0.00133776,-0.155842,0,0,0.154769,9.885
0.0165,0.2,0.4,-0.168035,-9.70594,-0.00156274,-0.17084,0,0,0.169597,9.87678
0.018,0.2,0.4,-0.182639,-9.68273,-0.00178773,-0.185837,0,0,0.184426,9.86857
0.0195,0.2,0.4,-0.196411,-9.66084,-0.00199991,-0.199981,0,0,0.198411,9.86082
0.021,0.2,0.4,-0.210802,-9.64142,-0.00237485,-0.214974,0,0,0.213177,9.85639
0.0225,0.2,0.4,-0.225194,-9.622,-0.00274979,-0.229967,0,0,0.227943,9.85196
0.024,0.2,0.4,-0.239585,-9.60258,-0.00312473,-0.244959,0,0,0.24271,9.84754
0.0255,0.2,0.4,-0.253976,-9.58315,-0.00349967,-0.259952,0,0,0.257476,9.84311
0.027,0.2,0.4,-0.268368,-9.56373,-0.00387461,-0.274945,0,0,0.272242,9.83868
0.0285,0.2,0.4,-0.282759,-9.54431,-0.00424955,-0.289938,0,0,0.287009,9.83425
0.03,0.2,0.4,-0.292353,-9.53136,-0.00449951,-0.299933,0,0,0.296853,9.83129
0.0315,0.2,0.4,-0.311303,-9.50914,-0.00519929,-0.319915,0,0,0.316502,9.82906
0.033,0.2,0.4,-0.325515,-9.49248,-0.00572413,-0.3349,0,0,0.331239,9.82738
0.0345,0.2,0.4,-0.339726,-9.47582,-0.00624897,-0.349886,0,0,0.345975,9.82571
0.036,0.2,0.4,-0.353938,-9.45916,-0.0067738,-0.364872,0,0,0.360712,9.82403
0.0375,0.2,0.4,-0.36815,-9.4425,-0.00729864,-0.379858,0,0,0.375449,9.82236
0.039,0.2,0.4,-0.382362,-9.42584,-0.00782347,-0.394844,0,0,0.390186,9.82069
0.0405,0.2,0.4,-0.394126,-9.41269,-0.00833575,-0.407328,0,0,0.402462,9.82002
0.042,0.2,0.4,-0.40818,-9.39749,-0.0090104,-0.422304,0,0,0.417191,9.81979
0.0435,0.2,0.4,-0.422234,-9.38229,-0.00968505,-0.437281,0,0,0.431919,9.81957
0.045,0.2,0.4,-0.436288,-9.36709,-0.0103597,-0.452258,0,0,0.446648,9.81935
