"time","J1.phi","J1.w","T2","clutch1.phi_rel","clutch1.w_rel","clutch2.phi_rel","clutch2.w_rel","clutch3.phi_rel","clutch3.w_rel","freqHz"
0,0,10,0.4,0,-10,0,0,0,0,0.2
0.01,0.0995521,9.91558,0.4,-0.0990521,-9.81558,-0.000499995,-0.0999978,0,0,0.2
0.02,0.198411,9.86082,0.4,-0.196411,-9.66084,-0.00199991,-0.199981,0,0,0.2
0.03,0.296853,9.83129,0.4,-0.292353,-9.53136,-0.00449951,-0.299933,0,0,0.2
0.04,0.395098,9.82013,0.4,-0.3871,-9.42029,-0.00799842,-0.399839,0,0,0.2
0.05,0.493288,9.81864,0.4,-0.480792,-9.31896,-0.0124961,-0.499683,0,0,0.2
0.06,0.591471,9.81724,0.4,-0.573479,-9.21779,-0.0179918,-0.599449,0,0,0.2
0.07,0.689601,9.8063,0.4,-0.665116,-9.10718,-0.0244848,-0.699122,0,0,0.2
0.08,0.787537,9.77717,0.4,-0.755563,-8.97848,-0.0319739,-0.798685,0,0,0.2
0.09,0.88506,9.72294,0.4,-0.844602,-8.82482,-0.0404581,-0.898123,0,0,0.2
0.1,0.981897,9.63923,0.4,-0.931961,-8.64181,-0.0499359,-0.99742,0,0,0.2
0.11,1.07774,9.52449,0.4,-1.01733,-8.42793,-0.0604064,-1.09656,0,0,0.2
0.12,1.17228,9.38036,0.4,-1.10042,-8.18483,-0.071867,-1.19553,0,0,0.2
0.13,1.26526,9.21118,0.4,-1.18094,-7.91687,-0.0843163,-1.29431,0,0,0.2
0.14,1.35645,9.02388,0.4,-1.2587,-7.63099,-0.0977525,-1.39289,0,0,0.2
0.15,1.44571,8.82715,0.4,-1.33353,-7.33591,-0.112173,-1.49124,0,0,0.2
0.16,1.53299,8.63067,0.4,-1.40542,-7.0413,-0.127577,-1.58937,0,0,0.2
0.17,1.61835,8.44405,0.4,-1.47439,-6.75681,-0.14396,-1.68724,0,0,0.2
0.18,1.70193,8.27603,0.4,-1.54061,-6.49118,-0.161321,-1.78485,0,0,0.2
0.19,1.78396,8.13349,0.4,-1.6043,-6.25131,-0.179656,-1.88218,0,0,0.2
0.2,1.8647,8.02091,0.4,-1.66574,-6.0417,-0.198964,-1.97921,0,0,0.2
0.21,1.94449,7.93975,0.4,-1.72525,-5.86382,-0.21924,-2.07593,0,0,0.2
