"time","Bearing.frame_b.f[3]","Bearing.frame_b.t[1]","Bearing.frame_b.t[2]","Bearing.frame_b.t[3]"
0,9.265210345,0.9403831342,-1.388298386,-1110.077942
0.001,9.326889838,0.9466433649,-1.397540437,-1110.077884
0.002,9.464122299,0.9605719304,-1.418103338,-1110.07774
0.003,9.685312852,0.9830219186,-1.451246513,-1110.077501
0.004,9.996995217,1.014656476,-1.497948973,-1110.077153
0.005,10.40292849,1.055857138,-1.558773982,-1110.076684
0.006,10.90733972,1.107052932,-1.63435492,-1110.076076
0.007,11.51449373,1.168676722,-1.725330827,-1110.075306
0.008,12.23088253,1.241387422,-1.832674468,-1110.074343
0.009,13.06213654,1.325756496,-1.957229501,-1110.073153
0.01,14.01685607,1.422656844,-2.100284598,-1110.07169
0.011,15.10350635,1.532947653,-2.263108186,-1110.069899
0.012,16.33231797,1.657667289,-2.447233217,-1110.067712
0.013,17.71555944,1.798060955,-2.654498003,-1110.065046
0.014,19.26484125,1.955307073,-2.886642258,-1110.061802
0.015,20.99500115,2.130911616,-3.14588927,-1110.057859
0.016,22.92261289,2.326556753,-3.434722445,-1110.053065
0.017,25.06596036,2.544098226,-3.755881439,-1110.047242
0.018,27.44528555,2.785590518,-4.11239931,-1110.040167
0.019,30.08298014,3.053306292,-4.50763122,-1110.031576
0.02,33.00385211,3.349763459,-4.945294395,-1110.021142
0.021,36.23537177,3.677750143,-5.429504978,-1110.008472
0.022,39.8079292,4.04035081,-5.964816609,-1109.993089
0.023,43.75511589,4.440974856,-6.556262629,-1109.974411
0.024,48.11404889,4.883389501,-7.209404642,-1109.951734
0.025,52.92586442,5.371769893,-7.930406482,-1109.924201
0.026,58.23552987,5.910680018,-8.726006041,-1109.890774
0.027,64.09287623,6.505177491,-9.603669964,-1109.850193
0.028,70.55283708,7.16083781,-10.57162946,-1109.800926
0.029,77.67594745,7.883804975,-11.63895506,-1109.741116
0.03,85.52888896,8.680846823,-12.81563825,-1109.668508
0.031,94.18508448,9.559415369,-14.11268065,-1109.580367
0.032,103.7253448,10.52771243,-15.54219082,-1109.47337
0.033,114.2385698,11.59476079,-17.11748937,-1109.343489
0.034,125.8229471,12.7705258,-18.85328853,-1109.18583
0.035,138.5854243,14.06586186,-20.76561309,-1108.994468
0.036,152.6438544,15.49273005,-22.87212175,-1108.762213
0.037,168.1275969,17.06425917,-25.19219731,-1108.480347
0.038,185.1784219,18.7948374,-27.74708196,-1108.138299
0.039,203.9515057,20.70021326,-30.56002647,-1107.723265
0.04,224.6164393,22.79759793,-33.65644128,-1107.219732
0.041,247.3582223,25.10576591,-37.06404524,-1106.60892
0.042,272.3782013,27.64515011,-40.81300617,-1105.868111
0.043,299.8957414,30.43801126,-44.93619111,-1104.969807
0.044,330.1465124,33.50826361,-49.46890936,-1103.880846
0.045,363.3845992,36.88168875,-54.44922837,-1102.561213
0.046,399.8825252,40.58593731,-59.91797688,-1100.962679
0.047,439.9301779,44.65041922,-65.91858346,-1099.027228
0.048,483.8332301,49.10614247,-72.49683926,-1096.685213
0.049,531.9103727,53.98543092,-79.70048255,-1093.853225
0.05,584.4889529,59.32147984,-87.57854398,-1090.431669
0.051,641.898506,65.1476973,-96.18037606,-1086.302063
0.052,704.4628516,71.49689901,-105.5544668,-1081.32398
0.053,772.4842297,78.39969468,-115.7460606,-1075.332152
0.054,846.2275407,85.88288383,-126.7947935,-1068.133272
0.055,925.900122,93.9673975,-138.7316594,-1059.502942
0.056,1011.622263,102.6652988,-151.5745874,-1049.183446
0.057,1103.392182,111.9762199,-165.323189,-1036.882581
0.058,1201.044011,121.8830882,-179.9524556,-1022.274373
0.059,1304.19938,132.3472024,-195.4054982,-1005.002618
0.06,1412.214606,143.3028607,-211.5856261,-984.6884375
0.061,1524.128101,154.6520138,-228.3484607,-960.9430491
0.062,1638.611613,166.2593094,-245.4946253,-933.3872697
0.063,1753.932317,177.9482405,-262.7640622,-901.6751
0.064,1867.97541,189.5034473,-279.8394234,-865.5331681
0.065,1978.261596,200.6725102,-296.3487029,-824.7975466
0.066,2082.05258,211.176692,-311.8810671,-779.4583089
0.067,2176.521414,220.7282792,-326.0124122,-729.6975507
0.068,2258.993811,229.0551514,-338.3415737,-675.9287866
0.069,2327.240538,235.9305235,-348.5341804,-618.7805145
0.07,2379.791543,241.2049347,-356.369793,-559.1071194
0.071,2416.232387,244.836413,-361.786372,-497.9338765
0.072,2437.411198,246.9115357,-364.9113237,-436.3731425
0.073,2445.516672,247.6533661,-366.0732003,-375.5211021
0.074,2444.001455,247.4136582,-365.7902082,-316.3478882
0.075,2437.360223,246.6502754,-364.7369178,-259.5962925
0.076,2430.79722,245.8933583,-363.6943889,-205.7023747
0.077,2429.842383,245.7062626,-363.4925872,-154.7469817
0.078,2439.980312,246.6478028,-364.9547241,-106.4399482
0.079,2466.342934,249.2409795,-368.8511538,-60.13082193
0.08,2513.484612,253.9500973,-375.8656396,-14.83576849
0.081,2585.240492,261.1663585,-386.5741092,30.73045986
0.082,2684.611056,271.1961295,-401.4273458,78.12827095
0.083,2813.703428,284.2549745,-420.7421871,129.17559
0.084,2973.546158,300.4488348,-444.6737588,185.9363582
0.085,3163.732965,319.7378074,-473.1620518,250.7096007
0.086,3381.835322,341.8764033,-505.843825,325.9841011
0.087,3622.408057,366.3124063,-541.903466,414.3169822
0.088,3875.735031,392.0592771,-579.8848563,518.1037882
0.089,4126.191283,417.5295313,-617.4457035,639.0794564
0.09,4351.054904,440.4138471,-651.1793169,777.6059961
0.091,4520.592473,457.6897114,-676.6273916,931.734727
0.092,4600.750069,465.8951093,-688.6835964,1096.318242
0.093,4559.380439,461.7619174,-682.5275371,1262.687526
0.094,4375.333485,443.1405467,-654.9881732,1419.527888
0.095,4047.071026,409.8761324,-605.8358405,1555.20956
