"time","Noise","Noise_Filt","Noise_Filt_Sat","Sine","Sine_Filt","Sine_Filt_Quantized"
0,0.504193,0.063024,0.063024,0,0,0
0.001,0.504193,0.063024,0.063024,0.002,0,0
0.002,0.504193,0.063024,0.063024,0.004,0,0
0.003,0.504193,0.063024,0.063024,0.006,0,0
0.004,0.504193,0.063024,0.063024,0.008,0,0
0.005,0.504193,0.063024,0.063024,0.01,0,0
0.006,0.504193,0.063024,0.063024,0.012,0,0
0.007,0.504193,0.063024,0.063024,0.014,1E-06,0
0.008,0.504193,0.063024,0.063024,0.016,1E-06,0
0.009,0.504193,0.063024,0.063024,0.018,2E-06,0
0.01,0.504193,0.063024,0.063024,0.02,2E-06,0
0.011,0.504193,0.063024,0.063024,0.022,3E-06,0
0.012,0.504193,0.063024,0.063024,0.023999,4E-06,0
0.013,0.504193,0.063024,0.063024,0.025999,5E-06,0
0.014,0.504193,0.063024,0.063024,0.027999,6E-06,0
0.015,0.504193,0.063024,0.063024,0.029999,8E-06,0
0.016,0.504193,0.063024,0.063024,0.031999,1E-05,0
0.017,0.504193,0.063024,0.063024,0.033998,1.2E-05,0
0.018,0.504193,0.063024,0.063024,0.035998,1.4E-05,0
0.019,0.504193,0.063024,0.063024,0.037998,1.7E-05,0
0.02,0.504193,0.063024,0.063024,0.039997,2E-05,0
0.021,0.504193,0.063024,0.063024,0.041997,2.3E-05,0
0.022,0.504193,0.063024,0.063024,0.043996,2.7E-05,0
0.023,0.504193,0.063024,0.063024,0.045996,3.1E-05,0
0.024,0.504193,0.063024,0.063024,0.047995,3.6E-05,0
0.025,0.504193,0.063024,0.063024,0.049995,4E-05,0
0.026,0.504193,0.063024,0.063024,0.051994,4.6E-05,0
0.027,0.504193,0.063024,0.063024,0.053993,5.1E-05,0
0.028,0.504193,0.063024,0.063024,0.055993,5.7E-05,0
0.029,0.504193,0.063024,0.063024,0.057992,6.4E-05,0
0.03,0.504193,0.063024,0.063024,0.059991,7.1E-05,0
0.031,0.504193,0.063024,0.063024,0.06199,7.9E-05,0
0.032,0.504193,0.063024,0.063024,0.063989,8.7E-05,0
0.033,0.504193,0.063024,0.063024,0.065988,9.5E-05,0
0.034,0.504193,0.063024,0.063024,0.067987,0.000104,0
0.035,0.504193,0.063024,0.063024,0.069986,0.000114,0
0.036,0.504193,0.063024,0.063024,0.071984,0.000124,0
0.037,0.504193,0.063024,0.063024,0.073983,0.000135,0
0.038,0.504193,0.063024,0.063024,0.075982,0.000146,0
0.039,0.504193,0.063024,0.063024,0.07798,0.000158,0
0.04,0.504193,0.063024,0.063024,0.079979,0.000171,0
0.041,0.504193,0.063024,0.063024,0.081977,0.000184,0
0.042,0.504193,0.063024,0.063024,0.083975,0.000198,0
0.043,0.504193,0.063024,0.063024,0.085974,0.000213,0
0.044,0.504193,0.063024,0.063024,0.087972,0.000228,0
0.045,0.504193,0.063024,0.063024,0.08997,0.000244,0
0.046,0.504193,0.063024,0.063024,0.091968,0.000261,0
0.047,0.504193,0.063024,0.063024,0.093965,0.000279,0
0.048,0.504193,0.063024,0.063024,0.095963,0.000297,0
0.049,0.504193,0.063024,0.063024,0.097961,0.000316,0
0.05,3.375249,0.481779,0.481779,0.099958,0.000336,0
0.051,3.375249,0.481779,0.481779,0.101956,0.000356,0
0.052,3.375249,0.481779,0.481779,0.103953,0.000378,0
0.053,3.375249,0.481779,0.481779,0.10595,0.0004,0
0.054,3.375249,0.481779,0.481779,0.107948,0.000423,0
0.055,3.375249,0.481779,0.481779,0.109945,0.000447,0
0.056,3.375249,0.481779,0.481779,0.111941,0.000472,0
0.057,3.375249,0.481779,0.481779,0.113938,0.000497,0
