"time","y_sum","y_product","y_triggeredAdd","y_multiSwitch"
0,1,0,0,4
0.1,1,0,0,4
0.2,1,0,0,4
0.3,2,0,0,4
0.4,2,0,0,4
0.5,2,0,0,6
0.6,2,0,0,6
0.7,2,0,0,6
0.8,2,0,0,6
0.9,3,0,0,6
1,3,0,1,4
1.1,3,0,1,4
1.2,3,0,1,4
1.3,3,0,1,4
1.4,3,0,1,4
1.5,3,0,1,6
1.6,4,0,1,6
1.7,4,0,1,2
1.8,4,0,1,2
1.9,4,0,1,2
2,4,0,2,4
2.1,7,21,2,4
2.2,7,21,2,4
2.3,7,21,2,4
2.4,7,21,2,4
2.5,7,21,2,6
2.6,7,21,2,6
2.7,7,21,2,6
2.8,7,21,2,6
2.9,7,21,2,6
3,7,21,3,4
3.1,7,21,3,4
3.2,7,21,3,4
3.3,7,21,3,4
3.4,7,21,3,4
3.5,6,18,3,6
3.6,6,18,3,2
3.7,6,18,3,2
3.8,6,18,3,2
3.9,6,18,3,2
4,6,18,4,4
4.1,6,18,4,4
4.2,5,15,4,4
4.3,5,15,4,4
4.4,5,15,4,4
4.5,5,15,4,6
4.6,5,15,4,6
4.7,5,15,4,6
4.8,4,12,4,6
4.9,4,12,4,6
5,4,12,5,4
5.1,4,12,5,4
5.2,4,12,5,4
5.3,3,9,5,4
5.4,3,9,5,4
5.5,3,9,5,6
5.6,3,9,5,2
5.7,3,9,5,2
5.8,3,9,5,2
5.9,2,6,5,2
6,2,6,6,4
6.1,2,6,6,4
6.2,2,6,6,4
6.3,2,6,6,4
6.4,2,6,6,4
6.5,2,6,6,6
6.6,1,3,6,6
6.7,1,3,6,6
6.8,1,3,6,6
6.9,1,3,6,6
7,1,3,7,4
7.1,1,3,7,4
7.2,1,3,7,4
7.3,1,3,7,4
7.4,1,3,7,4
7.5,1,3,7,6
7.6,1,3,7,2
7.7,1,3,7,2
7.8,1,3,7,2
7.9,1,3,7,2
8,1,3,8,4
8.1,1,3,8,4
8.2,1,3,8,4
8.3,1,3,8,4
8.4,1,3,8,4
8.5,2,6,8,6
8.6,2,6,8,6
8.7,2,6,8,6
8.8,2,6,8,6
8.9,2,6,8,6
9,2,6,9,4
9.1,2,6,9,4
9.2,3,9,9,4
9.3,3,9,9,4
9.4,3,9,9,4
9.5,3,9,9,6
9.6,3,9,9,2
9.7,3,9,9,2
9.8,4,12,9,2
9.9,4,12,9,2
10,4,12,10,4
