"time","iAC[2]","Losses","iAC[3]","uDC","uAC[3]","iAC[1]","uAC[1]","uAC[2]"
0.00000000000000E+00,0.00000000000000E+00,4.80000000000000E+02,0.00000000000000E+00,5.65685424949238E+02,0.00000000000000E+00,-0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2.00000000000000E-04,-1.04956331143834E+00,7.89427604353451E+02,9.88096776455185E-01,5.59008315909152E+02,2.50771315551034E+02,6.14665349831556E-02,3.12237912000663E+02,-5.63009227551697E+02
4.00000000000000E-04,-6.73792987477922E+00,7.99314145372388E+02,6.61518397908167E+00,5.52368237697186E+02,2.16817229809499E+02,1.22745895697554E-01,3.39563248252826E+02,-5.56380478062325E+02
6.00000000000000E-04,-1.59654369021563E+01,8.27854769885425E+02,1.57818960628826E+01,5.45831447474090E+02,1.83160536149596E+02,1.83540839273665E-01,3.66701558963917E+02,-5.49862095113513E+02
8.00000000000000E-04,-2.48559402483203E+01,8.59423023262769E+02,2.46123288264428E+01,5.39419223478840E+02,1.49927969686228E+02,2.43611421877453E-01,3.93539635174859E+02,-5.43467604861087E+02
1.00000000000000E-03,-2.95953831436176E+01,8.77956437498858E+02,2.92926625572210E+01,5.33102212973870E+02,1.17219568820212E+02,3.02720586396624E-01,4.19940457937120E+02,-5.37160026757331E+02
1.20000000000000E-03,-2.65328118801725E+01,8.67730190943043E+02,2.61721768301597E+01,5.26800148743941E+02,8.51081907166195E+01,3.60635050012782E-01,4.45743601364091E+02,-5.30851792080710E+02
1.40000000000000E-03,-1.22733786763183E+01,8.14632870292038E+02,1.18562524244974E+01,5.20386143001248E+02,5.36412774451194E+01,4.17126251820909E-01,4.70767946391863E+02,-5.24409223836982E+02
1.60000000000000E-03,-9.23634199922315E-01,7.44166611338199E+02,4.73685508436928E-01,5.13748659011250E+02,1.18684084757706E+01,4.49948691485387E-01,4.83849081133453E+02,-4.95717489609224E+02
1.80000000000000E-03,-9.35707540401683E-01,7.36582558586866E+02,4.44188805472315E-01,5.07074551177982E+02,-2.36649647285260E+01,4.91518734929367E-01,5.01297067686239E+02,-4.77632102957713E+02
2.00000000000000E-03,-6.84876330109481E+00,7.34156074015956E+02,3.98569110675021E-01,5.00415777323878E+02,-5.29292790968957E+01,6.45019419041979E+00,5.04428067437525E+02,-4.51498788340629E+02
2.20000000000000E-03,-4.42148001428859E+01,8.50543212991725E+02,3.41581051842029E-01,4.94033712453770E+02,-7.82697054478735E+01,4.38732190910439E+01,4.98120804318487E+02,-4.19851098870613E+02
2.40000000000000E-03,-1.12149319131358E+02,1.11142572535956E+03,2.83244925831155E-01,4.88359527512262E+02,-1.04668674443858E+02,1.11866074205527E+02,4.92582557963514E+02,-3.87913883519656E+02
2.60000000000000E-03,-2.05533410022757E+02,1.51813384583665E+03,2.23790963208149E-01,4.83767587628188E+02,-1.32193133856670E+02,2.05309619059549E+02,4.88177454712228E+02,-3.55984320855558E+02
2.80000000000000E-03,-3.18630951374448E+02,2.06976490696991E+03,1.63453799300502E-01,4.80559335087253E+02,-1.60870750513633E+02,3.18467497575147E+02,4.85195463781403E+02,-3.24324713267771E+02
3.00000000000000E-03,-4.45236821046498E+02,2.75778321234274E+03,1.02471559205177E-01,4.78956715694329E+02,-1.90687229192696E+02,4.45134349487293E+02,4.83846120062027E+02,-2.93158890869330E+02
3.20000000000000E-03,-5.78827540923399E+02,3.56185161245535E+03,4.10849099512647E-02,4.79096619391300E+02,-2.21584157501109E+02,5.78786456013447E+02,4.84253266038351E+02,-2.62669108537242E+02
3.40000000000000E-03,-7.12722879440670E+02,4.44750541334185E+03,-2.04638827822743E-02,4.81027932230125E+02,-2.53458165109333E+02,7.12743343323452E+02,4.86452426972530E+02,-2.32994261863197E+02
3.60000000000000E-03,-8.40245892272605E+02,5.36595976990641E+03,-8.19319145112624E-02,4.84710912055528E+02,-2.86161251556832E+02,8.40327824187117E+02,4.90390506670569E+02,-2.04229255113737E+02
3.80000000000000E-03,-9.54892559014723E+02,6.25624505690839E+03,-1.43076597119206E-01,4.90016419672959E+02,-3.19501049060734E+02,9.55035635611842E+02,4.95925357925808E+02,-1.76424308865074E+02
4.00000000000000E-03,-1.05048466186390E+03,7.04937664286879E+03,-2.03656621793519E-01,4.96730467230609E+02,-3.53243731049896E+02,1.05068831848569E+03,5.02830636649855E+02,-1.49586905599959E+02
4.20000000000000E-03,-1.12132079066755E+03,7.67427801167163E+03,-2.63432907625697E-01,5.04559930638559E+02,-3.87117493674698E+02,1.12158422357518E+03,5.10801816291055E+02,-1.23684322616357E+02
4.40000000000000E-03,-1.16231417053811E+03,8.06481621670647E+03,-3.22169542796101E-01,5.13139775157479E+02,-4.20816777014977E+02,1.16263634008090E+03,5.19463689064633E+02,-9.86469120496561E+01
4.60000000000000E-03,-1.16912089813266E+03,8.16727442041537E+03,-3.79634722453408E-01,5.22041989390697E+02,-4.54007329243945E+02,1.16950053285511E+03,5.28379556400139E+02,-7.43722271561942E+01
4.80000000000000E-03,-1.13824238687348E+03,7.94734648045289E+03,-4.35601658366369E-01,5.30787020903500E+02,-4.86332481698304E+02,1.13867798853185E+03,5.37062869429015E+02,-5.07303877307116E+01
5.00000000000000E-03,-1.06711664234872E+03,7.39599835669163E+03,-4.89849473956644E-01,5.38854440346128E+02,-5.17419019721706E+02,1.06760649182268E+03,5.44988075637783E+02,-2.75690559160777E+01
5.20000000000000E-03,-9.54182582017640E+02,6.53338307122685E+03,-5.42164074521005E-01,5.45696254350355E+02,-5.46884338531343E+02,9.54724746092161E+02,5.51604060378150E+02,-4.71972184680635E+00
5.40000000000000E-03,-7.90243684879652E+02,5.42430520653193E+03,-1.79798467647728E+01,5.50781692028231E+02,-5.55606785018164E+02,8.08223531644425E+02,5.56379048084015E+02,-7.72263065851803E-01
5.60000000000000E-03,-5.59765121922652E+02,4.23615949582106E+03,-8.45293867969473E+01,5.53795354067120E+02,-5.58523061644221E+02,6.44294508719599E+02,5.58998296904111E+02,-4.75235259890496E-01
5.80000000000000E-03,-2.63490049250181E+02,3.10635235410282E+03,-2.00444349634221E+02,5.54512572362935E+02,-5.59175833423047E+02,4.63934398884403E+02,5.59238879059618E+02,-6.30456365703367E-02
6.00000000000000E-03,-2.03765016049608E-01,2.25497862461804E+03,-3.16718340679032E+02,5.52803635645934E+02,-5.57436161852511E+02,3.16922105695082E+02,3.80600690833466E+02,1.76835471019045E+02
6.20000000000000E-03,-1.43186220260359E-01,2.24160292025073E+03,-3.17500167447526E+02,5.50331935976451E+02,-5.54965970199661E+02,3.17643353667786E+02,3.49076166823048E+02,2.05889803376612E+02
6.40000000000000E-03,-8.20423380931132E-02,2.29940784641463E+03,-3.30975282178415E+02,5.47958104467227E+02,-5.52619032496785E+02,3.31057324516508E+02,3.17330726316077E+02,2.35288306180708E+02
6.60000000000000E-03,-2.05746712553953E-02,2.40910525676825E+03,-3.53115670874796E+02,5.45825705601224E+02,-5.50530857161082E+02,3.53136245546051E+02,2.85552774495564E+02,2.64978082665518E+02
6.80000000000000E-03,4.09741951746657E-02,2.54996619594970E+03,-3.79703943346052E+02,5.44022685261932E+02,-5.48780955370788E+02,3.79662969150878E+02,2.53903359610984E+02,2.94877595759804E+02
7.00000000000000E-03,1.02361358945710E-01,2.69918997483026E+03,-4.06430335740141E+02,5.42579117947076E+02,-5.47390782287297E+02,4.06327974381195E+02,2.22514660490165E+02,3.24876121797132E+02
7.20000000000000E-03,1.63344546534329E-01,2.83214474257095E+03,-4.29010733042955E+02,5.41466900135948E+02,-5.46323666466921E+02,4.28847388496421E+02,1.91489478294104E+02,3.54834188172817E+02
7.40000000000000E-03,2.23683097223981E-01,2.92333665715817E+03,-4.43290628555503E+02,5.40603979551946E+02,-5.45489247032733E+02,4.43066945458279E+02,1.60902963062939E+02,3.84586283969794E+02
7.60000000000000E-03,2.83138847829845E-01,2.94806791221990E+03,-4.45344342578360E+02,5.39854456275909E+02,-5.44743773223988E+02,4.45061203730530E+02,1.30802321127789E+02,4.13941452096199E+02
7.80000000000000E-03,3.41477188819051E-01,2.88471894375584E+03,-4.31582181448327E+02,5.39031129774704E+02,-5.43892865736416E+02,4.31240704259508E+02,1.01207667720259E+02,4.42685198016157E+02
8.00000000000000E-03,3.98467897747877E-01,2.71726111586886E+03,-3.98837602351798E+02,5.37902078141034E+02,-5.42698270277491E+02,3.98439134454050E+02,7.21149870310572E+01,4.70583283246434E+02
8.20000000000000E-03,4.53885998150823E-01,2.43793113604625E+03,-3.44478038216120E+02,5.36194577149008E+02,-5.40881998262866E+02,3.44024152217969E+02,4.34977731132493E+01,4.97384225149617E+02
8.40000000000000E-03,5.07512836983874E-01,2.04912490484070E+03,-2.66422736529887E+02,5.33606889399509E+02,-5.38138151614691E+02,2.65915223692903E+02,1.53124035592438E+01,5.22825748055447E+02
8.60000000000000E-03,7.01320776568146E+00,1.56445829394604E+03,-1.66489426750398E+02,5.29818626216420E+02,-5.34143523900005E+02,1.59476218984717E+02,1.52462858756166E-01,5.33991061041248E+02
8.80000000000000E-03,6.54898065236413E+01,1.10402789939035E+03,-6.65728499191212E+01,5.24680143906725E+02,-5.28746742373153E+02,1.08304339547993E+00,-6.44066987214842E-02,5.28811149071875E+02
9.00000000000000E-03,7.62653322553321E+01,1.03844937498166E+03,-7.65681582291316E+01,5.18913109611498E+02,-4.12945586874559E+02,3.02825973799472E-01,-1.10119310249417E+02,5.23064897123976E+02
9.20000000000000E-03,1.14290993648263E+02,1.17471992478164E+03,-1.14534712400633E+02,5.13472899881077E+02,-3.80709843251072E+02,2.43718752370100E-01,-1.36990847162464E+02,5.17700690413536E+02
9.40000000000000E-03,1.75429979691044E+02,1.42953498969945E+03,-1.75613629374757E+02,5.08698550032719E+02,-3.48349217628619E+02,1.83649683713071E-01,-1.64699350266048E+02,5.13048567894667E+02
9.60000000000000E-03,2.54640191048171E+02,1.79533939186166E+03,-2.54763046881851E+02,5.04865732391405E+02,-3.16115036962388E+02,1.22855833679580E-01,-1.93259080427097E+02,5.09374117389485E+02
9.80000000000000E-03,3.46444304646212E+02,2.26035139797050E+03,-3.46505881774195E+02,5.02179240816601E+02,-2.84224183756057E+02,6.15771279824457E-02,-2.22646994196545E+02,5.06871177952602E+02
1.00000000000000E-02,4.45074613763121E+02,2.80540266844261E+03,-4.45074669169065E+02,5.00768456109738E+02,-2.52856500483074E+02,5.54059441242316E-05,-2.52801094483544E+02,5.05657594966619E+02
1.02000000000000E-02,5.44630131621067E+02,3.40217481688435E+03,-5.44568665073646E+02,5.00685074299393E+02,-2.22153326875421E+02,-6.14665474204230E-02,-2.83619935762330E+02,5.05773262637751E+02
1.04000000000000E-02,6.39187686868963E+02,4.01276844390722E+03,-6.39064940973067E+02,5.01901919913948E+02,-1.92216570409325E+02,-1.22745895896287E-01,-3.14962589051386E+02,5.07179159460711E+02
1.06000000000000E-02,7.22969294324322E+02,4.59129804006735E+03,-7.22785753489973E+02,5.04313619033893E+02,-1.63108669060068E+02,-1.83540834348946E-01,-3.46649686949665E+02,5.09758356009733E+02
1.08000000000000E-02,7.90503561749840E+02,5.08712820308468E+03,-7.90259950328583E+02,5.07739453149954E+02,-1.34853763367598E+02,-2.43611421257015E-01,-3.78465428235790E+02,5.13319191603388E+02
1.10000000000000E-02,8.36737968349443E+02,5.44913679136989E+03,-8.36435247764339E+02,5.11928525484917E+02,-1.07439888673552E+02,-3.02720585104453E-01,-4.10160776498287E+02,5.17600665171840E+02
1.12000000000000E-02,8.57159093532013E+02,5.63092831410031E+03,-8.56798458482830E+02,5.16566231251502E+02,-8.08218680703520E+01,-3.60635049182747E-01,-4.41457277887788E+02,5.22279145958140E+02
1.14000000000000E-02,8.47909713569281E+02,5.59641015697023E+03,-8.47492587318067E+02,5.21282062124694E+02,-5.49248719139913E+01,-4.17126251213290E-01,-4.72051540253115E+02,5.26976412167107E+02
1.16000000000000E-02,8.05887726516105E+02,5.32502203709640E+03,-8.05415755269923E+02,5.25658727165370E+02,-2.96486257834168E+01,-4.71971246181852E-01,-5.01620343936043E+02,5.31268969719460E+02
1.18000000000000E-02,7.28831078062812E+02,4.81604178351076E+03,-7.28306124476261E+02,5.29242921926984E+02,-4.87243984162160E+00,-5.24953586551305E-01,-5.29826551345988E+02,5.34698991187610E+02
1.20000000000000E-02,6.24664374606314E+02,4.10677464580369E+03,-6.05470910278788E+02,5.31590450168201E+02,-5.86276859674399E-01,-1.91934643275259E+01,-5.36233236183449E+02,5.36819513043123E+02
1.22000000000000E-02,5.09710748767709E+02,3.33640787512911E+03,-4.19288772732664E+02,5.32475710913788E+02,-3.28866467831176E-01,-9.04219760350443E+01,-5.37074770088110E+02,5.37403636555941E+02
1.24000000000000E-02,3.83554131679595E+02,2.60734559507252E+03,-1.69637030907115E+02,5.31755476405584E+02,4.42800255854081E-02,-2.13917100772480E+02,-5.36351875530684E+02,5.36307595505098E+02
1.26000000000000E-02,3.17198223533176E+02,2.19746294057682E+03,-2.23790979174883E-01,5.29480614779391E+02,1.55161258437752E+02,-3.16974432554001E+02,-5.34113719841143E+02,3.78952461403391E+02
1.28000000000000E-02,3.52888094546956E+02,2.37060512905070E+03,-1.63453800126539E-01,5.27246073065245E+02,1.84248329511834E+02,-3.52724640746829E+02,-5.31950622603843E+02,3.47702293092009E+02
1.30000000000000E-02,4.01605705200725E+02,2.62663968460850E+03,-1.02471561279189E-01,5.25578304649173E+02,2.13954344939354E+02,-4.01503233639445E+02,-5.30380353629355E+02,3.16426008690001E+02
1.32000000000000E-02,4.58537154034315E+02,2.94554410851248E+03,-4.10849127352854E-02,5.24619814394434E+02,2.44225417820915E+02,-4.58496069121580E+02,-5.29535789461986E+02,2.85310371641072E+02
1.34000000000000E-02,5.18701987161249E+02,3.30288854057904E+03,2.04638837650088E-02,5.24447518146326E+02,2.74973894441001E+02,-5.18722451045014E+02,-5.29483884653130E+02,2.54509990212129E+02
1.36000000000000E-02,5.77052932965518E+02,3.66915457563633E+03,8.19319161592183E-02,5.25072706732895E+02,3.06078916661627E+02,-5.77134864881677E+02,-5.30225835232201E+02,2.24146918570574E+02
1.38000000000000E-02,6.28595491286645E+02,4.01028799057835E+03,1.43076600243973E-01,5.26437295838044E+02,3.37385155543392E+02,-6.28738567886889E+02,-5.31693567766354E+02,1.94308412222962E+02
1.40000000000000E-02,6.68523811366832E+02,4.28952998305795E+03,2.03656624166149E-01,5.28417273733434E+02,3.68705143332314E+02,-6.68727467990998E+02,-5.33753458842059E+02,1.65048315509745E+02
1.42000000000000E-02,6.92344262120005E+02,4.47020871450298E+03,2.63432911263445E-01,5.30827320958473E+02,3.99822188286597E+02,-6.92607695031269E+02,-5.36211201877102E+02,1.36389013590504E+02
1.44000000000000E-02,6.95982736665950E+02,4.51918683985802E+03,3.22169549800477E-01,5.33425107705055E+02,4.30493095538107E+02,-6.96304906215751E+02,-5.38816319106510E+02,1.08323223568403E+02
1.46000000000000E-02,6.75896591668585E+02,4.41074964724398E+03,3.79634735846469E-01,5.35917992734342E+02,4.60452099923081E+02,-6.76276226404432E+02,-5.41269084365337E+02,8.08169844422561E+01
1.48000000000000E-02,6.29134397903298E+02,4.13012176420023E+03,4.35601659423784E-01,5.37968262446986E+02,4.89413988337658E+02,-6.29569999562722E+02,-5.43225881650307E+02,5.38118933126498E+01
1.50000000000000E-02,5.53442287801328E+02,3.67686734010763E+03,4.89849473977934E-01,5.39203809678915E+02,5.17080030208502E+02,-5.53932137275306E+02,-5.44310096590085E+02,2.72300663815838E+01
1.52000000000000E-02,4.47332879204503E+02,3.06715641537374E+03,5.42164076423552E-01,5.39228530981105E+02,5.43143635069747E+02,-4.47875043280927E+02,-5.44122651552408E+02,9.79016482660938E-01
