"time","spring.w_rel","PI.I.y","inertia1.phi","spring.phi_rel","integrator.y","inertia1.w"
0,0,-0.1,0,0.001,0,0
0.004,0,-0.1,0,0.001,0,0
0.008,0,-0.1,0,0.001,0,0
0.012,0,-0.1,0,0.001,0,0
0.016,0,-0.1,0,0.001,0,0
0.02,0,-0.1,0,0.001,0,0
0.024,0,-0.1,0,0.001,0,0
0.028,0,-0.1,0,0.001,0,0
0.032,0,-0.1,0,0.001,0,0
0.036,0,-0.1,0,0.001,0,0
0.04,0,-0.1,0,0.001,0,0
0.044,0,-0.1,0,0.001,0,0
0.048,0,-0.1,0,0.001,0,0
0.052,0,-0.1,0,0.001,0,0
0.056,0,-0.1,0,0.001,0,0
0.06,0,-0.1,0,0.001,0,0
0.064,0,-0.1,0,0.001,0,0
0.068,0,-0.1,0,0.001,0,0
0.072,0,-0.1,0,0.001,0,0
0.076,0,-0.1,0,0.001,0,0
0.08,0,-0.1,0,0.001,0,0
0.084,0,-0.1,0,0.001,0,0
0.088,0,-0.1,0,0.001,0,0
0.092,0,-0.1,0,0.001,0,0
0.096,0,-0.1,0,0.001,0,0
0.1,0,-0.1,0,0.001,0,0
0.104,0,-0.1,0,0.001,0,0
0.108,0,-0.1,0,0.001,0,0
0.112,0,-0.1,0,0.001,0,0
0.116,0,-0.1,0,0.001,0,0
0.12,0,-0.1,0,0.001,0,0
0.124,0,-0.1,0,0.001,0,0
0.128,0,-0.1,0,0.001,0,0
0.132,0,-0.1,0,0.001,0,0
0.136,0,-0.1,0,0.001,0,0
0.14,0,-0.1,0,0.001,0,0
0.144,0,-0.1,0,0.001,0,0
0.148,0,-0.1,0,0.001,0,0
0.152,0,-0.1,0,0.001,0,0
0.156,0,-0.1,0,0.001,0,0
0.16,0,-0.1,0,0.001,0,0
0.164,0,-0.1,0,0.001,0,0
0.168,0,-0.1,0,0.001,0,0
0.172,0,-0.1,0,0.001,0,0
0.176,0,-0.1,0,0.001,0,0
0.18,0,-0.1,0,0.001,0,0
0.184,0,-0.1,0,0.001,0,0
0.188,0,-0.1,0,0.001,0,0
0.192,0,-0.1,0,0.001,0,0
0.196,0,-0.1,0,0.001,0,0
0.2,0,-0.1,0,0.001,0,0
0.204,0,-0.1,0,0.001,0,0
0.208,0,-0.1,0,0.001,0,0
0.212,0,-0.1,0,0.001,0,0
0.216,0,-0.1,0,0.001,0,0
0.22,0,-0.1,0,0.001,0,0
0.224,0,-0.1,0,0.001,0,0
0.228,0,-0.1,0,0.001,0,0
0.232,0,-0.1,0,0.001,0,0
0.236,0,-0.1,0,0.001,0,0
0.24,0,-0.1,0,0.001,0,0
0.244,0,-0.1,0,0.001,0,0
0.248,0,-0.1,0,0.001,0,0
0.252,0,-0.1,0,0.001,0,0
0.256,0,-0.1,0,0.001,0,0
0.26,0,-0.1,0,0.001,0,0
0.264,0,-0.1,0,0.001,0,0
0.268,0,-0.1,0,0.001,0,0
0.272,0,-0.1,0,0.001,0,0
0.276,0,-0.1,0,0.001,0,0
0.28,0,-0.1,0,0.001,0,0
0.284,0,-0.1,0,0.001,0,0
0.288,0,-0.1,0,0.001,0,0
0.292,0,-0.1,0,0.001,0,0
0.296,0,-0.1,0,0.001,0,0
0.3,0,-0.1,0,0.001,0,0
0.304,0,-0.1,0,0.001,0,0
0.308,0,-0.1,0,0.001,0,0
0.312,0,-0.1,0,0.001,0,0
0.316,0,-0.1,0,0.001,0,0
0.32,0,-0.1,0,0.001,0,0
0.324,0,-0.1,0,0.001,0,0
0.328,0,-0.1,0,0.001,0,0
0.332,0,-0.1,0,0.001,0,0
0.336,0,-0.1,0,0.001,0,0
0.34,0,-0.1,0,0.001,0,0
0.344,0,-0.1,0,0.001,0,0
0.348,0,-0.1,0,0.001,0,0
0.352,0,-0.1,0,0.001,0,0
0.356,0,-0.1,0,0.001,0,0
0.36,0,-0.1,0,0.001,0,0
0.364,0,-0.1,0,0.001,0,0
0.368,0,-0.1,0,0.001,0,0
0.372,0,-0.1,0,0.001,0,0
0.376,0,-0.1,0,0.001,0,0
0.38,0,-0.1,0,0.001,0,0
0.384,0,-0.1,0,0.001,0,0
0.388,0,-0.1,0,0.001,0,0
0.392,0,-0.1,0,0.001,0,0
0.396,0,-0.1,0,0.001,0,0
0.4,0,-0.1,0,0.001,0,0
0.404,0,-0.1,0,0.001,0,0
0.408,0,-0.1,0,0.001,0,0
0.412,0,-0.1,0,0.001,0,0
0.416,0,-0.1,0,0.001,0,0
0.42,0,-0.1,0,0.001,0,0
0.424,0,-0.1,0,0.001,0,0
0.428,0,-0.1,0,0.001,0,0
0.432,0,-0.1,0,0.001,0,0
0.436,0,-0.1,0,0.001,0,0
0.44,0,-0.1,0,0.001,0,0
0.444,0,-0.1,0,0.001,0,0
0.448,0,-0.1,0,0.001,0,0
0.452,0,-0.1,0,0.001,0,0
0.456,0,-0.1,0,0.001,0,0
0.46,0,-0.1,0,0.001,0,0
0.464,0,-0.1,0,0.001,0,0
0.468,0,-0.1,0,0.001,0,0
0.472,0,-0.1,0,0.001,0,0
0.476,0,-0.1,0,0.001,0,0
0.48,0,-0.1,0,0.001,0,0
0.484,0,-0.1,0,0.001,0,0
0.488,0,-0.1,0,0.001,0,0
0.492,0,-0.1,0,0.001,0,0
0.496,0,-0.1,0,0.001,0,0
0.5,0,-0.1,0,0.001,0,0
0.504,0,-0.1,0,0.001,0,0
0.508,0,-0.1,0,0.001,0,0
0.512,0,-0.1,0,0.001,0,0
0.516,0,-0.1,0,0.001,0,0
0.52,0,-0.1,0,0.001,0,0
0.524,0,-0.1,0,0.001,0,0
0.528,0,-0.1,0,0.001,0,0
0.532,0,-0.1,0,0.001,0,0
0.536,0,-0.1,0,0.001,0,0
0.54,0,-0.1,0,0.001,0,0
0.544,0,-0.1,0,0.001,0,0
0.548,0,-0.1,0,0.001,0,0
0.552,0,-0.1,0,0.001,0,0
0.556,0,-0.1,0,0.001,0,0
0.56,0,-0.1,0,0.001,0,0
0.564,0,-0.1,0,0.001,0,0
0.568,0,-0.1,0,0.001,0,0
0.572,0,-0.1,0,0.001,0,0
0.576,0,-0.1,0,0.001,0,0
0.58,0,-0.1,0,0.001,0,0
0.584,0,-0.1,0,0.001,0,0
0.588,0,-0.1,0,0.001,0,0
0.592,0,-0.1,0,0.001,0,0
0.596,0,-0.1,0,0.001,0,0
0.6,0,-0.1,0,0.001,0,0
0.604,0,-0.1,0,0.001,0,0
0.608,0,-0.1,0,0.001,0,0
0.612,0,-0.1,0,0.001,0,0
0.616,0,-0.1,0,0.001,0,0
0.62,0,-0.1,0,0.001,0,0
0.624,0,-0.1,0,0.001,0,0
0.628,0,-0.1,0,0.001,0,0
0.632,0,-0.1,0,0.001,0,0
0.636,0,-0.1,0,0.001,0,0
0.64,0,-0.1,0,0.001,0,0
0.644,0,-0.1,0,0.001,0,0
0.648,0,-0.1,0,0.001,0,0
0.652,0,-0.1,0,0.001,0,0
0.656,0,-0.1,0,0.001,0,0
0.66,0,-0.1,0,0.001,0,0
0.664,0,-0.1,0,0.001,0,0
0.668,0,-0.1,0,0.001,0,0
0.672,0,-0.1,0,0.001,0,0
0.676,0,-0.1,0,0.001,0,0
0.68,0,-0.1,0,0.001,0,0
0.684,0,-0.1,0,0.001,0,0
0.688,0,-0.1,0,0.001,0,0
0.692,0,-0.1,0,0.001,0,0
0.696,0,-0.1,0,0.001,0,0
0.7,0,-0.1,0,0.001,0,0
0.704,0,-0.1,0,0.001,0,0
