"time","y","y1","y2","y3","y4","y5","y6","Q","QI"
0,0,0,1,0,1,0,0,1,0
0.1,0,0,1,0,1,0,0,1,0
0.2,0,0,1,0,1,0,0,1,0
0.3,0,0,1,0,1,0,0,0,1
0.4,0,0,1,0,1,0,0,0,1
0.5,0,0,1,0,1,0,0,1,0
0.6,0,0,1,0,1,0,0,1,0
0.7,0,0,1,0,1,0,0,1,0
0.8,0,2,0,0,1,1,0,0,1
0.9,0,2,0,0,1,1,0,0,1
1,0,4,1,0,1,0,0,1,0
1.1,0,4,1,0,1,0,0,1,0
1.2,0,4,1,0,1,0,0,1,0
1.3,0,4,1,0,1,0,0,0,1
1.4,0,4,1,0,1,0,0,0,1
1.5,0,4,1,0,1,0,0,1,0
1.6,0,4,1,0,1,0,0,1,0
1.7,0,4,1,0,1,0,0,1,0
1.8,0,6,0,0,1,1,0,0,1
1.9,0,6,0,0,1,1,0,0,1
2,1,8,1,0,1,0,0,1,0
2.1,1,8,1,0,1,0,0,1,0
2.2,0,8,1,0,1,0,0,1,0
2.3,0,8,1,0,1,0,0,0,1
2.4,0,8,1,0,1,0,0,0,1
2.5,0,8,1,0,1,0,0,1,0
2.6,0,8,1,0,1,0,0,1,0
2.7,0,8,1,0,1,0,0,1,0
2.8,0,10,0,0,1,1,0,0,1
2.9,0,10,0,0,1,1,0,0,1
3,1,12,1,0,1,0,1,1,0
3.1,1,12,1,0,1,0,1,1,0
3.2,0,12,1,0,1,0,1,1,0
3.3,0,12,1,0,1,0,1,0,1
3.4,0,12,1,0,1,0,1,0,1
3.5,0,12,1,0,1,0,1,1,0
3.6,0,12,1,0,1,0,1,1,0
3.7,0,12,1,0,1,0,1,1,0
3.8,0,14,0,0,1,1,1,0,1
3.9,0,14,0,0,1,1,1,0,1
4,1,16,1,0,1,0,0,1,0
4.1,1,16,1,0,1,0,0,1,0
4.2,0,16,1,0,1,0,0,1,0
4.3,0,16,1,0,1,0,0,0,1
4.4,0,16,1,0,1,0,0,0,1
4.5,0,16,1,0,1,0,0,1,0
4.6,0,16,1,0,1,0,0,1,0
4.7,0,16,1,0,1,0,0,1,0
4.8,0,18,0,0,1,1,0,0,1
4.9,0,18,0,0,1,1,0,0,1
5,1,20,1,0,1,0,0,1,0
5.1,1,20,1,0,1,0,0,1,0
5.2,0,20,1,0,1,0,0,1,0
5.3,0,20,1,0,1,0,0,0,1
5.4,0,20,1,0,1,0,0,0,1
5.5,0,20,1,0,1,0,0,1,0
5.6,0,20,1,0,1,0,0,1,0
5.7,0,20,1,0,1,0,0,1,0
5.8,0,22,0,0,1,1,0,0,1
5.9,0,22,0,0,1,1,0,0,1
6,1,24,1,0,1,0,0,1,0
6.1,1,24,1,0,1,0,0,1,0
6.2,0,24,1,0,1,0,0,1,0
6.3,0,24,1,0,1,0,0,0,1
6.4,0,24,1,0,1,0,0,0,1
6.5,0,24,1,0,1,0,0,1,0
6.6,0,24,1,0,1,0,0,1,0
6.7,0,24,1,0,1,0,0,1,0
6.8,0,26,0,0,1,1,0,0,1
6.9,0,26,0,0,1,1,0,0,1
7,1,28,1,0,1,0,0,1,0
7.1,1,28,1,0,1,0,0,1,0
7.2,0,28,1,0,1,0,0,1,0
7.3,0,28,1,0,1,0,0,0,1
7.4,0,28,1,0,1,0,0,0,1
7.5,0,28,1,0,1,0,0,1,0
7.6,0,28,1,0,1,0,0,1,0
7.7,0,28,1,0,1,0,0,1,0
7.8,0,30,0,0,1,1,0,0,1
7.9,0,30,0,0,1,1,0,0,1
8,1,32,1,0,1,0,1,1,0
8.1,1,32,1,0,1,0,1,1,0
8.2,0,32,1,0,1,0,1,1,0
8.3,0,32,1,0,1,0,1,0,1
8.4,0,32,1,0,1,0,1,0,1
8.5,0,32,1,0,1,0,1,1,0
8.6,0,32,1,0,1,0,1,1,0
8.7,0,32,1,0,1,0,1,1,0
8.8,0,34,0,0,1,1,1,0,1
8.9,0,34,0,0,1,1,1,0,1
9,1,36,1,0,1,0,0,1,0
9.1,1,36,1,0,1,0,0,1,0
9.2,0,36,1,0,1,0,0,1,0
9.3,0,36,1,0,1,0,0,0,1
9.4,0,36,1,0,1,0,0,0,1
9.5,0,36,1,0,1,0,0,1,0
9.6,0,36,1,0,1,0,0,1,0
9.7,0,36,1,0,1,0,0,1,0
9.8,0,38,0,0,1,1,0,0,1
9.9,0,38,0,0,1,1,0,0,1
10,1,40,1,0,1,0,0,1,0
