"time","FMU_Interface_OUT0_Primary Angle","FMU_Interface_OUT1_Secondary Angle","FMU_Interface_OUT2_Primary Speed","FMU_Interface_OUT3_Secondary Speed","FMU_Interface_OUT4_Primary Acceleration","FMU_Interface_OUT5_Secondary Acceleration","FMU_Interface_OUT6_Primary Torque","FMU_Interface_OUT7_Secondary Torque","FMU_Interface_OUT8_Torque Friction","FMU_Interface_OUT9_Spring Actual Angle"
0,0,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0,-3.5971225997855072e-013,-1.0668651160056804e-014,154.99999999999997
0.2,73.304002925656945,73.318667392322084,244.42000000000002,244.42000000000002,255.98162361301013,255.98162361301016,10,-10.355576142271948,-6.1156768087527684,154.92342379962085
0.3,293.27466956928782,293.30400070261811,488.86444444444453,488.86444444444453,255.98162361194426,255.9816236119442,10,-10.590660173743828,-7.0918628338275758,154.91670883933946
0.4,659.91200286422907,659.95600066422446,733.30888888888887,733.30888888888887,255.98162361123369,255.98162361123366,10,-10.774077492080085,-8.7170283201697245,154.92240274370567
0.5,1173.2160028104734,1173.2746672771341,977.75333333333344,977.75333333333344,255.98162361407586,255.98162361407589,10,-11.040934049733838,-6.3695317259307975,154.92433202725542
0.6,1833.1866694080288,1833.2600005413542,1222.1977777777777,1222.1977777777777,255.98162361265503,255.98162361265497,10,-11.125132181773207,2.1204066391089036,154.92557909826863
0.7,2639.8240026568924,2639.9120004568827,1466.6422222222225,1466.6422222222225,255.98162361407603,255.98162361407611,10,-11.314926751750672,18.132308202494215,154.91843295757923
0.8,3593.1280025570636,3593.2306670237185,1711.086666666667,1711.086666666667,255.98162361407603,255.981623614076,10,-11.135944641397856,22.893465307103785,154.93099822046736
0.9,4693.09866910854,4693.2160002418605,1955.5311111111114,1955.5311111111114,255.98162361407611,255.98162361407611,10,-11.157111244930014,30.316282756148116,154.92709739223008
1,5939.7360023113251,5939.8680001113116,2199.9755555555557,2199.9755555555557,255.98162361123406,255.98162361123411,10,-11.468428321912697,1.4944892066447402,154.92149718571014
1.1,7259.7359992414586,7259.8679992414454,2200,2200,-8.4483847513950533e-016,-8.4483847513950533e-016,-10,8.5327833533133521,-1.4672166466866488,154.92169285021285
1.2,8579.7359990972418,8579.8679990972287,2200,2200,-2.8421699120307521e-009,-2.8421699120307521e-009,-10,8.5327833533440476,-1.4672166466559533,154.92169285021365
1.3,9899.7359989525667,9899.8679989525535,2200.0000000000005,2200.0000000000005,1.2171808221194796e-015,1.2171808221194796e-015,-9.9999914348514096,8.5327747881954572,-1.4672166466559533,154.92169285021365
1.4,11219.73599880789,11219.867998807877,2200.0000000000005,2200.0000000000005,1.4034151045271208e-015,1.4034151045271208e-015,-10,8.5327833533440476,-1.4672166466559533,154.92169285021365
1.5,12539.735998663216,12539.867998663203,2200.0000000000005,2200.0000000000005,2.8421693534541223e-009,2.8421693534541223e-009,-9.9999888142809823,8.5327721676250299,-1.4672166466559533,154.92169285021365
1.6,13859.735998518539,13859.867998518526,2200.0000000000005,2200.0000000000005,2.8421691672198399e-009,2.8421691672198399e-009,-10,8.5327833533440476,-1.4672166466559533,154.92169285021365
1.7,15179.735998373864,15179.867998373851,2200,2200,0,0,-10,8.5327833533440476,-1.4672166466559533,154.92169285021365
1.8,16499.735998229189,16499.867998229176,2200,2200,0,0,-9.9999848836473859,8.5327682369914335,-1.4672166466559533,154.92169285021365
1.9,17819.73599808451,17819.867998084497,2200,2200,0,0,-9.9999835731401276,8.5327669264841752,-1.4672166466559533,154.92169285021365
2,19139.735997939839,19139.867997939822,2200,2200,-2.5205683645431227e-015,-2.5205683645431227e-015,-10,8.5327833534668294,-1.4672166465331715,154.92169285021691
2.1,20462.231584453653,20459.867997788628,2200,2200,0,0,-10,10,0,154.96061198052854
2.2,21784.702485890433,21779.867997637437,2200,2200,0,0,-10,10,0,154.96061198052854
2.3,23107.123763818301,23099.867997486243,2200,2200,-7.0745045982898581e-016,-7.0745045982898581e-016,-10,55.428467034118107,45.531371271627826,152.649463181258
2.4,24429.471225627047,24419.867997335052,2200,2200,1.7834567345911809e-015,1.7834567345911809e-015,-10,77.784640713543439,67.736787797083949,150.30369083833381
2.5,25751.721416252738,25739.867997183861,2200,2200,2.8421680835773916e-009,2.8421680835773916e-009,-15.267790089381618,95.081172300720581,79.663714027630633,148.14658093112163
2.6,27073.851852532945,27059.867997032663,2200.0000000000005,2200.0000000000005,-3.935343066370731e-015,-3.935343066370731e-015,-26.6202363748951,110.52013507561978,83.905206399680651,146.01614449971777
2.7,28395.841247851076,28379.867996881469,2200.0000000000005,2200.0000000000005,2.8421609203417187e-009,2.8421609203417187e-009,-37.224195063798057,124.97303021399789,87.748174297026736,144.02674903039596
2.8,29717.669724834188,29699.867996739267,2200,2200,-6.0873556158951216e-015,-6.0873556158951216e-015,-47.018952145129326,138.19618773035614,91.178870314331832,142.19827190507939
2.9,31039.319013957869,31019.867996620644,2200,2200,-7.1633618906573169e-015,-7.1633618906573169e-015,-55.888999800887859,150.07647794293223,94.188996667067315,140.54898266277459
3,32360.772636045604,32339.86799650202,2200,2200,2.8421627036722353e-009,2.8421627036722353e-009,-63.735450655365419,160.50933513769775,96.775245057271434,139.0953604564184
3.1,33682.01606698479,33659.867996383386,2200,2200,-2.8421523125439558e-009,-2.8421523125439558e-009,-70.469144750428441,169.40493417357035,98.937315751683855,137.85192939860318
3.2,35003.036882823355,34979.867996264773,2200.0000000000005,2200.0000000000005,2.8421501605314065e-009,2.8421501605314065e-009,-76.012575288244037,176.68780690750913,100.67685679864903,136.83111344141204
3.3,36323.824883905676,36299.867996146146,2200,2200,2.8421480085188568e-009,2.8421480085188568e-009,-80.301651655661104,182.29653493477906,101.9965547371949,136.04311224046532
3.4,37644.372196784221,37619.867996027519,2200,2200,-1.2543267046723452e-014,-1.2543267046723452e-014,-83.286525365634503,186.18413867227727,102.89932487441907,135.49579924329979
3.5,38964.673352888458,38939.867995908899,2200,2200,2.8421709430404007e-009,2.8421709430404007e-009,-84.93234379617094,188.31825083247119,103.38764306364443,135.19464302043727
3.6,40284.725343164951,40259.867995790264,2200,2200,-2.8421562478870222e-009,-2.8421562478870222e-009,-65.272525324675073,168.36272867997866,103.08555563349724,135.14265262531782
3.7,41604.527648142852,41579.867995671644,2200.0000000000005,2200.0000000000005,-1.5771159653265196e-014,-1.5771159653265196e-014,-65.272525324675073,160.90980640263118,95.632633356149768,135.34034752879379
3.8,42924.082243124292,42899.867995553024,2200,2200,1.6847165928027393e-014,1.6847165928027393e-014,-65.272525324675073,144.11843726375167,78.841264217270222,135.78575242872537
