    "time",   "level",  "level2",  "level3"
         0,         0,         0,         0
      0.01,         0,         0,         0
      0.02,         0,         0,         0
      0.03,         0,         0,         0
      0.04,         0,         0,         0
      0.05,         0,         0,         0
      0.06,0.0041666669,0.0041666669,         0
      0.07,0.0041666669,0.0041666669,         0
      0.08,0.0041666669,0.0041666669,         0
      0.09,0.0041666669,0.0041666669,         0
       0.1,0.0041666669,0.0041666669,         0
      0.11,    0.0125,    0.0125,         0
      0.12,    0.0125,    0.0125,         0
      0.13,    0.0125,    0.0125,         0
      0.14,    0.0125,    0.0125,         0
      0.15,    0.0125,    0.0125,         0
      0.16,     0.025,     0.025,         0
      0.17,     0.025,     0.025,         0
      0.18,     0.025,     0.025,         0
      0.19,     0.025,     0.025,         0
       0.2,     0.025,     0.025,         0
      0.21,0.041666668,0.041666668,         0
      0.22,0.041666668,0.041666668,         0
      0.23,0.041666668,0.041666668,         0
      0.24,0.041666668,0.041666668,         0
      0.25,0.041666668,0.041666668,         0
      0.26,    0.0625,    0.0625,         0
      0.27,    0.0625,    0.0625,         0
      0.28,    0.0625,    0.0625,         0
      0.29,    0.0625,    0.0625,         0
       0.3,    0.0625,    0.0625,         0
      0.31,0.087499999,0.087499999,         0
      0.32,0.087499999,0.087499999,         0
      0.33,0.087499999,0.087499999,         0
      0.34,0.087499999,0.087499999,         0
      0.35,0.11666667,0.11666667,         0
      0.36,0.11666667,0.11666667,         0
      0.37,0.11666667,0.11666667,         0
      0.38,0.11666667,0.11666667,         0
      0.39,0.11666667,0.11666667,         0
       0.4,0.15000001,0.15000001,         0
      0.41,0.15000001,0.15000001,         0
      0.42,0.15000001,0.15000001,         0
      0.43,0.15000001,0.15000001,         0
      0.44,0.15000001,0.15000001,         0
      0.45,0.18750001,0.18750001,         0
      0.46,0.18750001,0.18750001,         0
      0.47,0.18750001,0.18750001,         0
      0.48,0.18750001,0.18750001,         0
      0.49,0.18750001,0.18750001,         0
       0.5,0.22916667,0.22916667,         0
      0.51,0.22916667,0.22916667,         0
      0.52,0.22916667,0.22916667,         0
      0.53,0.22916667,0.22916667,         0
      0.54,0.22916667,0.22916667,         0
      0.55,0.27500004,0.27500004,         0
      0.56,0.27500004,0.27500004,         0
      0.57,0.27500004,0.27500004,         0
      0.58,0.27500004,0.27500004,         0
      0.59,0.27500004,0.27500004,         0
       0.6,0.27500004,0.27500004,         0
      0.61,0.32500002,0.32500002,         0
