"time","freqHz","T2","T3","J1.flange_a.phi","J1.flange_a.tau","J1.flange_b.phi","J1.flange_b.tau","J1.J","J1.phi"
0.078,0.2,0.4,0.9,0.76865,6.3575,0.76865,-9.95269,1,0.76865
0.0795,0.2,0.4,0.9,0.783322,5.98683,0.783322,-9.95084,1,0.783322
0.081,0.2,0.4,0.9,0.797986,5.60287,0.797986,-9.94896,1,0.797986
0.0825,0.2,0.4,0.9,0.81264,5.20646,0.81264,-9.94704,1,0.81264
0.084,0.2,0.4,0.9,0.827283,4.7985,0.827283,-9.94508,1,0.827283
0.0855,0.2,0.4,0.9,0.841915,4.37989,0.841915,-9.94309,1,0.841915
0.087,0.2,0.4,0.9,0.856534,3.95155,0.856534,-9.94107,1,0.856534
0.0885,0.2,0.4,0.9,0.87114,3.51443,0.87114,-9.93901,1,0.87114
0.09,0.2,0.4,0.9,0.885731,3.06952,0.885731,-9.93691,1,0.885731
0.0915,0.2,0.4,0.9,0.900307,2.61779,0.900307,-9.93478,1,0.900307
0.093,0.2,0.4,0.9,0.914866,2.16024,0.914866,-9.93261,1,0.914866
0.0945,0.2,0.4,0.9,0.929408,1.6979,0.929408,-9.93041,1,0.929408
0.096,0.2,0.4,0.9,0.943931,1.23179,0.943931,-9.92817,1,0.943931
0.0975,0.2,0.4,0.9,0.958435,0.762948,0.958435,-9.9259,1,0.958435
0.099,0.2,0.4,0.9,0.972918,0.292409,0.972918,-9.92359,1,0.972918
0.1005,0.2,0.4,0.9,0.987379,-0.178779,0.987379,-9.92125,1,0.987379
0.102,0.2,0.4,0.9,1.00182,-0.649569,1.00182,-9.91887,1,1.00182
0.1035,0.2,0.4,0.9,1.01623,-1.11892,1.01623,-9.91646,1,1.01623
0.105,0.2,0.4,0.9,1.03062,-1.58578,1.03062,-9.91401,1,1.03062
0.1065,0.2,0.4,0.9,1.04499,-2.04913,1.04499,-9.91152,1,1.04499
0.108,0.2,0.4,0.9,1.05932,-2.50792,1.05932,-9.909,1,1.05932
0.1095,0.2,0.4,0.9,1.07363,-2.96115,1.07363,-9.90645,1,1.07363
0.111,0.2,0.4,0.9,1.08791,-3.4078,1.08791,-9.90386,1,1.08791
0.1125,0.2,0.4,0.9,1.10216,-3.84688,1.10216,-9.90123,1,1.10216
0.114,0.2,0.4,0.9,1.11638,-4.27743,1.11638,-9.89857,1,1.11638
0.1155,0.2,0.4,0.9,1.13057,-4.69847,1.13057,-9.89588,1,1.13057
0.117,0.2,0.4,0.9,1.14473,-5.10909,1.14473,-9.89315,1,1.14473
0.1185,0.2,0.4,0.9,1.15885,-5.50836,1.15885,-9.89038,1,1.15885
0.12,0.2,0.4,0.9,1.17293,-5.8954,1.17293,-9.88758,1,1.17293
0.1215,0.2,0.4,0.9,1.18699,-6.26935,1.18699,-9.88474,1,1.18699
0.123,0.2,0.4,0.9,1.201,-6.62939,1.201,-9.88187,1,1.201
0.1245,0.2,0.4,0.9,1.21498,-6.9747,1.21498,-9.87897,1,1.21498
0.126,0.2,0.4,0.9,1.22892,-7.30453,1.22892,-9.87603,1,1.22892
0.1275,0.2,0.4,0.9,1.24282,-7.61814,1.24282,-9.87305,1,1.24282
0.129,0.2,0.4,0.9,1.25668,-7.91484,1.25668,-9.87004,1,1.25668
0.1305,0.2,0.4,0.9,1.2705,-8.19396,1.2705,-9.86699,1,1.2705
0.132,0.2,0.4,0.9,1.28428,-8.45489,1.28428,-9.86391,1,1.28428
0.1335,0.2,0.4,0.9,1.29802,-8.69705,1.29802,-9.86079,1,1.29802
0.135,0.2,0.4,0.9,1.31172,-8.9199,1.31172,-9.85764,1,1.31172
0.1365,0.2,0.4,0.9,1.32537,-9.12294,1.32537,-9.85445,1,1.32537
0.138,0.2,0.4,0.9,1.33899,-9.30573,1.33899,-9.85123,1,1.33899
0.1395,0.2,0.4,0.9,1.35256,-9.46786,1.35256,-9.84798,1,1.35256
0.141,0.2,0.4,0.9,1.36608,-9.60897,1.36608,-9.84468,1,1.36608
0.1425,0.2,0.4,0.9,1.37957,-9.72874,1.37957,-9.84136,1,1.37957
0.144,0.2,0.4,0.9,1.39301,-9.82692,1.39301,-9.838,1,1.39301
0.1455,0.2,0.4,0.9,1.4064,-9.90327,1.4064,-9.8346,1,1.4064
0.147,0.2,0.4,0.9,1.41975,-9.95764,1.41975,-9.83117,1,1.41975
0.1485,0.2,0.4,0.9,1.43305,-9.9899,1.43305,-9.8277,1,1.43305
0.15,0.2,0.4,0.9,1.44632,-9.99998,1.44632,-9.8242,1,1.44632
0.1515,0.2,0.4,0.9,1.45953,-9.98785,1.45953,-9.82066,1,1.45953
0.153,0.2,0.4,0.9,1.4727,-9.95355,1.4727,-9.81709,1,1.4727
0.1545,0.2,0.4,0.9,1.48583,-9.89715,1.48583,-9.81349,1,1.48583
0.156,0.2,0.4,0.9,1.49891,-9.81878,1.49891,-9.80984,1,1.49891
0.1575,0.2,0.4,0.9,1.51195,-9.71861,1.51195,-9.80617,1,1.51195
0.159,0.2,0.4,0.9,1.52495,-9.59686,1.52495,-9.80246,1,1.52495
0.1605,0.2,0.4,0.9,1.5379,-9.4538,1.5379,-9.79871,1,1.5379
0.162,0.2,0.4,0.9,1.55081,-9.28975,1.55081,-9.79493,1,1.55081
0.1635,0.2,0.4,0.9,1.56367,-9.10508,1.56367,-9.79112,1,1.56367
0.165,0.2,0.4,0.9,1.57649,-8.90019,1.57649,-9.78727,1,1.57649
0.1665,0.2,0.4,0.9,1.58927,-8.67554,1.58927,-9.78338,1,1.58927
0.168,0.2,0.4,0.9,1.60201,-8.43163,1.60201,-9.77946,1,1.60201
0.1695,0.2,0.4,0.9,1.61471,-8.169,1.61471,-9.77551,1,1.61471
0.171,0.2,0.4,0.9,1.62737,-7.88823,1.62737,-9.77152,1,1.62737
0.1725,0.2,0.4,0.9,1.63999,-7.58994,1.63999,-9.7675,1,1.63999
0.174,0.2,0.4,0.9,1.65256,-7.27481,1.65256,-9.76344,1,1.65256
0.1755,0.2,0.4,0.9,1.6651,-6.94352,1.6651,-9.75935,1,1.6651
0.177,0.2,0.4,0.9,1.67761,-6.59682,1.67761,-9.75522,1,1.67761
0.1785,0.2,0.4,0.9,1.69007,-6.23547,1.69007,-9.75105,1,1.69007
0.18,0.2,0.4,0.9,1.7025,-5.86028,1.7025,-9.74686,1,1.7025
0.1815,0.2,0.4,0.9,1.7149,-5.47207,1.7149,-9.74263,1,1.7149
0.183,0.2,0.4,0.9,1.72726,-5.07172,1.72726,-9.73836,1,1.72726
0.1845,0.2,0.4,0.9,1.73959,-4.6601,1.73959,-9.73406,1,1.73959
0.186,0.2,0.4,0.9,1.75188,-4.23814,1.75188,-9.72972,1,1.75188
0.1875,0.2,0.4,0.9,1.76414,-3.80677,1.76414,-9.72535,1,1.76414
0.189,0.2,0.4,0.9,1.77638,-3.36695,1.77638,-9.72095,1,1.77638
0.1905,0.2,0.4,0.9,1.78858,-2.91965,1.78858,-9.71651,1,1.78858
0.192,0.2,0.4,0.9,1.80076,-2.46587,1.80076,-9.71204,1,1.80076
0.1935,0.2,0.4,0.9,1.8129,-2.00661,1.8129,-9.70753,1,1.8129
0.195,0.2,0.4,0.9,1.82503,-1.5429,1.82503,-9.70298,1,1.82503
0.1965,0.2,0.4,0.9,1.83712,-1.07576,1.83712,-9.69841,1,1.83712
0.198,0.2,0.4,0.9,1.84919,-0.606238,1.84919,-9.6938,1,1.84919
0.1995,0.2,0.4,0.9,1.86124,-0.135367,1.86124,-9.68915,1,1.86124
0.201,0.2,0.4,0.9,1.87327,0.335805,1.87327,-9.68447,1,1.87327
0.2025,0.2,0.4,0.9,1.88527,0.806231,1.88527,-9.67975,1,1.88527
0.204,0.2,0.4,0.9,1.89726,1.27487,1.89726,-9.675,1,1.89726
0.2055,0.2,0.4,0.9,1.90923,1.74067,1.90923,-9.67022,1,1.90923
0.207,0.2,0.4,0.9,1.92118,2.20261,1.92118,-9.6654,1,1.92118
0.2085,0.2,0.4,0.9,1.93311,2.65966,1.93311,-9.66055,1,1.93311
0.21,0.2,0.4,0.9,1.94502,3.11081,1.94502,-9.65566,1,1.94502
0.2115,0.2,0.4,0.9,1.95693,3.55505,1.95693,-9.65074,1,1.95693
0.213,0.2,0.4,0.9,1.96881,3.99139,1.96881,-9.64579,1,1.96881
0.2145,0.2,0.4,0.9,1.98069,4.41888,1.98069,-9.6408,1,1.98069
0.216,0.2,0.4,0.9,1.99255,4.83655,1.99255,-9.63577,1,1.99255
0.2175,0.2,0.4,0.9,2.0044,5.24348,2.0044,-9.63072,1,2.0044
0.219,0.2,0.4,0.9,2.01625,5.63878,2.01625,-9.62562,1,2.01625
0.2205,0.2,0.4,0.9,2.02808,6.02155,2.02808,-9.6205,1,2.02808
0.222,0.2,0.4,0.9,2.03991,6.39095,2.03991,-9.61534,1,2.03991
0.2235,0.2,0.4,0.9,2.05173,6.74617,2.05173,-9.61014,1,2.05173
0.225,0.2,0.4,0.9,2.06354,7.0864,2.06354,-9.60491,1,2.06354
0.2265,0.2,0.4,0.9,2.07534,7.4109,2.07534,-9.59965,1,2.07534
0.228,0.2,0.4,0.9,2.08714,7.71895,2.08714,-9.59435,1,2.08714
0.2295,0.2,0.4,0.9,2.09894,8.00986,2.09894,-9.58902,1,2.09894
0.231,0.2,0.4,0.9,2.11074,8.28299,2.11074,-9.58366,1,2.11074
0.2325,0.2,0.4,0.9,2.12253,8.53772,2.12253,-9.57826,1,2.12253
0.234,0.2,0.4,0.9,2.13431,8.7735,2.13431,-9.57282,1,2.13431
0.2355,0.2,0.4,0.9,2.1461,8.98981,2.1461,-9.56736,1,2.1461
0.237,0.2,0.4,0.9,2.15789,9.18615,2.15789,-9.56186,1,2.15789
0.2385,0.2,0.4,0.9,2.16967,9.36209,2.16967,-9.55632,1,2.16967
0.24,0.2,0.4,0.9,2.18145,9.51725,2.18145,-9.55075,1,2.18145
0.2415,0.2,0.4,0.9,2.19324,9.65128,2.19324,-9.54515,1,2.19324
0.243,0.2,0.4,0.9,2.20502,9.76388,2.20502,-9.53951,1,2.20502
0.2445,0.2,0.4,0.9,2.21681,9.8548,2.21681,-9.53384,1,2.21681
0.246,0.2,0.4,0.9,2.22859,9.92384,2.22859,-9.52813,1,2.22859
0.2475,0.2,0.4,0.9,2.24038,9.97085,2.24038,-9.5224,1,2.24038
0.249,0.2,0.4,0.9,2.25217,9.99572,2.25217,-9.51662,1,2.25217
0.2505,0.2,0.4,0.9,2.26395,9.9984,2.26395,-9.51082,1,2.26395
0.252,0.2,0.4,0.9,2.27574,9.97888,2.27574,-9.50498,1,2.27574
0.2535,0.2,0.4,0.9,2.28753,9.9372,2.28753,-9.4991,1,2.28753
0.255,0.2,0.4,0.9,2.29932,9.87346,2.29932,-9.49319,1,2.29932
0.2565,0.2,0.4,0.9,2.31112,9.7878,2.31112,-9.48725,1,2.31112
0.258,0.2,0.4,0.9,2.32291,9.68041,2.32291,-9.48128,1,2.32291
0.2595,0.2,0.4,0.9,2.3347,9.55152,2.3347,-9.47527,1,2.3347
0.261,0.2,0.4,0.9,2.3465,9.40143,2.3465,-9.46923,1,2.3465
0.2625,0.2,0.4,0.9,2.35829,9.23047,2.35829,-9.46315,1,2.35829
0.264,0.2,0.4,0.9,2.37008,9.03901,2.37008,-9.45704,1,2.37008
0.2655,0.2,0.4,0.9,2.38188,8.82748,2.38188,-9.4509,1,2.38188
0.267,0.2,0.4,0.9,2.39367,8.59635,2.39367,-9.44472,1,2.39367
0.2685,0.2,0.4,0.9,2.40545,8.34614,2.40545,-9.43851,1,2.40545
0.27,0.2,0.4,0.9,2.41724,8.07739,2.41724,-9.43226,1,2.41724
0.2715,0.2,0.4,0.9,2.42902,7.79071,2.42902,-9.42599,1,2.42902
0.273,0.2,0.4,0.9,2.4408,7.48674,2.4408,-9.41968,1,2.4408
0.2745,0.2,0.4,0.9,2.45258,7.16614,2.45258,-9.41333,1,2.45258
0.276,0.2,0.4,0.9,2.46435,6.82963,2.46435,-9.40695,1,2.46435
0.2775,0.2,0.4,0.9,2.47611,6.47796,2.47611,-9.40054,1,2.47611
0.279,0.2,0.4,0.9,2.48787,6.1119,2.48787,-9.3941,1,2.48787
0.2805,0.2,0.4,0.9,2.49962,5.73228,2.49962,-9.38762,1,2.49962
0.282,0.2,0.4,0.9,2.51136,5.33993,2.51136,-9.38111,1,2.51136
0.2835,0.2,0.4,0.9,2.52309,4.93572,2.52309,-9.37456,1,2.52309
0.285,0.2,0.4,0.9,2.53482,4.52055,2.53482,-9.36798,1,2.53482
0.2865,0.2,0.4,0.9,2.54653,4.09535,2.54653,-9.36137,1,2.54653
0.288,0.2,0.4,0.9,2.55823,3.66105,2.55823,-9.35473,1,2.55823
0.2895,0.2,0.4,0.9,2.56992,3.21863,2.56992,-9.34805,1,2.56992
0.291,0.2,0.4,0.9,2.58159,2.76906,2.58159,-9.34134,1,2.58159
0.2925,0.2,0.4,0.9,2.59325,2.31334,2.59325,-9.33459,1,2.59325
0.294,0.2,0.4,0.9,2.60489,1.85248,2.60489,-9.32782,1,2.60489
0.2955,0.2,0.4,0.9,2.61652,1.38752,2.61652,-9.321,1,2.61652
0.297,0.2,0.4,0.9,2.62813,0.919469,2.62813,-9.31416,1,2.62813
0.2985,0.2,0.4,0.9,2.63972,0.449379,2.63972,-9.30728,1,2.63972
0.3,0.2,0.4,0.9,2.65129,-0.0217084,2.65129,-9.30037,1,2.65129
0.3015,0.2,0.4,0.9,2.66283,-0.492748,2.66283,-9.29343,1,2.66283
0.303,0.2,0.4,0.9,2.67436,-0.962693,2.67436,-9.28646,1,2.67436
0.3045,0.2,0.4,0.9,2.68586,-1.4305,2.68586,-9.27945,1,2.68586
0.306,0.2,0.4,0.9,2.69734,-1.89513,2.69734,-9.2724,1,2.69734
0.3075,0.2,0.4,0.9,2.7088,-2.35556,2.7088,-9.26533,1,2.7088
0.309,0.2,0.4,0.9,2.72023,-2.81075,2.72023,-9.25822,1,2.72023
0.3105,0.2,0.4,0.9,2.73163,-3.2597,2.73163,-9.25108,1,2.73163
0.312,0.2,0.4,0.9,2.743,-3.70142,2.743,-9.24391,1,2.743
0.3135,0.2,0.4,0.9,2.75434,-4.13492,2.75434,-9.2367,1,2.75434
0.315,0.2,0.4,0.9,2.76566,-4.55924,2.76566,-9.22946,1,2.76566
0.3165,0.2,0.4,0.9,2.77694,-4.97343,2.77694,-9.22219,1,2.77694
0.318,0.2,0.4,0.9,2.78819,-5.37658,2.78819,-9.21488,1,2.78819
0.3195,0.2,0.4,0.9,2.79941,-5.7678,2.79941,-9.20755,1,2.79941
0.321,0.2,0.4,0.9,2.81059,-6.14621,2.81059,-9.20018,1,2.81059
0.3225,0.2,0.4,0.9,2.82174,-6.51097,2.82174,-9.19277,1,2.82174
0.324,0.2,0.4,0.9,2.83285,-6.86128,2.83285,-9.18534,1,2.83285
0.3255,0.2,0.4,0.9,2.84393,-7.19635,2.84393,-9.17787,1,2.84393
0.327,0.2,0.4,0.9,2.85497,-7.51545,2.85497,-9.17037,1,2.85497
0.3285,0.2,0.4,0.9,2.86598,-7.81786,2.86598,-9.16283,1,2.86598
0.33,0.2,0.4,0.9,2.87694,-8.10291,2.87694,-9.15527,1,2.87694
0.3315,0.2,0.4,0.9,2.88787,-8.36997,2.88787,-9.14767,1,2.88787
0.333,0.2,0.4,0.9,2.89876,-8.61845,2.89876,-9.14004,1,2.89876
0.3345,0.2,0.4,0.9,2.9096,-8.84779,2.9096,-9.13237,1,2.9096
0.336,0.2,0.4,0.9,2.92041,-9.05749,2.92041,-9.12468,1,2.92041
0.3375,0.2,0.4,0.9,2.93118,-9.24708,2.93118,-9.11695,1,2.93118
0.339,0.2,0.4,0.9,2.9419,-9.41614,2.9419,-9.10919,1,2.9419
0.3405,0.2,0.4,0.9,2.95258,-9.56429,2.95258,-9.1014,1,2.95258
0.342,0.2,0.4,0.9,2.96323,-9.69121,2.96323,-9.09357,1,2.96323
0.3435,0.2,0.4,0.9,2.97382,-9.79661,2.97382,-9.08571,1,2.97382
0.345,0.2,0.4,0.9,2.98438,-9.88026,2.98438,-9.07782,1,2.98438
0.3465,0.2,0.4,0.9,2.99489,-9.94197,2.99489,-9.0699,1,2.99489
0.348,0.2,0.4,0.9,3.00536,-9.98161,3.00536,-9.06194,1,3.00536
0.3495,0.2,0.4,0.9,3.01579,-9.99908,3.01579,-9.05396,1,3.01579
0.351,0.2,0.4,0.9,3.02618,-9.99436,3.02618,-9.04594,1,3.02618
0.3525,0.2,0.4,0.9,3.03652,-9.96745,3.03652,-9.03789,1,3.03652
0.354,0.2,0.4,0.9,3.04682,-9.9184,3.04682,-9.02981,1,3.04682
0.3555,0.2,0.4,0.9,3.05708,-9.84734,3.05708,-9.02169,1,3.05708
0.357,0.2,0.4,0.9,3.06729,-9.75441,3.06729,-9.01354,1,3.06729
0.3585,0.2,0.4,0.9,3.07746,-9.63982,3.07746,-9.00536,1,3.07746
0.36,0.2,0.4,0.9,3.08759,-9.50383,3.08759,-8.99715,1,3.08759
0.3615,0.2,0.4,0.9,3.09768,-9.34674,3.09768,-8.98891,1,3.09768
0.363,0.2,0.4,0.9,3.10773,-9.1689,3.10773,-8.98063,1,3.10773
0.3645,0.2,0.4,0.9,3.11774,-8.9707,3.11774,-8.97233,1,3.11774
0.366,0.2,0.4,0.9,3.1277,-8.75259,3.1277,-8.96399,1,3.1277
0.3675,0.2,0.4,0.9,3.13763,-8.51504,3.13763,-8.95562,1,3.13763
0.369,0.2,0.4,0.9,3.14751,-8.25858,3.14751,-8.94721,1,3.14751
0.3705,0.2,0.4,0.9,3.15736,-7.98379,3.15736,-8.93878,1,3.15736
0.372,0.2,0.4,0.9,3.16717,-7.69128,3.16717,-8.93031,1,3.16717
0.3735,0.2,0.4,0.9,3.17695,-7.38168,3.17695,-8.92181,1,3.17695
0.375,0.2,0.4,0.9,3.18668,-7.0557,3.18668,-8.91328,1,3.18668
0.3765,0.2,0.4,0.9,3.19638,-6.71405,3.19638,-8.90472,1,3.19638
0.378,0.2,0.4,0.9,3.20605,-6.3575,3.20605,-8.89613,1,3.20605
0.3795,0.2,0.4,0.9,3.21568,-5.98683,3.21568,-8.8875,1,3.21568
0.381,0.2,0.4,0.9,3.22528,-5.60287,3.22528,-8.87885,1,3.22528
0.3825,0.2,0.4,0.9,3.23484,-5.20646,3.23484,-8.87016,1,3.23484
0.384,0.2,0.4,0.9,3.24437,-4.7985,3.24437,-8.86144,1,3.24437
0.3855,0.2,0.4,0.9,3.25388,-4.37989,3.25388,-8.85269,1,3.25388
0.387,0.2,0.4,0.9,3.26335,-3.95155,3.26335,-8.84391,1,3.26335
0.3885,0.2,0.4,0.9,3.27279,-3.51443,3.27279,-8.83509,1,3.27279
0.39,0.2,0.4,0.9,3.28221,-3.06952,3.28221,-8.82625,1,3.28221
0.3915,0.2,0.4,0.9,3.2916,-2.61779,3.2916,-8.81737,1,3.2916
0.393,0.2,0.4,0.9,3.30096,-2.16024,3.30096,-8.80847,1,3.30096
0.3945,0.2,0.4,0.9,3.3103,-1.6979,3.3103,-8.79953,1,3.3103
0.396,0.2,0.4,0.9,3.31961,-1.23179,3.31961,-8.79056,1,3.31961
0.3975,0.2,0.4,0.9,3.32891,-0.762948,3.32891,-8.78155,1,3.32891
0.399,0.2,0.4,0.9,3.33818,-0.292409,3.33818,-8.77252,1,3.33818
0.4005,0.2,0.4,0.9,3.34743,0.178779,3.34743,-8.76346,1,3.34743
0.402,0.2,0.4,0.9,3.35666,0.649569,3.35666,-8.75436,1,3.35666
0.4035,0.2,0.4,0.9,3.36587,1.11892,3.36587,-8.74524,1,3.36587
0.405,0.2,0.4,0.9,3.37507,1.58578,3.37507,-8.73608,1,3.37507
0.4065,0.2,0.4,0.9,3.38425,2.04913,3.38425,-8.72689,1,3.38425
0.408,0.2,0.4,0.9,3.39341,2.50792,3.39341,-8.71767,1,3.39341
0.4095,0.2,0.4,0.9,3.40257,2.96115,3.40257,-8.70842,1,3.40257
0.411,0.2,0.4,0.9,3.4117,3.4078,3.4117,-8.69914,1,3.4117
0.4125,0.2,0.4,0.9,3.42083,3.84688,3.42083,-8.68983,1,3.42083
0.414,0.2,0.4,0.9,3.42994,4.27743,3.42994,-8.68048,1,3.42994
0.4155,0.2,0.4,0.9,3.43905,4.69847,3.43905,-8.67111,1,3.43905
0.417,0.2,0.4,0.9,3.44815,5.10909,3.44815,-8.66171,1,3.44815
0.4185,0.2,0.4,0.9,3.45723,5.50836,3.45723,-8.65227,1,3.45723
0.42,0.2,0.4,0.9,3.46632,5.8954,3.46632,-8.64281,1,3.46632
0.4215,0.2,0.4,0.9,3.47539,6.26935,3.47539,-8.63331,1,3.47539
0.423,0.2,0.4,0.9,3.48446,6.62939,3.48446,-8.62378,1,3.48446
0.4245,0.2,0.4,0.9,3.49353,6.9747,3.49353,-8.61422,1,3.49353
0.426,0.2,0.4,0.9,3.50259,7.30453,3.50259,-8.60463,1,3.50259
0.4275,0.2,0.4,0.9,3.51165,7.61814,3.51165,-8.59501,1,3.51165
0.429,0.2,0.4,0.9,3.5207,7.91484,3.5207,-8.58536,1,3.5207
0.4305,0.2,0.4,0.9,3.52976,8.19396,3.52976,-8.57568,1,3.52976
0.432,0.2,0.4,0.9,3.53881,8.45489,3.53881,-8.56597,1,3.53881
0.4335,0.2,0.4,0.9,3.54787,8.69705,3.54787,-8.55623,1,3.54787
0.435,0.2,0.4,0.9,3.55692,8.9199,3.55692,-8.54646,1,3.55692
0.4365,0.2,0.4,0.9,3.56598,9.12294,3.56598,-8.53666,1,3.56598
0.438,0.2,0.4,0.9,3.57503,9.30573,3.57503,-8.52683,1,3.57503
0.4395,0.2,0.4,0.9,3.58409,9.46786,3.58409,-8.51696,1,3.58409
0.441,0.2,0.4,0.9,3.59315,9.60897,3.59315,-8.50707,1,3.59315
0.4425,0.2,0.4,0.9,3.60221,9.72874,3.60221,-8.49715,1,3.60221
0.444,0.2,0.4,0.9,3.61128,9.82692,3.61128,-8.48719,1,3.61128
0.4455,0.2,0.4,0.9,3.62035,9.90327,3.62035,-8.47721,1,3.62035
0.447,0.2,0.4,0.9,3.62942,9.95764,3.62942,-8.4672,1,3.62942
0.4485,0.2,0.4,0.9,3.63849,9.9899,3.63849,-8.45715,1,3.63849
0.45,0.2,0.4,0.9,3.64757,9.99998,3.64757,-8.44708,1,3.64757
0.4515,0.2,0.4,0.9,3.65665,9.98785,3.65665,-8.43697,1,3.65665
0.453,0.2,0.4,0.9,3.66574,9.95355,3.66574,-8.42684,1,3.66574
0.4545,0.2,0.4,0.9,3.67483,9.89715,3.67483,-8.41668,1,3.67483
0.456,0.2,0.4,0.9,3.68392,9.81878,3.68392,-8.40648,1,3.68392
0.4575,0.2,0.4,0.9,3.69302,9.71861,3.69302,-8.39626,1,3.69302
0.459,0.2,0.4,0.9,3.70211,9.59686,3.70211,-8.38601,1,3.70211
0.4605,0.2,0.4,0.9,3.71121,9.4538,3.71121,-8.37572,1,3.71121
