"time","'U@resistance'","'I@variable_0resistance'"
0,0,0
1e-007,0,0
1e-007,0.00013111,-3.49322e-009
2e-007,0.00013111,-3.49322e-009
2e-007,0.00103846,-1.39402e-008
3e-007,0.00103846,-1.39402e-008
3e-007,0.00347241,-3.12434e-008
4e-007,0.00347241,-3.12434e-008
4e-007,0.008145,-5.52417e-008
5e-007,0.008145,-5.52417e-008
5e-007,0.015721,-8.57124e-008
6e-007,0.015721,-8.57124e-008
6e-007,0.0268095,-1.22374e-007
7e-007,0.0268095,-1.22374e-007
7e-007,0.0419558,-1.6489e-007
8e-007,0.0419558,-1.6489e-007
8e-007,0.0616345,-2.12871e-007
9e-007,0.0616345,-2.12871e-007
9e-007,0.0862438,-2.65882e-007
1e-006,0.0862438,-2.65882e-007
1e-006,0.1161,-3.23442e-007
1.1e-006,0.1161,-3.23442e-007
1.1e-006,0.151433,-3.85036e-007
1.2e-006,0.151433,-3.85036e-007
1.2e-006,0.192385,-4.50114e-007
1.3e-006,0.192385,-4.50114e-007
1.3e-006,0.239007,-5.18102e-007
1.4e-006,0.239007,-5.18102e-007
1.4e-006,0.291258,-5.88403e-007
1.5e-006,0.291258,-5.88403e-007
1.5e-006,0.349005,-6.60408e-007
1.6e-006,0.349005,-6.60408e-007
1.6e-006,0.412028,-7.33499e-007
1.7e-006,0.412028,-7.33499e-007
1.7e-006,0.480017,-8.07055e-007
1.8e-006,0.480017,-8.07055e-007
1.8e-006,0.552578,-8.80461e-007
1.9e-006,0.552578,-8.80461e-007
1.9e-006,0.629238,-9.53112e-007
2e-006,0.629238,-9.53112e-007
2e-006,0.709451,-1.02442e-006
2.1e-006,0.709451,-1.02442e-006
2.1e-006,0.792601,-1.09381e-006
2.2e-006,0.792601,-1.09381e-006
2.2e-006,0.878012,-1.16075e-006
2.3e-006,0.878012,-1.16075e-006
2.3e-006,0.964953,-1.22473e-006
2.4e-006,0.964953,-1.22473e-006
2.4e-006,1.05265,-1.28528e-006
2.5e-006,1.05265,-1.28528e-006
2.5e-006,1.14029,-1.34196e-006
2.6e-006,1.14029,-1.34196e-006
