"time","step-size"
0.0,0.0
0.1,0.1
0.2,0.1
0.30000000000000004,0.1
0.4,0.1
0.5,0.1
0.6,0.1
0.7,0.1
0.7999999999999999,0.1
0.8999999999999999,0.1
0.9999999999999999,0.1
1.0999999999999999,0.1
1.2,0.1
1.3,0.1
1.4000000000000001,0.1
1.5000000000000002,0.1
1.6000000000000003,0.1
1.7000000000000004,0.1
1.8000000000000005,0.1
1.9000000000000006,0.1
2.0000000000000004,0.1
2.1000000000000005,0.1
2.2000000000000006,0.1
2.3000000000000007,0.1
2.400000000000001,0.1
2.500000000000001,0.1
2.600000000000001,0.1
2.700000000000001,0.1
2.800000000000001,0.1
2.9000000000000012,0.1
3.0000000000000013,0.1
3.1000000000000014,0.1
3.2000000000000015,0.1
3.3000000000000016,0.1
3.4000000000000017,0.1
3.5000000000000018,0.1
3.600000000000002,0.1
3.700000000000002,0.1
3.800000000000002,0.1
3.900000000000002,0.1
4.000000000000002,0.1
4.100000000000001,0.1
4.200000000000001,0.1
4.300000000000001,0.1
4.4,0.1
4.5,0.1
4.6,0.1
4.699999999999999,0.1
4.799999999999999,0.1
4.899999999999999,0.1
4.999999999999998,0.1
