"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6[1]","Out6[2]","Out6[3]","Out6[4]"
0,0,0,0,0,12,12,1,0.1,0,0
0.01,0,0.0115532,0,0,12,12,1,0.1,0,0
0.02,0,0.0215518,0,0,12,12,1,0.1,0,0
0.03,0,0.0315483,0,0,12,12,1,0.1,0,0
0.04,0,0.0415415,0,0,12,12,1,0.1,0,0
0.05,0,0.0515307,0,0,12,12,1,0.1,0,0
0.06,0,0.0615146,0,0,12,12,1,0.1,0,0
0.07,0,0.0714925,0,0,12,12,1,0.1,0,0
0.08,0,0.0814631,0,0,12,12,1,0.1,0,0
0.09,0,0.0914256,1,0,12,12,1,0.1,0,0
0.1,0,0.0998334,1,0,12,12,1,0.1,0,0
0.11,0,0.111322,1,0,12,12,1,0.1,0,0
0.12,0,0.121254,1,0,12,12,1,0.1,0,0
0.13,0,0.131174,1,0,12,12,1,0.1,0,0
0.14,0,0.141081,1,0,12,12,1,0.1,0,0
0.15,0,0.150974,1,0,12,12,1,0.1,0,0
0.16,0,0.160852,1,0,12,12,1,0.1,0,0
0.17,0,0.170713,2,0,12,12,1,0.1,0,0
0.18,0,0.180558,2,0,12,12,1,0.1,0,0
0.19,0,0.190384,2,0,12,12,1,0.1,0,0
0.2,0,0.198669,2,0,12,12,1,0.1,0,0
0.21,0,0.209979,2,0,12,12,1,0.1,0,0
0.22,0,0.21823,2,0,12,12,1,0.1,0,0
0.23,0,0.22949,2,0,12,12,1,0.1,0,0
0.24,0,0.239211,2,0,12,12,1,0.1,0,0
0.25,0,0.248909,2,0,12,12,1,0.1,0,0
0.26,0,0.258582,3,0,12,12,1,0.1,0,0
0.27,0,0.268228,3,0,12,12,1,0.1,0,0
0.28,0,0.277848,3,0,12,12,1,0.1,0,0
0.29,0,0.287441,3,0,12,12,1,0.1,0,0
0.3,0,0.29552,3,0,12,12,1,0.1,0,0
0.31,0,0.306538,3,0,12,12,1,0.1,0,0
0.32,0,0.316041,3,0,12,12,1,0.1,0,0
0.33,0,0.325512,3,0,12,12,1,0.1,0,0
0.34,0,0.334951,4,0,12,12,1,0.1,0,0
0.35,0,0.344357,4,0,12,12,1,0.1,0,0
0.36,0,0.353728,4,0,12,12,1,0.1,0,0
0.37,0,0.363063,4,0,12,12,1,0.1,0,0
0.38,0,0.372363,4,0,12,12,1,0.1,0,0
0.39,0,0.381625,4,0,12,12,1,0.1,0,0
0.4,0,0.389418,4,0,12,12,1,0.1,0,0
0.41,0,0.400034,4,0,12,12,1,0.1,0,0
0.42,0,0.409178,4,0,12,12,1,0.1,0,0
