"Time","J1.w","J2.w","J3.w","J4.w"
0.000000000000000E+00,1.000000000000000E+01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
1.000000000000000E-02,9.915623629869900E+00,9.999750553050100E-02,0.000000000000000E+00,0.000000000000000E+00
2.000000000000000E-02,9.860719999372300E+00,1.999799301602600E-01,0.000000000000000E+00,0.000000000000000E+00
3.000000000000000E-02,9.831168542066001E+00,2.999324405960200E-01,0.000000000000000E+00,0.000000000000000E+00
4.000000000000000E-02,9.819949307132600E+00,3.998385554498100E-01,0.000000000000000E+00,0.000000000000000E+00
5.000000000000000E-02,9.818423448318400E+00,4.996825221585800E-01,0.000000000000000E+00,0.000000000000000E+00
6.000000000000000E-02,9.817011013435700E+00,5.994485841220700E-01,0.000000000000000E+00,0.000000000000000E+00
7.000000000000001E-02,9.806089362575699E+00,6.991209869926700E-01,0.000000000000000E+00,0.000000000000000E+00
8.000000000000000E-02,9.776927557608500E+00,7.986839905806600E-01,0.000000000000000E+00,0.000000000000000E+00
9.000000000000000E-02,9.722693715423500E+00,8.981218731062500E-01,0.000000000000000E+00,0.000000000000000E+00
1.000000000000000E-01,9.638982444213800E+00,9.974189333173000E-01,0.000000000000000E+00,0.000000000000000E+00
1.100000000000000E-01,9.524318923170700E+00,1.096559495232000E+00,0.000000000000000E+00,0.000000000000000E+00
1.200000000000000E-01,9.380120589062900E+00,1.195527890915700E+00,0.000000000000000E+00,0.000000000000000E+00
1.300000000000000E-01,9.210918024208400E+00,1.294308501055900E+00,0.000000000000000E+00,0.000000000000000E+00
1.400000000000000E-01,9.023660059533899E+00,1.392885728851700E+00,0.000000000000000E+00,0.000000000000000E+00
1.500000000000000E-01,8.826980786950401E+00,1.491244002956100E+00,0.000000000000000E+00,0.000000000000000E+00
1.600000000000000E-01,8.630512050422499E+00,1.589367792661900E+00,0.000000000000000E+00,0.000000000000000E+00
1.700000000000000E-01,8.443858150091600E+00,1.687241603287200E+00,0.000000000000000E+00,0.000000000000000E+00
