    "time",    "TAmb",    "TDif","heatCapacitor.T",    "TRes"
         0,    293.15,         2,    293.15,    293.15
      0.01,    293.15,         2, 293.24992, 293.24992
      0.02,    293.15,         2,  293.3497,  293.3497
      0.03,    293.15,         2, 293.44935, 293.44935
      0.04,    293.15,         2, 293.54887, 293.54887
      0.05,    293.15,         2, 293.64824, 293.64824
      0.06,    293.15,         2, 293.74748, 293.74748
      0.07,    293.15,         2, 293.84658, 293.84658
      0.08,    293.15,         2, 293.94554, 293.94554
      0.09,    293.15,         2, 294.04437, 294.04437
       0.1,    293.15,         2, 294.14305, 294.14305
      0.11,    293.15,         2,  294.2416,  294.2416
      0.12,    293.15,         2, 294.34002, 294.34002
      0.13,    293.15,         2, 294.43829, 294.43829
      0.14,    293.15,         2, 294.53644, 294.53644
      0.15,    293.15,         2, 294.63444, 294.63444
      0.16,    293.15,         2, 294.73231, 294.73231
      0.17,    293.15,         2, 294.83004, 294.83004
      0.18,    293.15,         2, 294.92764, 294.92764
      0.19,    293.15,         2,  295.0251,  295.0251
       0.2,    293.15,         2, 295.12243, 295.12243
      0.21,    293.15,         2, 295.21962, 295.21962
      0.22,    293.15,         2, 295.31668, 295.31668
      0.23,    293.15,         2,  295.4136,  295.4136
      0.24,    293.15,         2, 295.51039, 295.51039
      0.25,    293.15,         2, 295.60705, 295.60705
      0.26,    293.15,         2, 295.70357, 295.70357
      0.27,    293.15,         2, 295.79996, 295.79996
      0.28,    293.15,         2, 295.89621, 295.89621
      0.29,    293.15,         2, 295.99233, 295.99233
       0.3,    293.15,         2, 296.08832, 296.08832
      0.31,    293.15,         2, 296.18418, 296.18418
      0.32,    293.15,         2,  296.2799,  296.2799
      0.33,    293.15,         2, 296.37549, 296.37549
      0.34,    293.15,         2, 296.47095, 296.47095
      0.35,    293.15,         2, 296.56628, 296.56628
      0.36,    293.15,         2, 296.66147, 296.66147
      0.37,    293.15,         2, 296.75654, 296.75654
      0.38,    293.15,         2, 296.85147, 296.85147
      0.39,    293.15,         2, 296.94627, 296.94627
       0.4,    293.15,         2, 297.04095, 297.04095
      0.41,    293.15,         2, 297.13549, 297.13549
      0.42,    293.15,         2, 297.22986, 297.22986
      0.43,    293.15,         2, 297.32413, 297.32413
      0.44,    293.15,         2, 297.41828, 297.41828
      0.45,    293.15,         2,  297.5123,  297.5123
      0.46,    293.15,         2, 297.60619, 297.60619
      0.47,    293.15,         2, 297.69996, 297.69996
      0.48,    293.15,         2, 297.79359, 297.79359
      0.49,    293.15,         2, 297.88709, 297.88709
       0.5,    293.15,         2, 297.98047, 297.98047
      0.51,    293.15,         2, 298.07371, 298.07371
      0.52,    293.15,         2, 298.16683, 298.16683
      0.53,    293.15,         2, 298.25982, 298.25982
      0.54,    293.15,         2, 298.35268, 298.35268
      0.55,    293.15,         2, 298.44542, 298.44542
      0.56,    293.15,         2, 298.53802, 298.53802
      0.57,    293.15,         2,  298.6305,  298.6305
      0.58,    293.15,         2, 298.72285, 298.72285
      0.59,    293.15,         2, 298.81508, 298.81508
       0.6,    293.15,         2, 298.90718, 298.90718
      0.61,    293.15,         2, 298.99915, 298.99915
      0.62,    293.15,         2, 299.09099, 299.09099
      0.63,    293.15,         2, 299.14786, 299.14786
      0.64,    293.15,         2, 299.14187, 299.14187
      0.65,    293.15,         2, 299.13588, 299.13588
      0.66,    293.15,         2, 299.12989, 299.12989
      0.67,    293.15,         2, 299.12392, 299.12392
      0.68,    293.15,         2, 299.11795, 299.11795
      0.69,    293.15,         2, 299.11198, 299.11198
       0.7,    293.15,         2, 299.10602, 299.10602
      0.71,    293.15,         2, 299.10007, 299.10007
      0.72,    293.15,         2, 299.09412, 299.09412
      0.73,    293.15,         2, 299.08818, 299.08818
      0.74,    293.15,         2, 299.08225, 299.08225
      0.75,    293.15,         2, 299.07632, 299.07632
      0.76,    293.15,         2, 299.07039, 299.07039
      0.77,    293.15,         2, 299.06448, 299.06448
      0.78,    293.15,         2, 299.05856, 299.05856
      0.79,    293.15,         2, 299.05266, 299.05266
       0.8,    293.15,         2, 299.04676, 299.04676
      0.81,    293.15,         2, 299.04087, 299.04087
      0.82,    293.15,         2, 299.03498, 299.03498
      0.83,    293.15,         2,  299.0291,  299.0291
      0.84,    293.15,         2, 299.02322, 299.02322
      0.85,    293.15,         2, 299.01735, 299.01735
