"time","U@resistance","I@variable_resistance"
0,0,-0
1.964636542e-007,0.0009846967282,-1.345305953e-008
3.929273084e-007,0.007726620497,-5.332867384e-008
5.893909627e-007,0.02544969891,-1.182007871e-007
7.858546169e-007,0.05855985062,-2.05768222e-007
9.823182711e-007,0.110427651,-3.129554973e-007
1.178781925e-006,0.183222437,-4.360425805e-007
1.37524558e-006,0.2778045969,-5.70817717e-007
1.571709234e-006,0.3936795985,-7.127467572e-007
1.768172888e-006,0.5290146503,-8.571517334e-007
1.964636542e-006,0.6807161885,-9.993913397e-007
2.161100196e-006,0.8445638348,-1.135035993e-006
2.357563851e-006,1.015394175,-1.260030498e-006
2.554027505e-006,1.187326012,-1.370838185e-006
2.750491159e-006,1.354016055,-1.464560726e-006
2.946954813e-006,1.50893473,-1.539029885e-006
3.143418468e-006,1.645649645,-1.592867764e-006
3.339882122e-006,1.758104174,-1.625513944e-006
3.536345776e-006,1.840880207,-1.637219314e-006
3.73280943e-006,1.889433754,-1.629007594e-006
3.929273084e-006,1.900293961,-1.602606931e-006
4.125736739e-006,1.87121767,-1.560355107e-006
4.322200393e-006,1.801293592,-1.505082917e-006
4.518664047e-006,1.6909924,-1.439981064e-006
4.715127701e-006,1.542161219,-1.368456297e-006
4.911591356e-006,1.357963554,-1.293983378e-006
5.10805501e-006,0.994619013,0.02207988733
5.304518664e-006,0.5059556114,0.0004577430952
5.500982318e-006,0.03003196989,-0.02091930433
5.697445972e-006,-0.4256943817,-0.04190892201
5.893909627e-006,-0.8544334656,-0.06238152396
6.090373281e-006,-1.250147282,-0.08222188433
6.286836935e-006,-1.607613744,-0.1013303548
6.483300589e-006,-1.922481435,-0.1196239106
6.679764244e-006,-2.191304237,-0.1370368113
6.876227898e-006,-2.411560582,-0.1535209657
7.072691552e-006,-2.58165533,-0.1690459686
7.269155206e-006,-2.700906541,-0.1835988447
7.465618861e-006,-2.769516903,-0.1971835101
7.662082515e-006,-2.78853219,-0.2098199656
7.858546169e-006,-2.759787281,-0.221543278
8.055009823e-006,-2.685840643,-0.2324023217
8.251473477e-006,-2.569899725,-0.2424583584
8.447937132e-006,-2.415739374,-0.2517834763
8.644400786e-006,-2.227613375,-0.2604588986
8.84086444e-006,-2.010161708,-0.2685732237
9.037328094e-006,-1.768316618,-0.2762206182
9.233791749e-006,-1.507205974,-0.2834989811
9.430255403e-006,-1.232058491,-0.2905081321
9.626719057e-006,-0.9481129024,-0.2973480765
9.823182711e-006,-0.6605292341,-0.3041173136
1.001964637e-005,-0.3735461371,-7.127886183e-008
1.021611002e-005,-0.003999083658,-7.55910383e-007
1.041257367e-005,0.4970963171,-1.42886216e-006
1.060903733e-005,1.110507075,-2.066894898e-006
1.080550098e-005,1.811098538,-2.648640535e-006
1.100196464e-005,2.56900773,-3.155400432e-006
1.119842829e-005,3.351005977,-3.571818899e-006
1.139489194e-005,4.121987378,-3.886406126e-006
1.15913556e-005,4.846521749,-4.091894022e-006
1.178781925e-005,5.490401084,-4.185412821e-006
1.198428291e-005,6.022118584,-4.168486072e-006
1.218074656e-005,6.414216263,-4.046847963e-006
1.237721022e-005,6.644448449,-3.830094643e-006
1.257367387e-005,6.696714964,-3.53118758e-006
1.277013752e-005,6.561728726,-3.165832778e-006
1.296660118e-005,6.237394287,-2.751764128e-006
1.316306483e-005,5.728886005,-2.307962558e-006
1.335952849e-005,5.048427502,-1.85384487e-006
1.355599214e-005,4.214785663,-1.408455423e-006
1.37524558e-005,3.252505401,-9.896954466e-007
1.394891945e-005,2.190920093,-6.136191455e-007
1.41453831e-005,1.062980899,-2.938257204e-007
1.434184676e-005,-0.0960413642,-4.096799854e-008
1.453831041e-005,-1.249930934,1.376023053e-007
1.473477407e-005,-2.362917274,2.380430059e-007
1.493123772e-005,-3.401028094,2.600778577e-007
1.512770138e-005,-4.300790937,-0.03791241375
1.532416503e-005,-5.069703909,-0.0648843431
1.552062868e-005,-5.719905673,-0.08958821808
1.571709234e-005,-6.245615131,-0.1119137932
1.591355599e-005,-6.643398902,-0.1317956409
1.611001965e-005,-6.912122086,-0.1492122074
1.63064833e-005,-7.05287086,-0.1641843358
1.650294695e-005,-7.068838527,-0.1767730861
1.669941061e-005,-6.965176079,-0.187076884
1.689587426e-005,-6.748825111,-0.1952283281
1.709233792e-005,-6.42832074,-0.2013904283
1.728880157e-005,-6.013579264,-0.205752549
1.748526523e-005,-5.515671368,-0.2085260827
1.768172888e-005,-4.946585817,-0.2099399316
1.787819253e-005,-4.318988309,-0.2102359146
1.807465619e-005,-3.645977807,-0.2096641058
1.827111984e-005,-2.940846758,-0.2084782624
1.84675835e-005,-2.216853667,-0.2069314821
1.866404715e-005,-1.486997147,-0.2052718905
1.886051081e-005,-0.7638074124,-0.2037386636
1.905697446e-005,-0.05915956149,-0.202558459
1.925343811e-005,0.6158976013,-0.2019421547
1.944990177e-005,1.251292102,-0.2020819735
1.964636542e-005,1.83806074,-0.2031489659
1.984282908e-005,2.368445743,-0.2052911665
2.003929273e-005,2.837995145,-9.348817626e-008
2.023575639e-005,3.307232454,-5.516092346e-007
2.043222004e-005,3.799106992,-1.001678458e-006
2.062868369e-005,4.301201794,-1.430881213e-006
2.082514735e-005,4.798805685,-1.827533795e-006
2.1021611e-005,5.2755497,-2.181480803e-006
2.121807466e-005,5.714123169,-2.484423351e-006
2.141453831e-005,6.097036032,-2.730165851e-006
2.161100196e-005,6.407395871,-2.914774265e-006
2.180746562e-005,6.629665478,-3.036641047e-006
2.200392927e-005,6.75036745,-3.096456751e-006
2.220039293e-005,6.758708413,-3.097092003e-006
2.239685658e-005,6.647096042,-3.043396809e-006
2.259332024e-005,6.411528207,-2.94192754e-006
2.278978389e-005,6.051838899,-2.800614665e-006
2.298624754e-005,5.57179191,-2.628386433e-006
2.31827112e-005,4.979019344,-2.434764782e-006
2.337917485e-005,4.284808807,-2.229451302e-006
2.357563851e-005,3.503749198,-2.021920212e-006
2.377210216e-005,2.653250301,-1.82103483e-006
2.396856582e-005,1.752956356,-1.63470281e-006
2.416502947e-005,0.8240789823,-1.469583744e-006
2.436149312e-005,-0.1113249964,-1.330859106e-006
