"Time","J1_w0","J2_w0","J3_w0","J4_w0"
0,10,0,0,0
1.00E-05,9.999900031,1.00E-04,-1.20E-15,-1.20E-15
6.00E-05,9.999400974,0.0006,-1.27E-15,5.95E-15
0.00031,9.996915504,0.003099999,1.05E-16,2.54E-14
0.00131,9.987169917,0.013099997,6.90E-15,3.22E-14
0.00231,9.977738181,0.023099984,7.05E-15,3.23E-14
0.002999999,9.971413033,0.029999955,6.53E-15,3.18E-14
0.003009999,9.97132246,0.030099954,5.61E-15,3.09E-14
0.003059999,9.970870455,0.030599952,5.29E-15,3.05E-14
0.003309999,9.968620198,0.033099939,4.68E-15,2.99E-14
0.004309999,9.959814223,0.043099857,5.43E-15,3.07E-14
0.005309999,9.951319538,0.053099718,5.88E-15,3.11E-14
0.005999999,9.945639,0.05999958,6.06E-15,3.13E-14
0.006009999,9.945557756,0.060099578,6.23E-15,3.15E-14
0.006059999,9.945152384,0.060599566,5.25E-15,3.05E-14
0.006309999,9.943135159,0.063099505,2.55E-15,2.78E-14
0.007309999,9.935258341,0.073099202,1.97E-15,2.72E-14
0.008309999,9.927687489,0.083098794,1.51E-15,2.68E-14
0.008999999,9.922640846,0.089998438,1.64E-15,2.69E-14
0.009009999,9.922568765,0.090098432,2.80E-15,2.81E-14
0.009059999,9.922209194,0.090598404,2.54E-15,2.78E-14
0.009309999,9.920420751,0.09309826,1.10E-15,2.64E-14
0.010309999,9.91345439,0.103097593,-2.33E-15,2.29E-14
0.011309999,9.906785956,0.113096774,-2.78E-15,2.25E-14
0.011999999,9.902356848,0.119996116,-1.08E-15,2.42E-14
0.012009999,9.902293685,0.120096106,9.44E-16,2.62E-14
0.012059999,9.901978675,0.120596054,-7.91E-16,2.45E-14
0.012309999,9.900412736,0.123095791,-3.98E-15,2.13E-14
0.013309999,9.894330053,0.133094618,1.50E-15,2.68E-14
0.014309999,9.888534615,0.143093246,1.72E-15,2.70E-14
0.014999999,9.884701226,0.149992169,-1.94E-16,2.51E-14
0.015009999,9.884646656,0.150092153,7.22E-16,2.60E-14
0.015059999,9.884374572,0.150592071,5.55E-17,2.53E-14
0.015309999,9.883022885,0.153091653,-2.64E-15,2.26E-14
0.016309999,9.877789261,0.163089833,-5.47E-15,1.98E-14
0.017309999,9.872829653,0.173087765,-3.52E-15,2.17E-14
0.017999999,9.869564866,0.179986181,-3.77E-15,2.15E-14
0.018009999,9.869518486,0.180086157,-4.33E-15,2.09E-14
0.018059999,9.869287314,0.180586037,-5.80E-15,1.95E-14
0.018309999,9.868139724,0.183085429,-9.21E-15,1.60E-14
0.019309999,9.863713012,0.193082819,-8.16E-15,1.71E-14
0.020309999,9.859544656,0.203079914,-7.44E-15,1.78E-14
0.020999999,9.856816312,0.209977734,-7.30E-15,1.80E-14
0.021009999,9.856777648,0.210077701,-7.02E-15,1.82E-14
0.021059999,9.85658501,0.210577537,-6.44E-15,1.88E-14
0.021309999,9.855629555,0.213076703,-5.25E-15,2.00E-14
0.022309999,9.851960451,0.223073161,-7.69E-15,1.72E-14
0.023309999,9.848531752,0.233069276,-8.69E-15,1.56E-14
0.024,9.846302946,0.239966393,-9.83E-15,1.42E-14
0.02401,9.846271455,0.24006635,-7.58E-15,1.64E-14
0.02406,9.846114632,0.240566133,-6.77E-15,1.72E-14
0.02431,9.845337644,0.243065038,-4.97E-15,1.90E-14
0.02531,9.842370128,0.253060422,-5.55E-15,1.81E-14
0.02631,9.839622936,0.263055416,-5.27E-15,1.77E-14
0.027,9.837852329,0.269951731,-5.72E-15,1.70E-14
0.02701,9.837827406,0.270051676,-5.55E-15,1.71E-14
0.02706,9.837703359,0.270551401,-5.38E-15,1.73E-14
0.02731,9.837089591,0.273050009,-5.55E-15,1.71E-14
0.02831,9.834761425,0.283044176,-7.49E-15,1.49E-14
0.02931,9.83263155,0.293037907,-7.49E-15,1.42E-14
0.029999999,9.831273748,0.299933304,-6.55E-15,1.49E-14
0.030009999,9.831254727,0.300033236,-7.38E-15,1.40E-14
0.030059999,9.831160131,0.300532894,-6.38E-15,1.50E-14
0.030309999,9.830692887,0.303031171,-5.22E-15,1.62E-14
0.031309999,9.82893617,0.31302398,-1.13E-14,9.74E-15
0.032309999,9.827353952,0.323016305,-1.20E-14,8.40E-15
0.032999999,9.826359894,0.329910723,-1.09E-14,9.24E-15
0.033009999,9.826346059,0.330010641,-1.23E-14,7.80E-15
0.033059999,9.826277324,0.330510226,-1.24E-14,7.74E-15
0.033309999,9.825938614,0.333008134,-1.25E-14,7.63E-15
0.034309999,9.824680382,0.342999443,-1.39E-14,5.85E-15
0.035309999,9.823571317,0.35299022,-1.59E-14,3.28E-15
0.035999998,9.822888733,0.359883525,-1.59E-14,2.96E-15
0.036009998,9.822879321,0.359983426,-1.43E-14,4.52E-15
0.036059998,9.822832631,0.360482931,-1.23E-14,6.51E-15
