"time","Out1_1_","Out1_2_","Out2","Out3","Out4","Out5","Out6","Out7","Out8","Out9"
0,0,0,0,0,0,0,-12,0,0,0
1e-016,1,3,0,1.7e-016,0,0,-12,4e-016,1.25664e-015,1.25664e-015
1e-016,1,3,0,1.7e-016,0,0,-12,4e-016,1.25664e-015,1.25664e-015
0.00795858,1.01592,3.01592,0,0.0135294,0,0,-12,0.031834,0.1,0.1
0.00795858,1.01592,3.01592,0,0.0135294,0,0,-12,0.031834,0.1,0.1
0.1,1.19967,3.19967,0,0.169717,0,0.5,-12,0.399334,0.1,1.23607
0.102117,1.20388,3.20388,0,0.173297,0,0.5,12,0.5,0.1,1.26134
0.102117,1.20388,3.20388,0,0.173297,0,0.5,12,0.407758,0.1,1.26134
0.125328,1.25,3.25,0,0.2125,0,0.5,12,0.5,0.1,1.53454
0.125328,1.25,3.25,0,0.2125,0,0.5,12,0.5,0.1,1.53454
0.2,1.39734,3.39734,0,0.337738,0,1,12,0.5,0.1,2.35114
0.25268,1.5,3.5,2.54243e-011,0.425,0,1,12,0.5,0.1,2.85214
0.25268,1.5,3.5,2.54243e-011,0.425,0,1,12,0.5,0.1,2.85214
0.3,1.59104,3.59104,0.0910404,0.502384,0,1,12,0.5,0.1,0
0.4,1.77884,3.77884,0.278837,0.662011,0,1.5,12,0.5,0.1,0
0.5,1.95885,3.95885,0.458851,0.815023,0,2,12,0.5,0.1,0
0.6,2.12928,4.12928,0.629285,0.959892,0,2.5,12,0.5,0.1,0
0.7,2.28844,4.28844,0.788435,1.09517,0,2.5,12,0.5,0.1,0
0.8,2.43471,4.43471,0.934712,1.21951,0,3,12,0.5,0.1,2.35114
0.9,2.56665,4.56665,1.06665,1.33166,0,3,12,0.5,0.1,1.23607
0.992041,2.67429,4.67429,1.17429,1.42315,1,3.5,12,0.5,0.1,0.1
0.992041,2.67429,4.67429,1.17429,1.42315,0,3.5,12,0.5,0.1,0.1
1,2.68294,4.68294,1.18294,1.4305,0,3.5,12,0.5,4.89859e-016,4.89859e-016
1,2.68294,4.68294,1.18294,1.4305,1,3.5,12,0.5,-1.48321e-011,-1.48321e-011
1,2.68294,4.68294,1.18294,1.4305,1,3.5,12,0.5,-1.48321e-011,-1.48321e-011
1.00796,2.69149,4.69149,1.19149,1.43777,1,3.5,12,0.5,-0.1,-0.1
1.00796,2.69149,4.69149,1.19149,1.43777,1,3.5,12,0.5,-0.1,-0.1
1.1,2.78241,4.78241,1.28241,1.51505,1,3.5,12,0.5,-0.1,-1.23607
1.2,2.86408,4.86408,1.36408,1.58447,1,3.5,12,0.5,-0.1,-2.35114
1.3,2.92712,4.92712,1.42712,1.63805,1,4,12,0.5,-0.1,-3.23607
1.4,2.9709,4.9709,1.4709,1.67526,1,4,12,0.5,-0.1,-3.80423
1.5,2.99499,4.99499,1.49499,1.69574,1,4,12,0.5,-0.1,-4
1.6,2.99915,4.99915,1.49915,1.69928,1,4,12,0.5,-0.1,-3.80423
1.7,2.98333,4.98333,1.48333,1.68583,1,4,12,0.5,-0.1,-3.23607
1.8,2.9477,4.9477,1.4477,1.65554,1,4,12,0.5,-0.1,-2.35114
1.9,2.8926,4.8926,1.3926,1.60871,1,4,12,0.5,-0.1,-1.23607
1.99204,2.82516,4.82516,1.32516,1.55139,1,3.5,12,0.5,-0.1,-0.1
1.99204,2.82516,4.82516,1.32516,1.55139,1,3.5,12,0.5,-0.1,-0.1
2,2.81859,4.81859,1.31859,1.54581,1,3.5,12,0.5,-9.79717e-016,-9.79717e-016
2.00796,2.81191,4.81191,1.31191,1.54013,1,3.5,12,0.5,0.1,0.1
2.00796,2.81191,4.81191,1.31191,1.54013,1,3.5,12,0.5,0.1,0.1
2.1,2.72642,4.72642,1.22642,1.46746,1,3.5,12,0.5,0.1,1.23607
2.2,2.61699,4.61699,1.11699,1.37444,1,3,12,0.5,0.1,2.35114
2.3,2.49141,4.49141,0.99141,1.2677,1,3,12,0.5,0.1,0
2.4,2.35093,4.35093,0.850926,1.14829,1,2.5,12,0.5,0.1,0
2.5,2.19694,4.19694,0.696944,1.0174,1,2.5,12,0.5,0.1,0
2.6,2.031,4.031,0.531003,0.876352,1,2,12,0.5,0.1,0
2.7,1.85476,3.85476,0.35476,0.726546,1,1.5,12,0.5,0.1,0
2.8,1.66998,3.66998,0.169976,0.56948,1,1.5,12,0.5,0.1,2.35114
2.88891,1.5,3.5,0,0.425,1,1,12,0.5,0.1,1.3678
2.88891,1.5,3.5,0,0.425,1,1,12,0.5,0.1,1.3678
2.9,1.4785,3.4785,0,0.406724,1,1,12,0.5,0.1,1.23607
2.99204,1.29799,3.29799,0,0.25329,1,0.5,12,0.5,0.1,0.1
2.99204,1.29799,3.29799,0,0.25329,1,0.5,12,0.5,0.1,0.1
3,1.28224,3.28224,0,0.239904,1,0.5,12,0.5,1.46958e-015,1.46958e-015
3.00796,1.26647,3.26647,0,0.226502,1,0.5,12,0.5,-0.1,-0.1
3.00796,1.26647,3.26647,0,0.226502,1,0.5,12,0.5,-0.1,-0.1
3.01626,1.25,3.25,0,0.2125,1,0.5,12,0.5,-0.1,-0.204301
3.01626,1.25,3.25,0,0.2125,1,0.5,12,0.5,-0.1,-0.204301
3.1,1.08316,3.08316,0,0.0706871,1,0,12,0.166323,-0.1,-1.23607
3.14159,-1,-3,0,0,1,-0,12,-5.14606e-011,-0.1,-1.7212
3.14159,-1,-3,0,0,1,-0,12,-5.14606e-011,-0.1,-1.7212
3.2,-1.11675,-3.11675,0,0,1,-0,12,-0.233497,-0.1,-2.35114
3.26115,-1.23855,-3.23855,0,0,1,-0.5,-12,-0.5,-0.1,-2.92577
3.26115,-1.23855,-3.23855,0,0,1,-0.5,-12,-0.477101,-0.1,-2.92577
3.26692,-1.25,-3.25,0,0,1,-0.5,-12,-0.5,-0.1,-2.97471
3.26692,-1.25,-3.25,0,0,1,-0.5,-12,-0.5,-0.1,-2.97471
3.3,-1.31549,-3.31549,0,0,1,-0.5,-12,-0.5,-0.1,-3.23607
3.39427,-1.5,-3.5,-2.70231e-011,0,1,-1,-12,-0.5,-0.1,-3.78137
3.39427,-1.5,-3.5,-2.70231e-011,0,1,-1,-12,-0.5,-0.1,-3.78137
3.4,-1.51108,-3.51108,-0.0110822,0,1,-1,-12,-0.5,-0.1,-3.80423
3.5,-1.70157,-3.70157,-0.201566,-0.00156646,1,-1.5,-12,-0.5,-0.1,-4
3.6,-1.88504,-3.88504,-0.385041,-0.219301,1,-2,-12,-0.5,-0.1,-3.80423
3.7,-2.05967,-4.05967,-0.559672,-0.49336,1,-2,-12,-0.5,-0.1,-3.23607
3.8,-2.22372,-4.22372,-0.723716,-0.812266,1,-2.5,-12,-0.5,-0.1,-2.35114
3.9,-2.37553,-4.37553,-0.875532,-1.15922,1,-3,-12,-0.5,-0.1,-1.23607
3.99204,-2.50315,-4.50315,-1.00315,-1.48565,1,-3,-12,-0.5,-0.1,-0.1
3.99204,-2.50315,-4.50315,-1.00315,-1.48565,1,-3,-12,-0.5,-0.1,-0.1
4,-2.5136,-4.51361,-1.0136,-1.5136,1,-3,-12,-0.5,-1.95943e-015,-1.95943e-015
4.00796,-2.52396,-4.52396,-1.02396,-1.54146,1,-3,-12,-0.5,0.1,0.1
4.00796,-2.52396,-4.52396,-1.02396,-1.54146,1,-3,-12,-0.5,0.1,0.1
