    "time",     "smx"
         0,         0
     0.001,-2.713878e-012
     0.002,-7.6612613e-012
     0.003,-1.2509638e-011
     0.004,-1.6070819e-011
     0.005,-1.777591e-011
     0.006,-1.7662694e-011
     0.007,-1.6214403e-011
     0.008,-1.4127376e-011
     0.009,-1.2083539e-011
      0.01,-1.058341e-011
     0.011,-9.8662608e-012
     0.012,-9.915621e-012
     0.013,-1.0527376e-011
     0.014,-1.1407777e-011
     0.015,-1.2269358e-011
     0.016,-1.2901279e-011
     0.017,-1.3202904e-011
     0.018,-1.3181406e-011
     0.019,-1.2923004e-011
      0.02,-1.2551612e-011
     0.021,-1.2188413e-011
     0.022,-1.192222e-011
     0.023,-1.1795361e-011
     0.024,-1.1804714e-011
     0.025,-1.1913861e-011
     0.026,-1.207053e-011
     0.027,-1.2223637e-011
     0.028,-1.2335768e-011
     0.029,-1.2389123e-011
      0.03,-1.2385058e-011
     0.031,-1.2338955e-011
     0.032,-1.2272866e-011
     0.033,-1.2208324e-011
     0.034,-1.2161089e-011
     0.035,-1.2138649e-011
     0.036,-1.2140415e-011
     0.037,-1.2159888e-011
     0.038,-1.2187767e-011
     0.039,-1.2214975e-011
      0.04,-1.2234872e-011
     0.041,-1.224431e-011
     0.042,-1.2243544e-011
     0.043,-1.2235318e-011
     0.044,-1.2223558e-011
     0.045,-1.2212088e-011
     0.046,-1.2203707e-011
     0.047,-1.2199738e-011
     0.048,-1.220007e-011
     0.049,-1.2203544e-011
      0.05,-1.2208505e-011
     0.051,-1.221334e-011
     0.052,-1.2216871e-011
     0.053,-1.221854e-011
     0.054,-1.2218396e-011
     0.055,-1.2216929e-011
     0.056,-1.2214836e-011
     0.057,-1.2212798e-011
     0.058,-1.2211311e-011
     0.059,-1.2210608e-011
      0.06,-1.2210671e-011
     0.061,-1.2211291e-011
     0.062,-1.2212174e-011
     0.063,-1.2213033e-011
     0.064,-1.2213659e-011
     0.065,-1.2213954e-011
     0.066,-1.2213927e-011
     0.067,-1.2213665e-011
     0.068,-1.2213292e-011
     0.069,-1.221293e-011
      0.07,-1.2212667e-011
     0.071,-1.2212543e-011
     0.072,-1.2212555e-011
     0.073,-1.2212666e-011
     0.074,-1.2212823e-011
     0.075,-1.2212975e-011
     0.076,-1.2213086e-011
     0.077,-1.2213138e-011
     0.078,-1.2213133e-011
     0.079,-1.2213086e-011
      0.08,-1.221302e-011
     0.081,-1.2212956e-011
     0.082,-1.2212909e-011
     0.083,-1.2212887e-011
     0.084,-1.2212889e-011
     0.085,-1.2212909e-011
     0.086,-1.2212937e-011
     0.087,-1.2212964e-011
     0.088,-1.2212984e-011
     0.089,-1.2212993e-011
      0.09,-1.2212992e-011
     0.091,-1.2212984e-011
     0.092,-1.2212972e-011
     0.093,-1.221296e-011
     0.094,-1.2212952e-011
     0.095,-1.2212948e-011
     0.096,-1.2212949e-011
     0.097,-1.2212952e-011
     0.098,-1.2212957e-011
     0.099,-1.2212962e-011
       0.1,-1.2212966e-011
     0.101,-1.2212967e-011
     0.102,-1.2212967e-011
     0.103,-1.2212966e-011
     0.104,-1.2212963e-011
     0.105,-1.2212961e-011
     0.106,-1.221296e-011
     0.107,-1.2212959e-011
     0.108,-1.2212959e-011
     0.109,-1.221296e-011
      0.11,-1.2212961e-011
     0.111,-1.2212962e-011
     0.112,-1.2212962e-011
     0.113,-1.2212963e-011
     0.114,-1.2212963e-011
     0.115,-1.2212962e-011
     0.116,-1.2212962e-011
     0.117,-1.2212962e-011
     0.118,-1.2212961e-011
     0.119,-1.2212961e-011
      0.12,-1.2212961e-011
     0.121,-1.2212961e-011
     0.122,-1.2212961e-011
     0.123,-1.2212962e-011
     0.124,-1.2212962e-011
     0.125,-1.2212962e-011
     0.126,-1.2212962e-011
     0.127,-1.2212962e-011
     0.128,-1.2212962e-011
     0.129,-1.2212962e-011
      0.13,-1.2212962e-011
     0.131,-1.2212962e-011
     0.132,-1.2212962e-011
     0.133,-1.2212962e-011
     0.134,-1.2212962e-011
     0.135,-1.2212962e-011
     0.136,-1.2212962e-011
     0.137,-1.2212962e-011
     0.138,-1.2212962e-011
     0.139,-1.2212962e-011
      0.14,-1.2212962e-011
     0.141,-1.2212962e-011
     0.142,-1.2212962e-011
     0.143,-1.2212962e-011
     0.144,-1.2212962e-011
     0.145,-1.2212962e-011
     0.146,-1.2212962e-011
     0.147,-1.2212962e-011
     0.148,-1.2212962e-011
     0.149,-1.2212962e-011
      0.15,-1.2212962e-011
     0.151,-1.2212962e-011
     0.152,-1.2212962e-011
     0.153,-1.2212962e-011
     0.154,-1.2212962e-011
     0.155,-1.2212962e-011
     0.156,-1.2212962e-011
     0.157,-1.2212962e-011
     0.158,-1.2212962e-011
     0.159,-1.2212962e-011
      0.16,-1.2212962e-011
     0.161,-1.2212962e-011
     0.162,-1.2212962e-011
     0.163,-1.2212962e-011
     0.164,-1.2212962e-011
     0.165,-1.2212962e-011
     0.166,-1.2212962e-011
     0.167,-1.2212962e-011
     0.168,-1.2212962e-011
     0.169,-1.2212962e-011
      0.17,-1.2212962e-011
     0.171,-1.2212962e-011
     0.172,-1.2212962e-011
     0.173,-1.2212962e-011
     0.174,-1.2212962e-011
     0.175,-1.2212962e-011
     0.176,-1.2212962e-011
     0.177,-1.2212962e-011
     0.178,-1.2212962e-011
     0.179,-1.2212962e-011
      0.18,-1.2212962e-011
     0.181,-1.2212962e-011
     0.182,-1.2212962e-011
     0.183,-1.2212962e-011
     0.184,-1.2212962e-011
     0.185,-1.2212962e-011
     0.186,-1.2212962e-011
     0.187,-1.2212962e-011
     0.188,-1.2212962e-011
     0.189,-1.2212962e-011
      0.19,-1.2212962e-011
     0.191,-1.2212962e-011
     0.192,-1.2212962e-011
     0.193,-1.2212962e-011
     0.194,-1.2212962e-011
     0.195,-1.2212962e-011
     0.196,-1.2212962e-011
     0.197,-1.2212962e-011
     0.198,-1.2212962e-011
     0.199,-1.2212962e-011
       0.2,-1.2212962e-011
     0.201,-1.2212962e-011
     0.202,-1.2212962e-011
     0.203,-1.2212962e-011
     0.204,-1.2212962e-011
     0.205,-1.2212962e-011
     0.206,-1.2212962e-011
     0.207,-1.2212962e-011
     0.208,-1.2212962e-011
     0.209,-1.2212962e-011
      0.21,-1.2212962e-011
     0.211,-1.2212962e-011
     0.212,-1.2212962e-011
     0.213,-1.2212962e-011
     0.214,-1.2212962e-011
     0.215,-1.2212962e-011
     0.216,-1.2212962e-011
     0.217,-1.2212962e-011
     0.218,-1.2212962e-011
     0.219,-1.2212962e-011
      0.22,-1.2212962e-011
     0.221,-1.2212962e-011
     0.222,-1.2212962e-011
     0.223,-1.2212962e-011
     0.224,-1.2212962e-011
     0.225,-1.2212962e-011
     0.226,-1.2212962e-011
     0.227,-1.2212962e-011
     0.228,-1.2212962e-011
     0.229,-1.2212962e-011
      0.23,-1.2212962e-011
     0.231,-1.2212962e-011
     0.232,-1.2212962e-011
     0.233,-1.2212962e-011
     0.234,-1.2212962e-011
