"time","PI.I.y","driveAngle","inertia1.phi","inertia1.w","integrator.y","spring.phi_rel","spring.w_rel"
0,-0.1,1.57,0,0,0,0.001,0
0.01,-0.1,1.57,0,0,0,0.001,0
0.02,-0.1,1.57,0,0,0,0.001,0
0.03,-0.1,1.57,0,0,0,0.001,0
0.04,-0.1,1.57,0,0,0,0.001,0
0.05,-0.1,1.57,0,0,0,0.001,0
0.06,-0.1,1.57,0,0,0,0.001,0
0.07,-0.1,1.57,0,0,0,0.001,0
0.08,-0.1,1.57,0,0,0,0.001,0
0.09,-0.1,1.57,0,0,0,0.001,0
0.1,-0.1,1.57,0,0,0,0.001,0
0.11,-0.1,1.57,0,0,0,0.001,0
0.12,-0.1,1.57,0,0,0,0.001,0
0.13,-0.1,1.57,0,0,0,0.001,0
0.14,-0.1,1.57,0,0,0,0.001,0
0.15,-0.1,1.57,0,0,0,0.001,0
0.16,-0.1,1.57,0,0,0,0.001,0
0.17,-0.1,1.57,0,0,0,0.001,0
0.18,-0.1,1.57,0,0,0,0.001,0
0.19,-0.1,1.57,0,0,0,0.001,0
0.2,-0.1,1.57,0,0,0,0.001,0
0.21,-0.1,1.57,0,0,0,0.001,0
0.22,-0.1,1.57,0,0,0,0.001,0
0.23,-0.1,1.57,0,0,0,0.001,0
0.24,-0.1,1.57,0,0,0,0.001,0
0.25,-0.1,1.57,0,0,0,0.001,0
0.26,-0.1,1.57,0,0,0,0.001,0
0.27,-0.1,1.57,0,0,0,0.001,0
0.28,-0.1,1.57,0,0,0,0.001,0
0.29,-0.1,1.57,0,0,0,0.001,0
0.3,-0.1,1.57,0,0,0,0.001,0
0.31,-0.1,1.57,0,0,0,0.001,0
0.32,-0.1,1.57,0,0,0,0.001,0
0.33,-0.1,1.57,0,0,0,0.001,0
0.34,-0.1,1.57,0,0,0,0.001,0
0.35,-0.1,1.57,0,0,0,0.001,0
0.36,-0.1,1.57,0,0,0,0.001,0
0.37,-0.1,1.57,0,0,0,0.001,0
0.38,-0.1,1.57,0,0,0,0.001,0
0.39,-0.1,1.57,0,0,0,0.001,0
0.4,-0.1,1.57,0,0,0,0.001,0
